plot	type	species	plot.biomass.withGL	mono.total	mono.bag	mono.gl	mono.gl.total	mono.gl.bag												Collector	Date
1	Mono	BAPALB	14.2	25.5	11.3	0														ALT	10/11/2017
2	Plug	ML.7316.rep1	Total B	CAMROT	ZIZAUR	ECHPUR	DESILL	ANECYL	PHYVIR	OENPIL	SILLAC	PYCTEN	ZIZAPT	HYPPUN	ASCSYR	OLIRIG	CXBLAN	AGANEP	GL	ALT	10/11/2017
			1704.6	0.3	82.2	0.2	11.6	1.1	84.4	21.9	20.9	16.3	13.4	0.2	-0.1	1143.9	28.8	203.3	76.2		
			Tot. Weight	11.4	103.4	11.4	22.8	12.4	105.7	33	42.2	27.4	24.7	11.4	11.1	1239.9	40	251.5	87.4		
			Bag Weight	11.1	21.2	11.2	11.2	11.3	21.3	11.1	21.3	11.1	11.3	11.2	11.2	96	11.2	48.2	11.2		
3	Mono	BLECIL	73.5	94.7	21.2	0															11/8/2017
4	Mono	SOLSPE	97.6	119.1	21.5	0															11/8/2017
5	Mono	CEAAME	38.5	43.9	11.3	5.9	10.2	4.3													11/8/2017
6	Mono	TRAOHI	70.2	70.4	11.2	11	15.3	4.3													
7	Mono	LIAPYC	196.2	201.8	21.4	15.8	20	4.2													
8	Mono	PYCVIR	123.6	105.1	11.3	29.8	34.1	4.3												ALT	11/8/2017
12	Mono	HELHEL	300.1	311.1	21.2	10.2	14.5	4.3													11/8/2017
15	Plug	HH.1372866.rep1	Total B	SPIALB	HIEODO	TEUCAN	ANEVIR	ANECYL	HELSTR	ROSCAR	TRAOHI	CXBREV	SORNUT	SILLAC	MAIRAC	ZIZAPT	CAMSCI	CHAFAS	GL	ALT	10/16/2017
			324.6	10.1	47	0.5	1	14.4	5.1	32.1	38.7	78.6	24.3	21.1	0	43.7	0	0	8		
			Tot. Weight	14.4	58.2	4.8	5.2	18.6	9.4	43.3	49.9	99.8	35.4	32.3	0	54.9	0	0	12.3		
			Bag Weight	4.3	11.2	4.3	4.2	4.2	4.3	11.2	11.2	21.2	11.1	11.2	0	11.2	0	0	4.3		
16	Mono	SILINT	192.6	205.8	21.3	8.1	12.4	4.3													11/9/2017
17	Mono	JUNINT	49.5	59.4	11.3	1.4	5.6	4.2													11/8/2017
18	Mono	RUEHUM	26.8	13.5	4.3	17.6	21.9	4.3													11/9/2017
19	Mono	HELSTR	0			0															
20	Mono	CXBLAN	87.9	105.6	21.3	3.6	7.8	4.2													11/9/2017
21	Mono	HIEODO	127.5	131.6	21.3	17.2	28.4	11.2													11/9/2017
22	Plug	MH.1825752.rep1	Total B	RATPIN	GENAND	SENHEB	LILMIC	ALLCAN	CXBLAN	AMOCAN	SOLNEM	VERGIG	VERSTR	BOUCUR	SPOHET	ASCSYR	BAPBRA	DALCAN	GL	ALT	10/10/2017
			176.9	1.5	5.4	47.1	0	0.7	7.8	0.3	24.4	49.2	0.5	32.1	6.3	0.8	0.2	0.6	0		
			Tot. Weight	5.8	9.6	58.3	0	5	12.2	4.5	35.7	70.4	4.8	43.2	10.5	5	4.5	4.8	0		
			Bag Weight	4.3	4.2	11.2	0	4.3	4.4	4.2	11.3	21.2	4.3	11.1	4.2	4.2	4.3	4.2	0		
24	Plug	LH.1211957.rep1	Total B	LILMIC	SCHSCO	AGANEP	PENHIR	SYMLAE	ECHPAL	THADAS	ECHPUR	ERASPE	HYPPUN	AGATEN	CASCOC	SORNUT	AGASCR	ELYCAN	GL	ALT	10/13/2017
			1420.3	0	3.5	559.7	51.9	21.4	25.1	18.6	68.5	2.3	1.7	0	0	152.5	0.4	404.2	110.5		
			Tot. Weight	0	14.7	608.3	63.2	32.6	36.3	29.8	89.7	13.6	6	0	0	173.7	4.7	453	121.7		
			Bag Weight	0	11.2	48.6	11.3	11.2	11.2	11.2	21.2	11.3	4.3	0	0	21.2	4.3	48.8	11.2		
25	Mono	KOEMAC	151.5	186.5	48.9	13.9	18.2	4.3													11/9/2017
27	Mono	ANECAN	138.9	78.6	11.3	71.6	82.9	11.3													11/9/2017
29	Mono	HELMOL	346.8	337.8	48.9	57.9	69.1	11.2													11/7/2017
30	Mono	CORPAL	59.3	70.5	11.2	0															11/8/2017
32	Mono	CXANNE	164.9	186.2	21.3	0															11/8/2017
33	Mono	LIASPI	73.1	94.4	21.3	0															11/8/2017
