Miceimputation...1.,seedMass,LDMC,SLA,LNC,LCC,LPC,SDMC,circularity,vegetativeHeight,leafLength,leafThickness,leafWidth,petioleLength,Lifeform,photosyntheticPathway,adventitious,primary,bulbs,corms,fibrous,rhizomes,stolons,tubers,habitClean,nFixer,lifeCycleCoded,floweringStartcoded,wis_IL,genome_Use
Agalinis_tenuifolia,0.048,453.7,224.9,1.27,47.36,0.33,484.1,0.53,60.96,13.88,0.13,8.97,41.5,chamaephytes,C3,1,0,0,0,1,0,0,0,F,0,1,8,FACW,21.4
Agastache_nepetoides,32.9619,310.6,176,2.53,47.36,0.27,454.9,0.65,143.8,27.99,0.22,7.26,32.3,chamaephytes,C3,1,1,0,0,0,1,0,0,F,0,3,7,FACU,1.6
Agastache_scrophulariifolia,4.2,284.8,152.3,2.26,46.28,0.33,442.6,0.57,143.95,8.69,0.25,8.97,52.06,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,7,UPL,1.5
Allium_canadense,11.106,32.3,356,1.39,37.48,0.12,411.9,0.37,43.21,34.58,0.23,0.32,447.63,chamaephytes,C3,1,0,1,0,0,0,0,0,F,0,3,5,FACU,12.3
Allium_cernuum,3.85,151.2,153.1,1.83,37.55,0.32,182.3,0.06,42.26,38.35,0.74,0.5,61.88,geophytes,C3,1,0,1,0,0,0,0,0,F,0,3,7,FACU,75.5
Amorpha_canescens,1.197,65.7,15.3,2.26,47.67,0.15,69.4,0.09,58.38,7.69,0.26,2.65,0.63,geophytes,C3,0,1,0,0,0,0,0,0,SS,1,3,6,UPL,1.7
Andropogon_gerardii,0.5338,453.7,142.7,1.44,42.95,0.31,450.1,0.05,159.44,30.42,0.33,0.74,21.47,geophytes,C4,1,0,0,0,0,1,0,0,G,0,3,8,FAC,5.9
Anemone_canadensis,1.844,343.9,158.7,1.68,42.82,0.31,29.8,0.1,49.54,7.63,0.33,8.97,60.75,geophytes,C3,1,0,0,0,0,1,0,0,F,0,3,5,FACW,12.3
Anemone_cylindrica,0.6268,434.2,124.6,1.52,44.09,0.34,433,0.06,34.37,4,0.32,6.6,73.58,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,6,UPL,21.4
Anemone_virginiana,1.13,334.8,67.6,2.21,47.79,0.34,424.9,0.62,66.34,23.54,0.23,10.44,123.44,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,5,FACU,26.6
Antennaria_neglecta,0.0806,327.7,177.1,1.49,42.65,0.19,37.5,0.4,35.24,15.05,0.23,18.45,61.88,hemicryptophytes,C3,1,0,0,0,0,0,1,0,F,0,3,4,UPL,0.9
Apios_americana,0.7315,243.4,362,2.84,44.33,0.14,500.6,0.53,30.48,3.56,0.17,2.25,9.19,geophytes,C3,1,1,0,0,0,1,0,1,V,1,3,7,FACW,11.2
Arnoglossum_plantagineum,4.2,187,14.7,1.28,47.36,0.11,453.7,0.17,129.7,1.41,0.23,3.03,1.77,hemicryptophytes,C3,1,0,0,0,1,0,0,0,F,0,3,7,FAC,2.8
Asclepias_hirtella,7.59,31.4,11.6,2.56,47.36,0.27,37.5,0.39,60.96,16.65,0.45,7.26,43.44,hemicryptophytes,C3,0,1,0,0,0,0,0,0,F,0,3,5,UPL,27.2
Asclepias_sullivantii,4.7,286.6,85.1,2.03,43.31,0.14,461.2,0.45,27.56,6.02,0.21,2.9,43.44,hemicryptophytes,C3,1,0,0,0,0,1,0,0,F,0,3,6,UPL,8.1
