"","plot","pNDVIvalues","pGNDVIvalues","pGDVI2values","pREDvalues","pGREvalues","pNIRvalues","pREGvalues","ndvipercent.1","gndvipercent.1","gdvi2percent.1","ndvipercent.25","gndvipercent.25","gdvi2percent.25","ndviavg.1","gndviavg.1","gdvi2avg.1"
"1",1,0.460855932833687,0.490718249385938,0.729736923456482,3232.34278243528,3031.88261046313,9208.32999308664,6749.45306821037,0.999962602842184,1,1,0.977038145100972,0.99981301421092,0.999663425579656,0.460870859896993,0.490718249385938,0.729736923456482
"2",2,0.679163470876245,0.639111196631709,0.906746733360356,2487.32900502371,2951.00573826284,13938.4538385724,9201.79393920571,0.99817167354916,0.999117359644422,0.998991268165054,0.977334342096967,0.995807326145892,0.997225987453898,0.680367120662073,0.639697015505048,0.907707478101696
"3",3,0.497531304424536,0.508576520303775,0.775656735442868,2693.28790584298,2639.16318128606,8282.58120136563,6153.89384766103,1,0.999853034830745,1,0.993043648655269,0.998383383138196,0.999951011610248,0.497531304424536,0.508644061046436,0.775656735442868
"4",4,0.743969836656947,0.683208565510455,0.945153817617969,1938.44167276264,2634.37609798168,14884.895799504,9941.923764489,1,0.999728776783293,1,0.99951782539252,0.998252117047886,1,0.743969836656947,0.683385476492902,0.945153817617969
"5",5,0.663565891938545,0.628975548822294,0.900095918123783,2293.05953829587,2688.42154205721,12522.0566197162,8812.45543066981,1,1,1,0.999752954255363,1,1,0.663565891938545,0.628975548822294,0.900095918123783
"6",6,0.589196899129104,0.575151068264194,0.863545357640425,2500.83604059861,2627.33144626026,9939.27622269797,6695.70219503074,1,1,1,0.999932191896932,1,1,0.589196899129104,0.575151068264194,0.863545357640425
"7",7,0.711438217210044,0.665138700506642,0.935793651204251,2313.67987877135,2691.1101483439,13706.2169609748,8553.34475301772,1,1,1,1,1,1,0.711438217210044,0.665138700506642,0.935793651204251
"8",8,0.667884473552334,0.600289686308602,0.913898108446566,2775.32016042351,3480.08545589986,13661.0523374481,8975.03326135094,1,1,1,1,0.999771338973639,1,0.667884473552334,0.600289686308602,0.913898108446566
"9",9,0.660623904174901,0.61396929726308,0.906168641340104,2550.70612297526,3005.16477594528,12846.5479927633,8210.95355470093,1,1,1,1,1,1,0.660623904174901,0.61396929726308,0.906168641340104
"10",10,0.680978721836584,0.630473318419583,0.909032160386802,3556.43770437575,4082.62396346332,17448.4385341316,11598.262848534,1,1,1,0.99928405738996,1,1,0.680978721836584,0.630473318419583,0.909032160386802
"11",11,0.562024268131784,0.561503007672014,0.832173084750557,2908.35819765334,2989.24409870698,11092.9391549041,7317.44397209171,1,1,1,0.999924462741247,1,1,0.562024268131784,0.561503007672014,0.832173084750557
"12",12,0.670462732851172,0.624152936452086,0.902464224139411,3760.44378357263,4299.62073873122,18260.5280282825,12002.2969196595,0.999868493727151,1,0.99997369874543,0.995791799268825,0.999658083690592,0.999789589963441,0.670543134042183,0.624152936452086,0.902486798321257
"13",13,0.645964420119384,0.615551913856604,0.902873785155635,2650.21618323804,2958.1475735772,12628.3043857203,8068.28915098438,1,1,1,1,1,1,0.645964420119384,0.615551913856604,0.902873785155635
"14",14,0.743385105955784,0.652683476157798,0.953089427511135,2184.07354560845,3201.61742683691,15440.1675382976,10246.1639833597,1,1,1,0.999842717835797,0.999874174268638,1,0.743385105955784,0.652683476157798,0.953089427511135
"15",15,0.669597741243438,0.629611863073133,0.910981033904982,2346.877985635,2785.90908835794,12747.6513736624,8251.8421811696,1,1,1,0.999939311181915,1,1,0.669597741243438,0.629611863073133,0.910981033904982
"16",16,0.64129257700248,0.625485367444353,0.887426657896407,2222.62640367075,2482.04181250438,11552.303433558,7348.43809631166,0.999870951090463,0.999903213317847,0.999935475545232,0.999677377726158,0.999741902180927,0.999838688863079,0.64137213363105,0.625542624876659,0.887488059413474
"17",17,0.604375662022511,0.596575963401458,0.86743876667515,2595.39637128944,2733.96936457345,11198.8195258717,7501.94528318588,1,1,1,0.999165061014772,1,1,0.604375662022511,0.596575963401458,0.86743876667515
"18",18,0.524241954293475,0.551341051334395,0.801561252117431,2662.86461141204,2503.06700565567,9020.09314588607,6007.10892416859,1,1,1,0.998622499180059,1,1,0.524241954293475,0.551341051334395,0.801561252117431
"19",19,0.335314887659185,0.426764202710673,0.587678344267903,4338.71438833793,3492.06827020936,8766.34735698034,6422.01873887165,0.999806145197247,1,1,0.944422902933954,0.999935381732416,0.998869253384163,0.335361790770927,0.426764202710673,0.587678344267903
"20",20,0.693159823201895,0.605735558920074,0.928172924751783,2189.76631889069,3071.37677545873,12794.8521249024,9200.97755442742,1,1,1,0.999916532190752,0.99938790273218,1,0.693159823201895,0.605735558920074,0.928172924751783
"21",21,0.731250800619157,0.639652297877593,0.950389779291696,2391.49772915372,3424.30415001327,15573.7712041702,11059.3836749117,1,1,1,1,1,1,0.731250800619157,0.639652297877593,0.950389779291696
"22",22,0.731322559933662,0.656918414690766,0.947407183460181,2193.13114342323,2971.25656198684,14438.3942851027,10376.8551174856,0.999971656935548,1,1,0.999631540162122,0.999574854033218,0.999971657738854,0.73134157178823,0.656918414690766,0.947407183460181
"23",23,0.747076521024226,0.662589906530708,0.950035153282628,2171.13845319343,3167.7865908528,15947.2324212506,11546.8509929334,1,0.999924775266107,1,1,0.999811938165269,1,0.747076521024226,0.662639312775697,0.950035153282628
"24",24,0.692207988241251,0.654856587030221,0.924905111588272,2269.34454342546,2673.76173778204,13329.0386116434,8820.37109499723,1,1,1,0.999418003103983,1,1,0.692207988241251,0.654856587030221,0.924905111588272
"25",25,0.614002268388624,0.59050847018838,0.87669028046375,2713.0071648264,2918.56029773904,11451.7340433233,7449.922431021,1,1,1,0.999827770314491,1,1,0.614002268388624,0.59050847018838,0.87669028046375
"26",26,0.786559908887783,0.670669315402876,0.969074432730358,1771.63677039159,3017.35035705382,15462.6708606935,10180.8851432344,1,1,1,1,1,1,0.786559908887783,0.670669315402876,0.969074432730358
"27",27,0.734581364017983,0.600773791161878,0.95158761708735,2075.05084364617,3493.52610075661,14075.6603743295,9849.85162910513,1,1,1,1,1,1,0.734581364017983,0.600773791161878,0.95158761708735
"28",28,0.762648876063373,0.665208824449766,0.958418198706697,2098.94259111796,3240.75038434546,16404.4255069147,10614.6905023571,1,1,1,0.999919218030536,1,0.999973071951745,0.762648876063373,0.665208824449766,0.958418198706697
"29",29,0.753900175894641,0.706476443061644,0.954674811669079,2086.12704538239,2642.04030211228,16028.9415068915,9061.95013073512,1,1,1,1,0.99986936216075,1,0.753900175894641,0.706476443061644,0.954674811669079
"30",30,0.65315477483795,0.616609734772929,0.904275333668857,2136.15957273648,2468.25838086364,10872.3017824568,6451.34667948913,1,1,1,0.9987254652052,0.99961763956156,0.99996813663013,0.65315477483795,0.616609734772929,0.904275333668857
"31",31,0.760250016307141,0.6553088554768,0.956423044408953,2171.05375207994,3527.97397765419,17229.3500216938,10957.1466086158,1,1,1,1,0.999968418393128,1,0.760250016307141,0.6553088554768,0.956423044408953
"32",32,0.70132097930641,0.634548689360337,0.937712565606195,2463.70757504909,3160.92531305227,14239.8206266547,9167.1252031046,1,1,1,1,1,1,0.70132097930641,0.634548689360337,0.937712565606195
