"","plot","block","x","y","TOTAL_cm","AHOR_cm","REDOX_cm","coverTotal","monoSp","GSM","LOI","fWAS","pH","EC","monoTreeName","type","plot.ID","cc.total","cc.planted","cc.weed","phyD","trtD","PD_as_designed","PD_planted","PD_SES_planted","MNTD_planted","MNTD_SES_planted","MPD_planted","MPD_SES_planted","PD_observed","PD_SES_observed","MNTD_abundance.weighted_observed","MNTD_SES_abundance.weighted_observed","MNTD_observed","MNTD_SES_observed","MPD_abundance.weighted_observed","MPD_SES_abundance.weighted_observed","MPD_observed","MPD_SES_observed","Change_in_MNTD","Change_in_MNTD_SES","Change_in_MNTD_abundance.weighted","Change_in_MNTD_SES_abundance.weighted","Change_in_MPD","Change_in_MPD_SES","Change_in_MPD_abundance.weighted","Change_in_MPD_SES_abundance.weighted","Change_in_PD","Change_in_PD_SES","SR_planted","SR_observed","Change_in_SR","MNTD_ratio","Abundance_weighted_MNTD_ratio","MPD_ratio","Abundance_weighted_MPD_ratio","PD_ratio","SR_ratio","MNTD_SES_ratio","Abundance_weighted_MNTD_SES_ratio","MPD_SES_ratio","Abundance_weighted_MPD_SES_ratio","PD_SES_ratio","CE","SE","NE","biomass.monocultures","biomass.monocultures.noGL","biomass.tmts","biomass.tmts.noGL","phy.div","trait.div","ndvi","biomass.all","Plot.category","pNDVIvalues","pGNDVIvalues","pGDVI2values","pREDvalues","pGREvalues","pNIRvalues","pREGvalues","ndvipercent.1","gndvipercent.1","gdvi2percent.1","ndvipercent.25","gndvipercent.25","gdvi2percent.25","ndviavg.1","gndviavg.1","gdvi2avg.1","TMT.use","gr","ndvicover","gndvicover","gdvi2cover","coverTotal.mono","coverTotal.tmts","ndvi.min","gndvi.min","ndvi.threshold","gndvi.threshold","gdvi2.min","gdvi2.threshold","ndvi.threshold.var","gndvi.threshold.var","gdvi2.threshold.var","ndvi.threshold.noflowers","gndvi.threshold.noflowers","gdvi2.threshold.noflowers"
"1",1,"B",1,1,37.67,25,32,15,"BAPALB",0.226224134332698,6.67394215903047,77.1406735862476,6.99528963505023,109.986070821767,"Baptisia_alba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.25,53.25,NA,NA,NA,NA,0.114852662635378,53.25,"Monoculture",0.460855932833687,0.490718249385938,0.729736923456482,3232.34278243528,3031.88261046313,9208.32999308664,6749.45306821037,0.999962602842184,1,1,0.977038145100972,0.99981301421092,0.999663425579656,0.460870859896993,0.490718249385938,0.729736923456482,0,0.937983009394467,0.069128389925053,0.0736077374078907,0.109460538518472,15,NA,0.649899643659592,0.593935531377792,0.727282469123536,0.644400419453479,0.913826727867126,0.944610898892965,0.702087321414581,0.634672453117561,0.939179723517195,NA,NA,NA
"2",2,"B",1,2,39.33,27.67,26.67,85,NA,0.231504839818659,6.73031468240794,77.9983625126179,6.94106389511731,115.03857407518,NA,"Plug","ML.7316.rep1",85,NA,NA,"M","L",1310.38589918,1123.75784718,0.214856710286582,118.425711796923,0.534754277048623,231.869121540513,-0.862486902438688,1123.75784718,0.257307379225106,57.9150611195968,-1.09119227053193,118.425711796923,0.484302979068138,152.613964335632,-1.44287345088043,231.869121540513,-0.931821176095495,0,-0.0504512979804848,-60.5106506773263,-1.62594654758056,0,-0.0693342736568068,-79.2551572048807,-0.580386548441744,0,0.0424506689385241,13,13,0,1,0.489041275250342,1,0.658190117432118,1,1,0.905655176319614,-2.04054893502557,1.08038878441025,1.67292215893447,1.19757664948841,0.473764128937751,0.171602749206325,0.645366878144076,NA,NA,1704.6,1628.4,"M","L",0.45294834548196,1704.6,"Treatment",0.679163470876245,0.639111196631709,0.906746733360356,2487.32900502371,2951.00573826284,13938.4538385724,9201.79393920571,0.99817167354916,0.999117359644422,0.998991268165054,0.977334342096967,0.995807326145892,0.997225987453898,0.680367120662073,0.639697015505048,0.907707478101696,0,1.18641552134946,0.577288950244808,0.543244517136953,0.770734723356303,NA,85,0.563891017436981,0.538424551486969,NA,NA,0.85569429397583,NA,0.727647031103799,0.673076939039477,0.947913893328684,NA,NA,NA
"3",3,"B",1,3,38,22,10,55,"BLECIL",0.24226642427896,6.7481908634949,76.2643277222985,6.78257221721395,114.675837202687,"Blephilia_ciliata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,275.625,275.625,NA,NA,NA,NA,0.147123802360938,275.625,"Monoculture",0.497531304424536,0.508576520303775,0.775656735442868,2693.28790584298,2639.16318128606,8282.58120136563,6153.89384766103,1,0.999853034830745,1,0.993043648655269,0.998383383138196,0.999951011610248,0.497531304424536,0.508644061046436,0.775656735442868,0,0.979903847472267,0.273642217433495,0.279717086167076,0.426611204493577,55,NA,0.465190088748932,0.493862164020538,NA,NA,0.764862525463104,NA,0.592191595008455,0.561222923306862,0.868395076490759,NA,NA,NA
"4",4,"B",1,4,40.67,24.33,27.83,85,"SOLSPE",0.254729205395681,6.67786439301029,72.3252262689116,6.58289743585418,109.621659770074,"Solidago_speciosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,366,366,NA,NA,NA,NA,0.538715330239851,366,"Monoculture",0.743969836656947,0.683208565510455,0.945153817617969,1938.44167276264,2634.37609798168,14884.895799504,9941.923764489,1,0.999728776783293,1,0.99951782539252,0.998252117047886,1,0.743969836656947,0.683385476492902,0.945153817617969,0,1.35901747006254,0.632374361158405,0.580727280683887,0.803380744975274,85,NA,0.649715721607208,0.603296703100205,NA,NA,0.913712060451508,NA,0.781495819018255,0.71263889877789,0.968172015399449,NA,NA,NA
"5",5,"A",1,5,40,25,40,35,"CEAAME",0.27150726302746,6.85655142532302,68.473473556639,6.46390825286336,90.6258777046977,"Ceanothus_americanus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,144.375,122.25,NA,NA,NA,NA,0.378600423054569,144.375,"Monoculture",0.663565891938545,0.628975548822294,0.900095918123783,2293.05953829587,2688.42154205721,12522.0566197162,8812.45543066981,1,1,1,0.999752954255363,1,1,0.663565891938545,0.628975548822294,0.900095918123783,0,1.17241680695965,0.232248062178491,0.220141442087803,0.315033571343324,35,NA,0.747714900970459,0.675877022743225,NA,NA,0.95917566716671,NA,0.783128198455774,0.712741609195193,0.970439167299519,NA,NA,NA
"6",6,"A",1,6,39.67,23,36.5,35,"TRAOHI",0.285649369941722,7.18513125845781,64.7959536666624,6.36749516637502,73.2117150234845,"Tradescantia_ohiensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,263.25,222,NA,NA,NA,NA,0.228010411450101,263.25,"Monoculture",0.589196899129104,0.575151068264194,0.863545357640425,2500.83604059861,2627.33144626026,9939.27622269797,6695.70219503074,1,1,1,0.999932191896932,1,1,0.589196899129104,0.575151068264194,0.863545357640425,0,1.05058124707423,0.206218914695186,0.201302873892468,0.302240875174149,35,NA,0.626492935419083,0.596190923452377,NA,NA,0.899814587831497,NA,0.688583832666831,0.638764540394829,0.931909383925359,NA,NA,NA
"7",7,"A",1,7,42.33,23.33,NA,85,"LIAPYC",0.291944409401499,7.40655087971349,61.3260165821372,6.2392653226137,75.7233214941997,"Liatris_pycnostachya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,735.75,676.5,NA,NA,NA,NA,0.403401229467648,735.75,"Monoculture",0.711438217210044,0.665138700506642,0.935793651204251,2313.67987877135,2691.1101483439,13706.2169609748,8553.34475301772,1,1,1,1,1,1,0.711438217210044,0.665138700506642,0.935793651204251,0,1.16312985778006,0.604722484628537,0.565367895430646,0.795424603523613,85,NA,0.628532230854034,0.60401377081871,NA,NA,0.901087403297424,NA,0.741929409553885,0.684234930088476,0.954965603064011,NA,NA,NA
"8",8,"A",1,8,43.67,30,NA,75,"PYCVIR",0.296153458040459,7.64591463687211,58.5813065244145,6.10434422675015,76.5828780656623,"Pycnanthemum_virginianum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,463.5,351.75,NA,NA,NA,NA,0.317314973163442,463.5,"Monoculture",0.667884473552334,0.600289686308602,0.913898108446566,2775.32016042351,3480.08545589986,13661.0523374481,8975.03326135094,1,1,1,1,0.999771338973639,1,0.667884473552334,0.600289686308602,0.913898108446566,0,1.25394017797529,0.500913355164251,0.450217264731452,0.685423581334925,75,NA,0.598266005516052,0.543397426605225,NA,NA,0.881149172782898,NA,0.708510372929366,0.635664704211098,0.938951884154487,NA,NA,NA
"9",9,"",1,9,41.33,21.67,15,NA,NA,0.296976157336483,7.89189870963677,56.8431275697046,5.97227319936227,74.8213311337584,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.660623904174901,0.61396929726308,0.906168641340104,2550.70612297526,3005.16477594528,12846.5479927633,8210.95355470093,1,1,1,1,1,1,0.660623904174901,0.61396929726308,0.906168641340104,0,1.17816974243976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",10,"A",1,10,42.67,23,NA,97,NA,0.28472502695411,8.0539602890163,58.2174713285,5.94475676752778,83.6669436174742,NA,"Seed","LL.653844.rep1",97,75,45,"L","L",992.05773409,825.51462109,-1.17460351628726,96.1111646981818,-0.57323775478603,211.840838561818,-1.61306296143266,825.51462109,-1.13475377771688,22.3103214445022,-1.97174288075995,96.1111646981818,-0.585959670106765,98.8818921286595,-2.47836838572805,211.840838561818,-1.59003416329465,0,-0.0127219153207354,-73.8008432536797,-1.39850512597392,0,0.0230287981380113,-112.958946433159,-0.865305424295389,0,0.0398497385703775,11,11,0,1,0.232130382714259,1,0.466774455765782,1,1,1.02219308692513,3.43965983450608,0.9857235590373,1.53643623651668,0.966073881085989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.680978721836584,0.630473318419583,0.909032160386802,3556.43770437575,4082.62396346332,17448.4385341316,11598.262848534,1,1,1,0.99928405738996,1,1,0.680978721836584,0.630473318419583,0.909032160386802,0,1.14795317754059,0.660549360181486,0.611559118866995,0.881761195575198,NA,NA,0.367358503937721,0.438490934967995,NA,NA,0.647357326149941,NA,0.691937494551948,0.637419274229643,0.918932328364043,NA,NA,NA
