plot,obs1,obs2
1,20,25
2,95,90
3,35,50
4,95,95
5,65,60
6,100,100
7,95,95
8,80,90
9,50,50
10,90,95
11,40,30
12,95,100
13,80,60
14,90,95
15,85,80
16,70,70
17,70,60
18,65,50
19,0,0
20,95,95
21,100,95
22,95,90
23,90,80
24,95,95
25,85,80
26,95,95
27,95,95
28,95,95
29,100,90
30,85,100
31,85,90
32,95,100
33,80,75
34,95,95
35,80,75
36,95,95
37,90,85
38,50,50
39,100,100
40,15,40
41,95,100
42,85,90
43,85,85
44,15,10
45,90,100
46,90,95
47,85,95
48,15,30
49,100,95
50,95,100
51,85,75
52,85,85
53,90,80
54,80,85
55,90,95
56,70,70
57,75,60
58,85,75
59,90,95
60,80,85
61,90,90
62,90,90
63,80,90
64,95,85
65,10,5
66,65,65
67,90,80
68,90,85
69,95,95
70,100,95
71,35,50
72,95,95
73,85,95
74,95,95
75,85,80
76,95,90
77,95,95
78,80,75
79,80,80
80,95,95
81,90,90
82,90,85
83,70,75
84,90,95
85,90,90
86,90,95
87,80,80
88,80,75
89,65,75
90,95,95
91,95,100
92,85,80
93,90,90
94,85,90
95,90,80
96,70,75
97,80,75
98,90,95
99,90,90
100,80,75
101,85,80
102,95,95
103,20,10
104,95,95
105,90,95
106,100,100
107,5,10
108,90,95
109,95,95
110,95,95
111,95,95
112,95,100
113,50,80
114,100,100
115,100,95
116,95,85
117,85,85
118,95,90
119,80,70
120,85,95
121,50,50
122,80,60
123,90,95
124,75,80
125,10,15
126,100,95
127,95,90
128,95,95
129,100,95
130,95,100
131,90,100
132,95,70
133,65,60
134,40,40
135,85,80
136,95,90
137,70,90
138,95,100
139,90,90
140,85,95
141,85,85
142,100,95
143,95,95
144,90,90
145,40,40
146,95,100
147,100,100
148,95,85
149,65,55
150,85,75
151,95,80
152,80,90
153,95,100
154,90,80
155,85,80
156,70,55
157,70,70
158,80,75
159,90,90
160,85,90
161,70,70
162,80,80
163,85,80
164,10,5
165,80,80
166,90,100
167,85,90
168,90,95
169,75,75
170,80,85
171,90,95
172,65,70
173,5,0
174,75,65
175,20,20
176,65,65
177,90,90
178,65,70
179,85,80
180,85,90
181,85,90
182,95,95
183,15,10
184,25,10
185,95,100
186,75,75
187,95,95
188,80,85
189,65,65
190,15,15
191,75,80
192,80,70
193,95,95
194,90,90
195,95,100
196,90,90
197,80,85
198,85,80
199,90,85
200,85,85
201,90,90
202,100,95
203,90,80
204,90,90
205,85,85
206,5,0
207,90,100
208,95,50
209,85,85
210,30,40
211,70,75
212,80,80
213,80,85
214,95,95
215,90,95
216,70,80
217,90,85
218,5,10
219,80,85
220,35,30
221,90,95
222,90,90
223,90,90
224,95,90
225,5,0
226,95,95
227,90,95
228,85,90
229,90,85
230,65,75
231,85,90
232,60,70
233,80,80
234,85,90
235,75,80
236,55,70
237,90,75
238,90,85
239,85,80
240,90,90
241,85,85
242,95,95
243,15,10
244,95,95
245,95,95
246,95,95
247,80,85
248,80,85
249,65,55
250,80,65
251,85,90
252,90,80
253,85,80
254,10,20
255,95,85
256,90,85
257,85,95
258,100,95
259,90,80
260,95,95
261,5,10
262,100,95
263,95,95
264,85,90
265,90,90
266,80,85
267,80,85
268,90,95
269,70,70
270,95,95
271,65,65
272,95,95
273,100,95
274,95,95
275,95,100
276,85,85
277,95,90
278,85,90
279,90,90
280,5,10
281,90,95
282,40,45
283,90,85
284,65,65
285,80,85
286,95,90
287,90,90
288,75,75
289,80,85
290,95,95
291,85,85
292,90,90
293,95,90
294,65,65
295,90,75
296,90,90
297,85,95
298,80,75
299,85,90
300,50,45
301,95,95
302,90,95
303,80,80
304,95,95
305,95,95
306,25,35
307,85,85
308,65,65
309,80,90
310,90,90
311,95,95
312,90,95
313,15,25
314,70,70
315,100,100
316,100,100
317,40,25
318,75,75
319,70,75
320,90,90
321,80,90
322,75,85
323,90,85
324,5,5
325,95,90
326,75,80
327,80,75
328,80,75
329,95,95
330,85,85
331,95,95
332,75,85
333,100,100
334,90,95
335,95,100
336,85,80
337,90,95
338,25,40
339,70,70
340,90,95
341,50,45
342,20,25
343,85,85
344,85,80
345,90,85
346,80,75
347,95,95
348,85,90
349,80,85
350,85,85
351,35,65
352,65,50
353,45,45
354,95,100
355,95,95
356,85,90
357,75,75
358,90,95
359,20,25
360,40,40
361,30,25
362,20,15
363,90,95
364,85,90
365,90,90
366,65,50
367,20,15
368,85,90
369,90,85
370,20,10
371,80,80
372,25,15
373,90,85
374,95,95
375,95,95
376,95,95
377,85,90
378,40,20
379,95,85
380,85,90
381,85,95
382,65,45
383,85,80
384,95,95
385,5,5
386,70,75
387,95,95
388,20,20
389,90,95
390,70,60
391,75,70
392,85,85
393,90,95
394,75,85
395,95,95
396,75,80
397,80,85
398,95,90
399,90,90
400,95,95
401,35,35
402,90,75
403,15,50
404,95,90
405,90,85
406,80,90
407,0,0
408,70,70
409,80,80
410,95,95
411,80,80
412,95,90
413,85,90
414,95,95
415,90,90
416,90,85
417,40,50
418,90,85
419,80,75
420,85,100
421,75,80
422,90,90
423,15,20
424,65,75
425,80,85
426,90,90
427,20,15
428,70,75
429,70,75
430,10,5
431,90,90
432,80,85
433,95,95
434,10,10
435,85,85
436,5,5
437,35,20
