treeName,family
Lilium_michiganense,Liliaceae
Sisyrinchium_angustifolium,Iridaceae
Allium_canadense,Liliaceae
Allium_cernuum,Liliaceae
Camassia_scilloides,Asparagaceae
Maianthemum_racemosum,Asparagaceae
Polygonatum_biflorum,Asparagaceae
Tradescantia_ohiensis,Commelinaceae
Juncus_interior,Juncaceae
Juncus_dudleyi,Juncaceae
Juncus_tenuis,Juncaceae
Carex_brevior,Cyperaceae
Carex_normalis,Cyperaceae
Carex_molesta,Cyperaceae
Carex_bicknellii,Cyperaceae
Carex_annectens,Cyperaceae
Carex_gravida,Cyperaceae
Carex_blanda,Cyperaceae
Bromus_kalmii,Poaceae
Elymus_canadensis,Poaceae
Hierochloe_odorata,Poaceae
Koeleria_pyramidata,Poaceae
Sorghastrum_nutans,Poaceae
Andropogon_gerardii,Poaceae
Schizachyrium_scoparium,Poaceae
Panicum_virgatum,Poaceae
Sporobolus_heterolepis,Poaceae
Eragrostis_spectabilis,Poaceae
Bouteloua_curtipendula,Poaceae
Thalictrum_dasycarpum,Ranunculaceae
Anemone_virginiana,Ranunculaceae
Anemone_cylindrica,Ranunculaceae
Anemone_canadensis,Ranunculaceae
Heuchera_richardsonii,Saxifragaceae
Oenothera_pilosella,Onagraceae
Hypericum_pyramidatum,Hypericaceae
Hypericum_punctatum,Hypericaceae
Viola_pedatifida,Violaceae
Euphorbia_corollata,Euphorbiaceae
Ceanothus_americanus,Rhamnaceae
Rosa_setigera,Rosaceae
Rosa_carolina,Rosaceae
Rosa_blanda,Rosaceae
Potentilla_arguta,Rosaceae
Spiraea_alba,Rosaceae
Chamaecrista_fasciculata,Fabaceae
Senna_marilandica,Fabaceae
Senna_hebecarpa,Fabaceae
Desmanthus_illinoensis,Fabaceae
Baptisia_bracteata,Fabaceae
Baptisia_alba,Fabaceae
Amorpha_canescens,Fabaceae
Dalea_candida,Fabaceae
Dalea_purpurea,Fabaceae
Desmodium_illinoense,Fabaceae
Desmodium_canadense,Fabaceae
Lespedeza_capitata,Fabaceae
Astragalus_canadensis,Fabaceae
Dodecatheon_meadia,Primulaceae
Polemonium_reptans,Polemoniaceae
Phlox_pilosa,Polemoniaceae
Eryngium_yuccifolium,Apiaceae
Zizia_aurea,Apiaceae
Zizia_aptera,Apiaceae
Campanula_rotundifolia,Campanulaceae
Ratibida_pinnata,Asteraceae
Silphium_terebinthinaceum,Asteraceae
Silphium_laciniatum,Asteraceae
Silphium_integrifolium,Asteraceae
Vernonia_altissima,Asteraceae
Vernonia_missurica,Asteraceae
Vernonia_fasciculata,Asteraceae
Arnoglossum_plantagineum,Asteraceae
Symphyotrichum_oolentangiense,Asteraceae
Symphyotrichum_novaeangliae,Asteraceae
Symphyotrichum_laeve,Asteraceae
Symphyotrichum_sericeum,Asteraceae
Symphyotrichum_ericoides,Asteraceae
Rudbeckia_triloba,Asteraceae
Rudbeckia_subtomentosa,Asteraceae
Rudbeckia_hirta,Asteraceae
Rudbeckia_fulgida,Asteraceae
Solidago_nemoralis,Asteraceae
Solidago_juncea,Asteraceae
Solidago_speciosa,Asteraceae
Solidago_rigida,Asteraceae
Euthamia_graminifolia,Asteraceae
Antennaria_neglecta,Asteraceae
Coreopsis_palmata,Asteraceae
Helenium_autumnale,Asteraceae
Brickellia_eupatorioides,Asteraceae
Liatris_spicata,Asteraceae
Liatris_scariosa,Asteraceae
Liatris_pycnostachya,Asteraceae
Liatris_aspera,Asteraceae
Eupatorium_altissimum,Asteraceae
Heliopsis_helianthoides,Asteraceae
Echinacea_purpurea,Asteraceae
Echinacea_pallida,Asteraceae
Helianthus_strumosus,Asteraceae
Helianthus_pauciflorus,Asteraceae
Helianthus_mollis,Asteraceae
Helianthus_occidentalis,Asteraceae
Parthenium_integrifolium,Asteraceae
Gentiana_andrewsii,Gentianaceae
Asclepias_verticillata,Asclepiadaceae
Asclepias_sullivantii,Asclepiadaceae
Asclepias_hirtella,Asclepiadaceae
Asclepias_tuberosa,Asclepiadaceae
Asclepias_syriaca,Asclepiadaceae
Penstemon_hirsutus,Plantaginaceae
Penstemon_digitalis,Plantaginaceae
Veronicastrum_virginicum,Scrophulariaceae
Castilleja_coccinea,Orobanchaceae
Agalinis_tenuifolia,Scrophulariaceae
Ruellia_humilis,Acanthaceae
Verbena_stricta,Verbenaceae
Teucrium_canadense,Lamiaceae
Physostegia_virginiana,Lamiaceae
Blephilia_ciliata,Lamiaceae
Pycnanthemum_pilosum,Lamiaceae
Pycnanthemum_virginianum,Lamiaceae
Pycnanthemum_tenuifolium,Lamiaceae
Monarda_fistulosa,Lamiaceae
Monarda_bradburiana,Lamiaceae
Agastache_scrophulariifolia,Lamiaceae
Agastache_nepetoides,Lamiaceae
Symphyotrichum_novae-angliae,Asteraceae
