"","Agastache_nepetoides","Agastache_scrophulariifolia","Agalinis_tenuifolia","Allium_canadense","Allium_cernuum","Amorpha_canescens","Andropogon_gerardii","Anemone_canadensis","Anemone_cylindrica","Anemone_virginiana","Antennaria_neglecta","Arnoglossum_plantagineum","Asclepias_hirtella","Asclepias_sullivantii","Asclepias_syriaca","Asclepias_tuberosa","Asclepias_verticillata","Astragalus_canadensis","Baptisia_alba","Baptisia_bracteata","Blephilia_ciliata","Bouteloua_curtipendula","Brickellia_eupatorioides","Bromus_kalmii","Campanula_rotundifolia","Camassia_scilloides","Castilleja_coccinea","Ceanothus_americanus","Chamaecrista_fasciculata","Coreopsis_palmata","Carex_annectens","Carex_bicknellii","Carex_blanda","Carex_brevior","Carex_gravida","Carex_molesta","Carex_normalis","Dalea_candida","Dalea_purpurea","Desmodium_canadense","Desmodium_illinoense","Dodecatheon_meadia","Desmanthus_illinoensis","Echinacea_pallida","Echinacea_purpurea","Elymus_canadensis","Eragrostis_spectabilis","Eryngium_yuccifolium","Eupatorium_altissimum","Euphorbia_corollata","Euthamia_graminifolia","Gentiana_andrewsii","Helenium_autumnale","Heliopsis_helianthoides","Helianthus_mollis","Helianthus_occidentalis","Helianthus_pauciflorus","Helianthus_strumosus","Heuchera_richardsonii","Hierochloe_odorata","Hypericum_punctatum","Hypericum_pyramidatum","Juncus_dudleyi","Juncus_interior","Juncus_tenuis","Koeleria_pyramidata","Lespedeza_capitata","Liatris_aspera","Liatris_pycnostachya","Liatris_scariosa","Liatris_spicata","Lilium_michiganense","Maianthemum_racemosum","Monarda_bradburiana","Monarda_fistulosa","Oenothera_pilosella","Solidago_rigida","Panicum_virgatum","Parthenium_integrifolium","Penstemon_digitalis","Penstemon_hirsutus","Phlox_pilosa","Physostegia_virginiana","Polygonatum_biflorum","Polemonium_reptans","Potentilla_arguta","Pycnanthemum_pilosum","Pycnanthemum_tenuifolium","Pycnanthemum_virginianum","Ratibida_pinnata","Rosa_blanda","Rosa_carolina","Rosa_setigera","Rudbeckia_fulgida","Rudbeckia_hirta","Rudbeckia_subtomentosa","Rudbeckia_triloba","Ruellia_humilis","Schizachyrium_scoparium","Senna_hebecarpa","Senna_marilandica","Silphium_integrifolium","Silphium_laciniatum","Silphium_terebinthinaceum","Sisyrinchium_angustifolium","Solidago_juncea","Solidago_nemoralis","Solidago_speciosa","Sorghastrum_nutans","Spiraea_alba","Sporobolus_heterolepis","Symphyotrichum_ericoides","Symphyotrichum_laeve","Symphyotrichum_novae-angliae","Symphyotrichum_oolentangiense","Symphyotrichum_sericeum","Teucrium_canadense","Thalictrum_dasycarpum","Tradescantia_ohiensis","Vernonia_fasciculata","Vernonia_altissima","Vernonia_missurica","Verbena_stricta","Veronicastrum_virginicum","Viola_pedatifida","Zizia_aptera","Zizia_aurea"
"2",1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"10",1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"14",0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"15",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
"22",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"24",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"31",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
