plot,flowers
1,0
2,1
3,0
4,0
5,0
6,0
7,1
8,1
9,0
10,1
11,0
12,1
13,0
14,1
15,1
16,1
17,0
18,1
19,0
20,1
21,0
22,1
23,0
24,1
25,0
26,0
27,1
28,1
29,0
30,1
31,1
32,0
33,1
34,0
35,1
36,1
37,1
38,0
39,1
40,1
41,1
42,1
43,0
44,0
45,0
46,0
47,1
48,0
49,0
50,1
51,1
52,1
53,1
54,1
55,1
56,0
57,0
58,1
59,0
60,1
61,1
62,1
63,0
64,0
65,0
66,1
67,0
68,0
69,0
70,0
71,0
72,0
73,0
74,1
75,1
76,0
77,0
78,1
79,1
80,1
81,1
82,1
83,0
84,0
85,1
86,1
87,1
88,1
89,1
90,0
91,0
92,1
93,0
94,1
95,1
96,1
97,0
98,0
99,1
100,1
101,1
102,0
103,0
104,1
105,1
106,1
107,0
108,1
109,1
110,1
111,0
112,0
113,0
114,0
115,0
116,0
117,1
118,1
119,0
120,1
121,0
122,0
123,1
124,1
125,0
126,1
127,1
128,1
129,1
130,0
131,1
132,0
133,0
134,1
135,1
136,0
137,0
138,1
139,0
140,1
141,0
142,1
143,1
144,1
145,0
146,1
147,1
148,1
149,1
150,1
151,1
152,1
153,1
154,1
155,1
156,0
157,0
158,0
159,1
160,1
161,0
162,0
163,1
164,0
165,1
166,0
167,0
168,1
169,1
170,0
171,0
172,1
173,0
174,1
175,0
176,1
177,1
178,0
179,0
180,0
181,1
182,0
183,0
184,0
185,0
186,0
187,0
188,1
189,0
190,0
191,1
192,0
193,1
194,1
195,1
196,1
197,0
198,1
199,1
200,1
201,0
202,0
203,1
204,1
205,1
206,0
207,0
208,0
209,0
210,0
211,1
212,1
213,0
214,1
215,1
216,0
217,0
218,0
219,1
220,0
221,0
222,1
223,1
224,0
225,0
226,1
227,1
228,1
229,1
230,1
231,0
232,0
233,1
234,1
235,1
236,0
237,0
238,0
239,1
240,1
241,1
242,1
243,0
244,1
245,1
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,1
254,0
255,0
256,1
257,1
258,0
259,0
260,1
261,0
262,1
263,0
264,0
265,1
266,1
267,0
268,0
269,0
270,1
271,1
272,1
273,1
274,1
275,1
276,0
277,1
278,1
279,1
280,0
281,1
282,1
283,1
284,1
285,1
286,0
287,1
288,1
289,1
290,1
291,1
292,0
293,1
294,1
295,1
296,1
297,0
298,1
299,0
300,1
301,1
302,0
303,0
304,1
305,1
306,0
307,0
308,0
309,1
310,1
311,1
312,1
313,0
314,0
315,1
316,0
317,0
318,1
319,1
320,1
321,1
322,0
323,1
324,0
325,1
326,1
327,0
328,0
329,1
330,1
331,0
332,0
333,1
334,1
335,1
336,1
337,1
338,0
339,1
340,0
341,1
342,0
343,0
344,1
345,0
346,0
347,0
348,0
349,0
350,1
351,0
352,0
353,0
354,0
355,1
356,1
357,0
358,1
359,0
360,1
361,0
362,0
363,0
364,1
365,1
366,0
367,0
368,1
369,1
370,0
371,1
372,0
373,0
374,1
375,1
376,1
377,0
378,0
379,0
380,1
381,1
382,1
383,1
384,0
385,0
386,0
387,1
388,1
389,0
390,0
391,0
392,0
393,1
394,0
395,1
396,1
397,1
398,1
399,1
400,1
401,1
402,0
403,0
404,1
405,1
406,1
407,0
408,0
409,0
410,0
411,1
412,1
413,0
414,1
415,1
416,1
417,0
418,1
419,0
420,0
421,0
422,0
423,0
424,1
425,1
426,1
427,1
428,1
429,1
430,0
431,1
432,0
433,1
434,0
435,0
436,0
437,0
