acceptedName_TNRS	acceptedSpecies_TNRS	treeName	acronym	acronym.v2	synonyms	commonName	origName_MOR	MOR_canidList	origName_PMN	PMN_canidList	origName_match	Annot	AnnotBy	AnnotDate	Family	primarySource	secondarySource	seedMass	LDMC	SLA	LNC	LCC	LPC	SDMC	circularity	flowerHeight	vegetativeHeight	leafLength	leafThickness	leafWidth	petioleLength	lifeCycle	lifeCycleCoded	Lifeform	dispersalMode	pollinationMode	bloomSeason	floweringStart	floweringStartcoded	floweringEnd	floweringPeriod	photosyntheticPathway	flowerColor	flowerStructure	fruit	inflorescence	rootTypes	adventitious	primary	bulbs	corms	fibrous	rhizomes	stolons	tubers	sex	commonness	habit	habitClean	woody	nFixer	wis_IL	wis_MN	WI_Good2C_Min	WI_Good2C_Max	WI_Mean2C	Kew_Jan2014_2C	Kew_Jun2015_2C	genome_Use	atFermi	atSchulenberg	Adapt_CoarseSoils	Adapt_FineSoils	Adapt_MediumSoils	FireResistant	FireTolerance	FloweringSeason	FruitSeed_Begin	FruitSeed_End	FruitSeed_Persistence	GerminationEfficiency	GrowthForm	LeafArea	LeafDryMass_CompoundLft	LeafPhenology	LeafRetention	LeafType	FunctType_Biome_BGC1	FunctType_Biome_BGC2	FunctType_LPJ_DGVM1	FunctType_LPJ_DGVM2	FunctType_Sheffield_DGVM1	FunctType_Sheffield_DGVM2	FunctType_Sheffield_DGVM3	Lifespan	marlinV12	PIZZO_Code	pizzo.seed	pizzo.plug
Agalinis aspera				0	Gerardia aspera	Rough False Foxglove		Include				"0, new, per WI Atlas and PMN"	MCG	9/22/2015	Scrophulariaceae			0.32														A	1				Autumnal	August	8	September	2	C3	red	complete;irregular	capsule	raceme	adventitious;fibrous	1	0	0	0	1	0	0	0	perfect	uncommon	F	F	H	0	FACU										0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	genus	Yellow	1	
Agalinis purpurea	Agalinis purpurea	Agalinis purpurea		0		Purple False Foxglove			Agalinis purpurea			wetland specialist	"MG, MCG"	6/16/2015	Scrophulariaceae			0.07														A										C3	violet	complete;irregular	capsule	raceme	adventitious;fibrous	Y				Y				perfect	occasional	F	F	H	0	FACW	FACW							Y		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq		#N/A	#N/A
Agalinis tenuifolia	Agalinis tenuifolia	Agalinis tenuifolia	agaten	agaten	Gerardia tenuifolia	Slender-Leaf False Foxglove		Include	Agalinis tenuifolia	Include		"0, FACW,  prefers poor soils, but found in many habitats IL wildf, listed as prairie sp in ILPIN"	MCG	11/18/2015	Scrophulariaceae	TRY		0.048														A	1				Autumnal	August	8	October	3	C3	red	complete;irregular	capsule	raceme	adventitious;fibrous	1	0	0	0	1	0	0	0	perfect	occasional	F	F	H	0	FACW	FACW							Y	N	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq	Green	1	1
Agastache foeniculum	Agastache foeniculum	Agastache foeniculum	agafoe	agafoe	Agastache anethiodora	Blue Giant-Hyssop			Agastache foeniculum	Include		non native to IL	"MG, MCG"	6/16/2015	Lamiaceae	UW		0.2891	375.6	145.3	1.59	46.31		441.8	0.4	98.66	92.44	4.9	0.29	2.69	7.94	P		hemicryptophytes		Biotic Unspecialized	Aestival	July		September	3	C3	blue	complete;irregular	nut	spike	primary		Y							perfect	rare	F	F	H	0			1	1.1	1.1			1.1	N																												#N/A	#N/A
Agastache nepetoides	Agastache nepetoides	Agastache nepetoides	aganep	aganep		Yellow Giant-Hyssop	Agastache nepetoides	Include	Agastache nepetoides	Include	1	"0,  per WI Atlas prefers woodland but found in OO and WM prairie"	MCG	9/24/2015	Lamiaceae	MOR			310.6					454.9		161.2	143.8		0.22		32.3	P	3				Aestival	July	7	September	3	C3	yellow	complete;irregular	nut	spike	primary;adventitious;rhizomes	1	1	0	0	0	1	0	0	perfect	occasional	F	F	H	0	FACU	FACU	1.6					1.6	Y	N																										Green	1	1
Agastache scrophulariifolia	Agastache scrophulariifolia	Agastache scrophulariifolia	agascr	agascr	Agastache scrophulariaefolia	Purple Giant Hyssop	Agastache scrophulariifolia	Include	Agastache scrophulariaefolia	Include	0	0			Lamiaceae	MOR			284.8					442.6		178.25	143.95		0.25		52.06	P	3				Aestival	July	7	September	3	C3	violet	complete;irregular	nut	spike	primary	0	1	0	0	0	0	0	0	perfect	occasional	F	F	H	0	UPL		1.2	1.7	1.5			1.5	Y	N																										Green	1	1
Agrostis hyemalis	Agrostis hyemalis	Agrostis hyemalis	agrhye	agrhye		Winter Bent		Include	Agrostis hyemalis	Include		0			Poaceae	TRY		0.055	349.5	133.2							62.96					P	3		Wind		Vernal	March	3	June	4	C3		complete	grain	panicle	adventitious;fibrous	1	0	0	0	1	0	0	0	perfect	common	G	G	H	0	FAC	FAC							Y	N	1	1	1	1	1	1	1	1	1	0	1	4	0	0	1	0	0	0	0	0	0	0	0	1	seq	Yellow	1	
Allium canadense	Allium canadense	Allium canadense	allcan	allcan		Meadow Garlic	Allium canadense	Include	Allium canadense	Include	1	0			Liliaceae	TRY		11.106														P	3				Vernal	May	5	July	3	C3	white;others	complete;regular	capsule	umbel	adventitious;bulbs	1	0	1	0	0	0	0	0	perfect	common	F	F	H	0	FACU	FACU							Y	Y	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	seq	Green	1	1
Allium canadense var. lavandulare	Allium canadense	Allium canadense		0		Meadow Garlic			Allium canadense var. lavendulare			"non native, color variant"	"MG, MCG"	6/16/2015	Liliaceae																	P											white;others	complete;regular	capsule	umbel	adventitious;bulbs	Y		Y						perfect	common				0	FACU	FACU							Y																										seq		#N/A	#N/A
Allium cernuum	Allium cernuum	Allium cernuum	allcer	allcer		Nodding Onion	Allium cernuum	Include	Allium cernuum	Include	1	"0, uncommon"	MCG	7/30/2015	Liliaceae	MOR		3.85	151.2	153.1				182.3	0.06	62.09	42.26	38.35	0.74	0.5		P	3				Aestival	July	7	September	3	C3	white;others	complete;regular	capsule	umbel	adventitious;bulbs	1	0	1	0	0	0	0	0	perfect	uncommon	F	F	H	0	FACU	FACU							Y		0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	seq	Green	1	1
