#Label	X/Longitude	Y/Latitude	Z/Altitude	X_est	Y_est	Z_est
point 1				-88.092928	41.820375	222.544353
point 2				-88.092951	41.820375	222.413399
point 3				-88.092953	41.820393	222.386354
point 4				-88.092928	41.820393	222.488016
point 5				-88.092928	41.820398	222.461427
point 6				-88.092953	41.820396	222.513652
point 7				-88.092953	41.820417	222.369939
point 8				-88.092928	41.820418	222.554782
point 9				-88.092928	41.820421	222.458169
point 10				-88.092950	41.820421	222.374959
point 11				-88.092950	41.820436	222.415003
point 12				-88.092928	41.820436	222.461595
point 13				-88.092925	41.820443	222.459232
point 14				-88.092952	41.820444	222.437648
point 15				-88.092952	41.820464	222.389754
point 16				-88.092928	41.820465	222.516673
point 17				-88.092929	41.820470	222.481311
point 18				-88.092953	41.820469	222.424486
point 19				-88.092953	41.820485	222.442683
point 20				-88.092928	41.820486	222.519194
point 21				-88.092927	41.820490	222.551517
point 22				-88.092953	41.820491	222.441643
point 23				-88.092954	41.820509	222.490021
point 24				-88.092927	41.820508	222.633441
point 25				-88.092928	41.820513	222.641161
point 26				-88.092954	41.820513	222.532456
point 27				-88.092954	41.820531	222.523080
point 28				-88.092927	41.820531	222.656732
point 29				-88.092929	41.820537	222.654742
point 30				-88.092955	41.820536	222.584280
point 31				-88.092956	41.820556	222.534943
point 32				-88.092930	41.820555	222.652017
point 33				-88.092931	41.820561	222.585444
point 34				-88.092957	41.820562	222.553289
point 35				-88.092959	41.820578	222.549718
point 36				-88.092932	41.820577	222.564716
point 37				-88.092932	41.820580	222.576821
point 38				-88.092959	41.820581	222.606821
point 39				-88.092960	41.820600	222.601644
point 40				-88.092932	41.820602	222.627270
point 41				-88.092932	41.820607	222.596143
point 42				-88.092960	41.820606	222.523829
point 43				-88.092961	41.820622	222.578294
point 44				-88.092932	41.820621	223.145019
point 45				-88.092932	41.820625	223.364803
point 46				-88.092962	41.820624	222.593662
point 47				-88.092961	41.820645	223.521416
point 48				-88.092934	41.820647	222.716948
point 49				-88.092935	41.820653	222.652909
point 50				-88.092963	41.820653	222.508340
point 51				-88.092964	41.820669	222.603654
point 52				-88.092936	41.820670	222.617496
point 53				-88.092936	41.820673	222.670520
point 54				-88.092962	41.820672	222.624350
point 55				-88.092965	41.820692	222.646043
point 56				-88.092937	41.820691	222.698811
point 57				-88.092936	41.820697	222.690493
point 58				-88.092964	41.820697	222.716970
point 59				-88.092965	41.820715	222.861364
point 60				-88.092937	41.820717	222.755290
point 61				-88.092938	41.820720	222.756207
point 62				-88.092964	41.820719	222.891929
point 63				-88.092966	41.820737	222.731633
point 64				-88.092938	41.820739	222.819914
point 65				-88.092939	41.820742	222.786199
point 66				-88.092965	41.820741	222.805864
point 67				-88.092968	41.820759	222.815567
point 68				-88.092940	41.820761	222.851694
point 69				-88.092943	41.820765	222.874116
point 70				-88.092970	41.820764	222.898057
point 71				-88.092973	41.820781	222.936722
point 72				-88.092946	41.820784	222.993933
point 73				-88.092896	41.820377	222.509979
point 74				-88.092922	41.820376	222.522128
point 75				-88.092923	41.820394	222.492272
point 76				-88.092895	41.820396	222.578288
point 77				-88.092895	41.820399	222.566526
point 78				-88.092923	41.820398	222.476687
point 79				-88.092924	41.820418	222.506655
