"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"116","-","planted","-","0.40, p < 0.0001","0.35, p < 0.0001",0.44,681.174,0
"33","GDVI2","planted","-0.13, p = 0.0331","0.45, p < 0.0001","0.38, p < 0.0001",0.45,682.392,1.21800000000007
"117","NDVI","planted","-0.10, p = 0.1006","0.44, p < 0.0001","0.39, p < 0.0001",0.45,684.162,2.98800000000006
"143","REG.CI","planted","-0.10, p = 0.1499","0.44, p < 0.0001","0.39, p < 0.0001",0.45,684.65,3.476
"213","GNDVI","planted","-0.09, p = 0.1808","0.44, p < 0.0001","0.39, p < 0.0001",0.45,684.929,3.755
"133","GRE.CI","planted","-0.07, p = 0.0995","0.39, p < 0.0001","0.36, p < 0.0001",0.45,684.977,3.803
"53","NIR","planted","-0.09, p = 0.2262","0.43, p < 0.0001","0.40, p < 0.0001",0.45,685.135,3.96100000000001
"73","REG","planted","-0.08, p = 0.2025","0.43, p < 0.0001","0.39, p < 0.0001",0.45,685.158,3.98400000000004
"123","NIR.CI","planted","-0.08, p = 0.3218","0.44, p < 0.0001","0.38, p < 0.0001",0.44,685.45,4.27600000000007
"118","RED.CI","planted","-0.06, p = 0.2244","0.37, p < 0.0001","0.35, p < 0.0001",0.45,685.867,4.69299999999998
"103","GDVI2.CI","planted","-0.03, p = 0.7181","0.42, p < 0.0001","0.35, p < 0.0001",0.44,686.306,5.13200000000006
"83","NDVI.CI","planted","-0.01, p = 0.9465","0.40, p < 0.0001","0.35, p < 0.0001",0.44,686.336,5.16200000000003
"93","GNDVI.CI","planted","0.03, p = 0.6267","0.38, p < 0.0001","0.34, p < 0.0001",0.44,686.432,5.25800000000004
"43","RED","planted","0.04, p = 0.4277","0.41, p < 0.0001","0.36, p < 0.0001",0.44,686.676,5.50200000000007
"63","GRE","planted","-0.03, p = 0.5219","0.40, p < 0.0001","0.35, p < 0.0001",0.44,687.155,5.98099999999999
"241","GDVI2.CI","total","0.23, p < 0.0001","0.15, p = 0.0061","0.38, p < 0.0001",0.41,712.627,31.453
"51","NIR","planted","0.16, p = 0.0081","0.50, p < 0.0001","-",0.38,712.72,31.546
"221","NDVI.CI","total","0.25, p < 0.0001","0.14, p = 0.0125","0.36, p < 0.0001",0.41,713.094,31.9200000000001
"121","NIR.CI","planted","0.17, p = 0.0134","0.48, p < 0.0001","-",0.38,713.363,32.1890000000001
"231","GNDVI.CI","total","0.24, p < 0.0001","0.16, p = 0.0027","0.36, p < 0.0001",0.41,713.38,32.206
"82","NDVI.CI","-","0.30, p < 0.0001","-","0.41, p < 0.0001",0.4,713.404,32.23
"110","-","planted","-","0.61, p < 0.0001","-",0.37,714.015,32.841
"111","-","-","-","-","0.61, p < 0.0001",0.37,714.015,32.841
"102","GDVI2.CI","-","0.27, p < 0.0001","-","0.44, p < 0.0001",0.4,714.201,33.027
"91","GNDVI.CI","planted","0.15, p = 0.0358","0.49, p < 0.0001","-",0.37,715.047,33.873
"71","REG","planted","0.12, p = 0.0427","0.53, p < 0.0001","-",0.37,715.681,34.5070000000001
"81","NDVI.CI","planted","0.14, p = 0.0887","0.49, p < 0.0001","-",0.37,716.238,35.0640000000001
"92","GNDVI.CI","-","0.27, p < 0.0001","-","0.43, p < 0.0001",0.4,716.432,35.258
"210","GNDVI","planted","0.10, p = 0.1257","0.54, p < 0.0001","-",0.37,717.302,36.128
"141","REG.CI","planted","0.09, p = 0.1731","0.54, p < 0.0001","-",0.37,717.781,36.607
"112","RED.CI","planted","-0.08, p = 0.1506","0.57, p < 0.0001","-",0.37,717.991,36.817
"131","GRE.CI","planted","-0.05, p = 0.2646","0.60, p < 0.0001","-",0.37,719.062,37.888
"101","GDVI2.CI","planted","0.02, p = 0.7851","0.59, p < 0.0001","-",0.36,719.085,37.9110000000001
"113","NDVI","planted","0.05, p = 0.4282","0.58, p < 0.0001","-",0.37,719.093,37.919
