"","VI used","cover used","VI","cover","A-horizon","R2","AIC","deltaAIC"
"8","GNDVIt-f","-","0.45, p = 3e-04","-","-","0.269",52.81,0
"5","GNDVIt","-","0.44, p = 3e-04","-","-","0.267",52.93,0.119999999999997
"51","GNDVIt","ground","0.41, p = 0.0010","0.14, p = 0.2589","-","0.290",53.54,0.729999999999997
"111","GNDVIt","drone","0.42, p = 0.0022","0.06, p = 0.7505","-","0.269",54.82,2.01
"52","GNDVIt","ground","0.41, p = 0.0012","0.14, p = 0.2605","-0.04, p = 0.7399","0.292",55.42,2.61
"7","NDVIt-f","-","0.33, p = 0.0018","-","-","0.209",56.25,3.44
"4","NDVIt","-","0.33, p = 0.0018","-","-","0.208",56.3,3.48999999999999
"112","GNDVIt","drone","0.42, p = 0.0027","0.06, p = 0.7425","-0.04, p = 0.7556","0.271",56.71,3.9
"9","GDVI2t-f","-","0.33, p = 0.0027","-","-","0.195",57.07,4.26
"6","GDVI2t","-","0.33, p = 0.0030","-","-","0.191",57.28,4.47
"41","NDVIt","ground","0.30, p = 0.0075","0.10, p = 0.4274","-","0.221",57.62,4.81
"10","NDVIt","drone","0.31, p = 0.0118","0.08, p = 0.6811","-","0.212",58.12,5.31
"61","GDVI2t","ground","0.30, p = 0.0123","0.11, p = 0.4202","-","0.204",58.57,5.76
"2","GNDVI","-","0.44, p = 0.0061","-","-","0.166",58.62,5.81
"121","GDVI2t","drone","0.31, p = 0.0201","0.07, p = 0.7226","-","0.193",59.14,6.33
"42","NDVIt","ground","0.31, p = 0.0091","0.10, p = 0.4547","0.04, p = 0.7882","0.222",59.54,6.73
"22","GNDVI","ground","0.39, p = 0.0217","0.13, p = 0.3470","-","0.184",59.66,6.84999999999999
"101","NDVIt","drone","0.32, p = 0.0141","0.07, p = 0.7267","0.04, p = 0.7707","0.213",60.03,7.22
"62","GDVI2t","ground","0.30, p = 0.0152","0.11, p = 0.4378","0.02, p = 0.8857","0.204",60.55,7.73999999999999
"81","GNDVI","drone","0.44, p = 0.0443","0.00, p = 0.9996","-","0.166",60.62,7.81
"122","GDVI2t","drone","0.31, p = 0.0245","0.06, p = 0.7521","0.02, p = 0.8639","0.194",61.11,8.3
"1","NDVI","-","0.34, p = 0.0238","-","-","0.116",61.17,8.36
"23","GNDVI","ground","0.39, p = 0.0237","0.13, p = 0.3470","-0.06, p = 0.6392","0.188",61.41,8.59999999999999
"13","NDVI","ground","0.28, p = 0.0877","0.13, p = 0.3478","-","0.135",62.21,9.4
"82","GNDVI","drone","0.44, p = 0.0483","0.00, p = 0.9885","-0.06, p = 0.6563","0.170",62.4,9.59
"71","NDVI","drone","0.28, p = 0.1704","0.10, p = 0.6700","-","0.120",62.97,10.16
"21","-","drone","-","0.33, p = 0.0663","-","0.078",63.01,10.2
"3","GDVI2","-","0.37, p = 0.0741","-","-","0.074",63.21,10.4
"11","-","ground","-","0.23, p = 0.0818","-","0.070",63.38,10.57
"31","GDVI2","ground","0.27, p = 0.2255","0.17, p = 0.2522","-","0.103",63.78,10.97
"14","NDVI","ground","0.27, p = 0.1026","0.14, p = 0.3453","-0.03, p = 0.8033","0.136",64.14,11.33
"91","GDVI2","drone","0.20, p = 0.4848","0.20, p = 0.4142","-","0.089",64.48,11.67
"72","NDVI","drone","0.27, p = 0.1993","0.11, p = 0.6517","-0.03, p = 0.8101","0.121",64.91,12.1
"32","GDVI2","ground","0.26, p = 0.2416","0.17, p = 0.2510","-0.06, p = 0.6715","0.108",65.58,12.77
"92","GDVI2","drone","0.19, p = 0.5149","0.21, p = 0.4027","-0.06, p = 0.6622","0.093",66.27,13.46
"12","-","-","-","-","-0.07, p = 0.6435","0.005",66.36,13.55
