"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"33","GDVI2","ground","-0.13, p = 0.0331","0.45, p < 0.0001","0.38, p < 0.0001","0.454",663.72,0
"19","NDVI","ground","-0.10, p = 0.1006","0.44, p < 0.0001","0.39, p < 0.0001","0.451",665.59,1.87
"133","GRE.CI","ground","-0.07, p = 0.1082","0.39, p < 0.0001","0.36, p < 0.0001","0.450",665.71,1.99000000000001
"143","REG.CI","ground","-0.10, p = 0.1499","0.44, p < 0.0001","0.39, p < 0.0001","0.449",666.23,2.50999999999999
"24","GNDVI","ground","-0.09, p = 0.1808","0.44, p < 0.0001","0.39, p < 0.0001","0.449",666.51,2.78999999999996
"73","REG","ground","-0.08, p = 0.2025","0.43, p < 0.0001","0.39, p < 0.0001","0.449",666.68,2.95999999999992
"113","RED.CI","ground","-0.06, p = 0.2244","0.37, p < 0.0001","0.35, p < 0.0001","0.448",666.83,3.11000000000001
"53","NIR","ground","-0.09, p = 0.2262","0.43, p < 0.0001","0.40, p < 0.0001","0.448",666.84,3.12
"123","NIR.CI","ground","-0.08, p = 0.3218","0.44, p < 0.0001","0.38, p < 0.0001","0.447",667.34,3.62
"43","RED","ground","0.04, p = 0.4277","0.41, p < 0.0001","0.36, p < 0.0001","0.447",667.69,3.97000000000003
"63","GRE","ground","-0.03, p = 0.5219","0.40, p < 0.0001","0.35, p < 0.0001","0.446",667.92,4.19999999999993
"93","GNDVI.CI","ground","0.03, p = 0.6267","0.38, p < 0.0001","0.34, p < 0.0001","0.446",668.09,4.37
"103","GDVI2.CI","ground","-0.03, p = 0.7181","0.42, p < 0.0001","0.35, p < 0.0001","0.446",668.2,4.48000000000002
"83","NDVI.CI","ground","-0.01, p = 0.9465","0.40, p < 0.0001","0.35, p < 0.0001","0.445",668.33,4.61000000000001
"51","NIR","ground","0.16, p = 0.0081","0.50, p < 0.0001","-","0.381",698.33,34.61
"82","NDVI.CI","-","0.30, p < 0.0001","-","0.41, p < 0.0001","0.403",698.8,35.0799999999999
"121","NIR.CI","ground","0.17, p = 0.0134","0.48, p < 0.0001","-","0.380",699.24,35.52
"102","GDVI2.CI","-","0.27, p < 0.0001","-","0.44, p < 0.0001","0.402",699.44,35.72
"91","GNDVI.CI","ground","0.15, p = 0.0358","0.49, p < 0.0001","-","0.376",700.97,37.25
"71","REG","ground","0.12, p = 0.0427","0.53, p < 0.0001","-","0.375",701.27,37.55
"92","GNDVI.CI","-","0.27, p < 0.0001","-","0.43, p < 0.0001","0.397",701.79,38.0699999999999
"81","NDVI.CI","ground","0.14, p = 0.0887","0.49, p < 0.0001","-","0.373",702.49,38.77
