"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"33","GDVI2","planted","-0.14, p = 0.0351","0.49, p < 0.0001","0.36, p < 0.0001","0.461",591.37,0
"117","NDVI","planted","-0.11, p = 0.0997","0.47, p < 0.0001","0.37, p < 0.0001","0.457",593.14,1.76999999999998
"133","GRE.CI","planted","-0.07, p = 0.1461","0.42, p < 0.0001","0.34, p < 0.0001","0.456",593.74,2.37
"213","GNDVI","planted","-0.11, p = 0.1502","0.47, p < 0.0001","0.37, p < 0.0001","0.456",593.79,2.41999999999996
"143","REG.CI","planted","-0.10, p = 0.1584","0.48, p < 0.0001","0.37, p < 0.0001","0.455",593.87,2.5
"116","-","planted","-","0.43, p < 0.0001","0.33, p < 0.0001","0.451",593.9,2.52999999999997
"73","REG","planted","-0.09, p = 0.2236","0.46, p < 0.0001","0.37, p < 0.0001","0.454",594.39,3.01999999999998
"118","RED.CI","planted","-0.06, p = 0.2381","0.40, p < 0.0001","0.33, p < 0.0001","0.454",594.48,3.11000000000001
"53","NIR","planted","-0.09, p = 0.2552","0.46, p < 0.0001","0.38, p < 0.0001","0.454",594.58,3.21000000000004
"123","NIR.CI","planted","-0.08, p = 0.3659","0.47, p < 0.0001","0.37, p < 0.0001","0.453",595.06,3.68999999999994
"43","RED","planted","0.05, p = 0.4077","0.44, p < 0.0001","0.34, p < 0.0001","0.452",595.2,3.83000000000004
"93","GNDVI.CI","planted","0.04, p = 0.6249","0.41, p < 0.0001","0.32, p < 0.0001","0.451",595.65,4.27999999999997
"63","GRE","planted","-0.02, p = 0.6753","0.43, p < 0.0001","0.33, p < 0.0001","0.451",595.72,4.35000000000002
"103","GDVI2.CI","planted","-0.03, p = 0.7398","0.45, p < 0.0001","0.33, p < 0.0001","0.451",595.78,4.40999999999997
"83","NDVI.CI","planted","0.00, p = 0.9694","0.43, p < 0.0001","0.33, p < 0.0001","0.451",595.89,4.51999999999998
"51","NIR","planted","0.15, p = 0.0257","0.53, p < 0.0001","-","0.395",617.94,26.5700000000001
"121","NIR.CI","planted","0.16, p = 0.0320","0.50, p < 0.0001","-","0.394",618.32,26.95
"91","GNDVI.CI","planted","0.14, p = 0.0618","0.52, p < 0.0001","-","0.392",619.45,28.08
"71","REG","planted","0.11, p = 0.0985","0.56, p < 0.0001","-","0.390",620.22,28.85
"81","NDVI.CI","planted","0.13, p = 0.1435","0.52, p < 0.0001","-","0.388",620.82,29.45
"110","-","planted","-","0.62, p < 0.0001","-","0.383",620.99,29.62
"112","RED.CI","planted","-0.08, p = 0.1786","0.59, p < 0.0001","-","0.387",621.15,29.78
