"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"72","REG","-","-0.26, p = 0.1203","-","0.67, p < 0.0001","0.498",46.52,0
"111","-","-","-","-","0.55, p < 0.0001","0.468",47.14,0.619999999999997
"62","GRE","-","-0.12, p = 0.2221","-","0.56, p < 0.0001","0.487",47.52,1
"52","NIR","-","-0.18, p = 0.2333","-","0.64, p < 0.0001","0.486",47.6,1.08
"213","REG","total","-0.30, p = 0.1014","0.11, p = 0.5656","0.66, p < 0.0001","0.502",48.15,1.63
"142","REG.CI","-","-0.11, p = 0.4148","-","0.60, p < 0.0001","0.476",48.42,1.9
"42","RED","-","-0.12, p = 0.4167","-","0.52, p < 0.0001","0.476",48.43,1.91
"73","REG","planted","-0.27, p = 0.1239","0.03, p = 0.8134","0.67, p < 0.0001","0.499",48.46,1.94
"122","NIR.CI","-","-0.10, p = 0.4464","-","0.60, p < 0.0001","0.475",48.51,1.98999999999999
"114","RED.CI","-","-0.11, p = 0.5013","-","0.53, p < 0.0001","0.473",48.65,2.13
"132","GRE.CI","-","-0.07, p = 0.5042","-","0.55, p < 0.0001","0.473",48.66,2.13999999999999
"32","GDVI2","-","-0.09, p = 0.6474","-","0.57, p < 0.0001","0.470",48.92,2.4
"92","GNDVI.CI","-","-0.06, p = 0.6573","-","0.57, p < 0.0001","0.470",48.93,2.41
"116","-","planted","-","-0.03, p = 0.8335","0.55, p < 0.0001","0.468",49.09,2.57
"115","NDVI","-","-0.02, p = 0.9047","-","0.55, p < 0.0001","0.468",49.13,2.61
"211","GNDVI","-","-0.02, p = 0.9171","-","0.56, p = 1e-04","0.468",49.13,2.61
"82","NDVI.CI","-","0.01, p = 0.9445","-","0.54, p < 0.0001","0.468",49.14,2.62
"102","GDVI2.CI","-","0.01, p = 0.9573","-","0.54, p < 0.0001","0.468",49.14,2.62
"212","-","total","-","-0.01, p = 0.9715","0.55, p < 0.0001","0.468",49.14,2.62
"191","NIR","total","-0.20, p = 0.2151","0.07, p = 0.6959","0.64, p < 0.0001","0.488",49.43,2.91
"63","GRE","planted","-0.12, p = 0.2343","0.01, p = 0.9497","0.55, p < 0.0001","0.487",49.52,3
"201","GRE","total","-0.12, p = 0.2280","0.00, p = 0.9837","0.56, p < 0.0001","0.487",49.52,3
"53","NIR","planted","-0.19, p = 0.2429","0.02, p = 0.8837","0.64, p < 0.0001","0.486",49.58,3.06
"143","REG.CI","planted","-0.16, p = 0.3812","0.07, p = 0.6877","0.61, p < 0.0001","0.478",50.24,3.72
"181","RED","total","-0.14, p = 0.3863","-0.06, p = 0.7418","0.54, p < 0.0001","0.478",50.31,3.79
"43","RED","planted","-0.13, p = 0.4029","-0.04, p = 0.7525","0.54, p < 0.0001","0.477",50.32,3.8
"123","NIR.CI","planted","-0.14, p = 0.4155","0.07, p = 0.7078","0.61, p < 0.0001","0.477",50.36,3.84
"281","REG.CI","total","-0.11, p = 0.4206","0.01, p = 0.9718","0.60, p < 0.0001","0.476",50.42,3.9
"117","RED.CI","planted","-0.12, p = 0.4674","-0.05, p = 0.7183","0.54, p < 0.0001","0.475",50.51,3.98999999999999
"261","NIR.CI","total","-0.10, p = 0.4523","0.00, p = 0.9810","0.60, p < 0.0001","0.475",50.51,3.98999999999999
"251","RED.CI","total","-0.11, p = 0.4901","-0.03, p = 0.8485","0.54, p < 0.0001","0.474",50.61,4.09
"271","GRE.CI","total","-0.07, p = 0.5059","-0.02, p = 0.9252","0.56, p < 0.0001","0.473",50.65,4.13
"133","GRE.CI","planted","-0.07, p = 0.5306","0.01, p = 0.9707","0.55, p < 0.0001","0.473",50.66,4.13999999999999
"33","GDVI2","planted","-0.08, p = 0.6652","-0.02, p = 0.8714","0.58, p < 0.0001","0.471",50.89,4.37
"171","GDVI2","total","-0.09, p = 0.6466","0.02, p = 0.9312","0.57, p < 0.0001","0.470",50.91,4.38999999999999
"93","GNDVI.CI","planted","-0.06, p = 0.6992","0.00, p = 0.9824","0.57, p < 0.0001","0.470",50.93,4.41
"231","GNDVI.CI","total","-0.06, p = 0.6603","-0.01, p = 0.9608","0.57, p < 0.0001","0.470",50.93,4.41
"83","NDVI.CI","planted","0.05, p = 0.7679","-0.07, p = 0.7232","0.54, p < 0.0001","0.469",51,4.48
"103","GDVI2.CI","planted","0.05, p = 0.7797","-0.07, p = 0.7307","0.55, p < 0.0001","0.469",51.01,4.48999999999999
"118","NDVI","planted","-0.01, p = 0.9333","-0.03, p = 0.8493","0.56, p < 0.0001","0.468",51.09,4.57
"214","GNDVI","planted","-0.02, p = 0.9311","-0.03, p = 0.8415","0.56, p = 2e-04","0.468",51.09,4.57
"151","NDVI","total","-0.02, p = 0.9100","0.00, p = 0.9944","0.55, p < 0.0001","0.468",51.13,4.61
"161","GNDVI","total","-0.02, p = 0.9230","0.00, p = 0.9962","0.56, p = 1e-04","0.468",51.13,4.61
"221","NDVI.CI","total","0.01, p = 0.9455","-0.01, p = 0.9724","0.54, p < 0.0001","0.468",51.14,4.62
"241","GDVI2.CI","total","0.01, p = 0.9614","-0.01, p = 0.9775","0.54, p < 0.0001","0.468",51.14,4.62
"2","GNDVI","-","0.56, p = 0.0010","-","-","0.229",63.45,16.93
"210","GNDVI","planted","0.52, p = 0.0043","0.12, p = 0.4476","-","0.240",64.82,18.3
"16","GNDVI","total","0.55, p = 0.0071","0.04, p = 0.8599","-","0.229",65.41,18.89
"1","NDVI","-","0.45, p = 0.0068","-","-","0.162",67.1,20.58
"22","NDVI.CI","total","0.29, p = 0.0306","0.30, p = 0.1530","-","0.179",68.22,21.7
"112","NDVI","planted","0.39, p = 0.0264","0.14, p = 0.3947","-","0.177",68.31,21.79
