"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"213","GNDVI","ground","-0.16, p = 0.1517","0.48, p = 1e-04","0.30, p = 0.0070","0.369",283.79,0
"116","-","ground","-","0.41, p = 1e-04","0.25, p = 0.0182","0.357",283.93,0.139999999999986
"63","GRE","ground","0.10, p = 0.2329","0.41, p = 1e-04","0.25, p = 0.0194","0.365",284.45,0.659999999999968
"33","GDVI2","ground","-0.11, p = 0.2934","0.46, p = 1e-04","0.27, p = 0.0123","0.363",284.78,0.989999999999952
"117","NDVI","ground","-0.11, p = 0.3297","0.46, p = 1e-04","0.28, p = 0.0116","0.362",284.94,1.14999999999998
"118","RED.CI","ground","-0.07, p = 0.4340","0.38, p = 9e-04","0.25, p = 0.0204","0.360",285.3,1.50999999999999
"43","RED","ground","0.07, p = 0.4379","0.43, p = 1e-04","0.26, p = 0.0154","0.360",285.31,1.51999999999998
"53","NIR","ground","-0.05, p = 0.6770","0.43, p = 3e-04","0.27, p = 0.0224","0.358",285.75,1.95999999999998
"123","NIR.CI","ground","-0.04, p = 0.7653","0.43, p = 9e-04","0.27, p = 0.0226","0.357",285.84,2.04999999999995
"143","REG.CI","ground","-0.03, p = 0.7625","0.43, p = 5e-04","0.26, p = 0.0197","0.357",285.84,2.04999999999995
"93","GNDVI.CI","ground","-0.02, p = 0.8664","0.42, p = 0.0024","0.26, p = 0.0191","0.357",285.91,2.12
"83","NDVI.CI","ground","0.01, p = 0.9183","0.40, p = 0.0079","0.25, p = 0.0218","0.357",285.92,2.13
"103","GDVI2.CI","ground","0.02, p = 0.9051","0.40, p = 0.0092","0.25, p = 0.0191","0.357",285.92,2.13
"73","REG","ground","-0.01, p = 0.9289","0.41, p = 4e-04","0.26, p = 0.0267","0.357",285.93,2.13999999999999
"133","GRE.CI","ground","0.00, p = 0.9585","0.41, p = 2e-04","0.25, p = 0.0187","0.357",285.93,2.13999999999999
"110","-","ground","-","0.57, p < 0.0001","-","0.322",287.7,3.90999999999997
"61","GRE","ground","0.10, p = 0.2212","0.57, p < 0.0001","-","0.331",288.15,4.35999999999996
"112","RED.CI","ground","-0.08, p = 0.3797","0.53, p < 0.0001","-","0.327",288.9,5.10999999999996
"71","REG","ground","0.08, p = 0.4272","0.52, p < 0.0001","-","0.326",289.05,5.25999999999999
"51","NIR","ground","0.08, p = 0.4826","0.52, p < 0.0001","-","0.325",289.19,5.39999999999998
"121","NIR.CI","ground","0.08, p = 0.5172","0.51, p = 1e-04","-","0.324",289.27,5.47999999999996
"31","GDVI2","ground","-0.06, p = 0.5414","0.61, p < 0.0001","-","0.324",289.31,5.51999999999998
"210","GNDVI","ground","-0.06, p = 0.5723","0.61, p < 0.0001","-","0.324",289.37,5.57999999999998
"81","NDVI.CI","ground","0.08, p = 0.5974","0.51, p = 5e-04","-","0.323",289.41,5.62
"41","RED","ground","0.05, p = 0.6074","0.59, p < 0.0001","-","0.323",289.43,5.63999999999999
"141","REG.CI","ground","0.05, p = 0.6716","0.54, p < 0.0001","-","0.323",289.51,5.71999999999997
"113","NDVI","ground","-0.03, p = 0.7517","0.59, p < 0.0001","-","0.322",289.6,5.81
"91","GNDVI.CI","ground","0.03, p = 0.7976","0.55, p < 0.0001","-","0.322",289.63,5.83999999999997
"101","GDVI2.CI","ground","0.03, p = 0.8330","0.55, p = 1e-04","-","0.322",289.65,5.85999999999996
"131","GRE.CI","ground","0.00, p = 0.9653","0.57, p < 0.0001","-","0.322",289.7,5.90999999999997
"102","GDVI2.CI","-","0.28, p = 0.0048","-","0.37, p = 2e-04","0.322",294.19,10.4
"82","NDVI.CI","-","0.29, p = 0.0056","-","0.34, p = 0.0012","0.320",294.47,10.68
"241","GDVI2.CI","drone","0.25, p = 0.0112","0.11, p = 0.2635","0.32, p = 0.0029","0.330",294.88,11.09
"221","NDVI.CI","drone","0.26, p = 0.0149","0.10, p = 0.3096","0.31, p = 0.0065","0.327",295.4,11.61
"92","GNDVI.CI","-","0.24, p = 0.0195","-","0.38, p = 3e-04","0.306",296.76,12.97
"231","GNDVI.CI","drone","0.22, p = 0.0370","0.13, p = 0.1999","0.33, p = 0.0041","0.317",297.05,13.26
"251","RED.CI","drone","-0.17, p = 0.0454","0.15, p = 0.1128","0.38, p = 3e-04","0.315",297.41,13.62
"114","RED.CI","-","-0.18, p = 0.0399","-","0.46, p < 0.0001","0.298",298.03,14.24
"122","NIR.CI","-","0.22, p = 0.0557","-","0.37, p = 0.0015","0.294",298.61,14.82
"261","NIR.CI","drone","0.18, p = 0.1253","0.12, p = 0.2337","0.33, p = 0.0062","0.304",299.13,15.34
"212","-","drone","-","0.16, p = 0.0992","0.44, p < 0.0001","0.288",299.58,15.79
"142","REG.CI","-","0.17, p = 0.1142","-","0.42, p = 1e-04","0.287",299.81,16.02
"201","GRE","drone","0.10, p = 0.2373","0.17, p = 0.0757","0.43, p < 0.0001","0.298",300.12,16.33
"72","REG","-","0.16, p = 0.1443","-","0.42, p = 2e-04","0.284",300.19,16.4
"281","REG.CI","drone","0.13, p = 0.2498","0.13, p = 0.2137","0.38, p = 0.0010","0.297",300.2,16.41
"111","-","-","-","-","0.53, p < 0.0001","0.270",300.39,16.6
"52","NIR","-","0.14, p = 0.2199","-","0.43, p = 4e-04","0.280",300.83,17.04
"214","REG","drone","0.10, p = 0.4049","0.12, p = 0.2587","0.39, p = 6e-04","0.293",300.86,17.07
"161","GNDVI","drone","-0.10, p = 0.4650","0.22, p = 0.0854","0.47, p < 0.0001","0.292",301.02,17.23
"171","GDVI2","drone","-0.10, p = 0.4721","0.24, p = 0.0994","0.45, p < 0.0001","0.292",301.04,17.25
"22","NDVI.CI","drone","0.41, p < 0.0001","0.19, p = 0.0434","-","0.278",301.11,17.32
"181","RED","drone","0.06, p = 0.5596","0.20, p = 0.0905","0.44, p < 0.0001","0.291",301.23,17.44
"271","GRE.CI","drone","-0.04, p = 0.6132","0.17, p = 0.0930","0.43, p < 0.0001","0.290",301.31,17.52
"191","NIR","drone","0.06, p = 0.6265","0.13, p = 0.2302","0.41, p = 8e-04","0.290",301.33,17.54
"151","NDVI","drone","-0.06, p = 0.6569","0.20, p = 0.1330","0.45, p < 0.0001","0.290",301.37,17.58
"62","GRE","-","0.08, p = 0.3310","-","0.53, p < 0.0001","0.276",301.41,17.62
"115","NDVI","-","0.08, p = 0.4239","-","0.48, p < 0.0001","0.274",301.73,17.94
"32","GDVI2","-","0.07, p = 0.4796","-","0.49, p < 0.0001","0.273",301.87,18.08
"211","GNDVI","-","0.05, p = 0.6031","-","0.49, p < 0.0001","0.272",302.11,18.32
"24","GDVI2.CI","drone","0.38, p = 1e-04","0.23, p = 0.0151","-","0.272",302.14,18.35
"42","RED","-","-0.04, p = 0.6808","-","0.51, p < 0.0001","0.271",302.21,18.42
"132","GRE.CI","-","-0.03, p = 0.7195","-","0.53, p < 0.0001","0.271",302.25,18.46
"8","NDVI.CI","-","0.51, p < 0.0001","-","-","0.250",303.32,19.53
"23","GNDVI.CI","drone","0.36, p = 2e-04","0.24, p = 0.0119","-","0.262",303.64,19.85
"26","NIR.CI","drone","0.37, p = 4e-04","0.20, p = 0.0464","-","0.253",304.93,21.14
"10","GDVI2.CI","-","0.48, p < 0.0001","-","-","0.231",306.23,22.44
"12","NIR.CI","-","0.48, p < 0.0001","-","-","0.225",307.03,23.24
"9","GNDVI.CI","-","0.47, p < 0.0001","-","-","0.217",308.18,24.39
"25","RED.CI","drone","-0.27, p = 0.0030","0.34, p = 2e-04","-","0.225",308.98,25.19
"28","REG.CI","drone","0.30, p = 0.0038","0.24, p = 0.0191","-","0.222",309.44,25.65
"21","REG","drone","0.29, p = 0.0089","0.21, p = 0.0562","-","0.211",311.03,27.24
"19","NIR","drone","0.31, p = 0.0090","0.19, p = 0.1067","-","0.211",311.04,27.25
