"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"73","REG","ground","-0.84, p = 0.0123","0.30, p = 0.1579","0.92, p = 1e-04","0.646",21.36,0
"72","REG","-","-0.60, p = 0.0337","-","0.94, p = 1e-04","0.606",21.84,0.48
"213","REG","drone","-0.83, p = 0.0251","0.25, p = 0.3054","0.98, p = 1e-04","0.627",22.53,1.17
"52","NIR","-","-0.38, p = 0.1108","-","0.84, p = 3e-04","0.564",24.16,2.8
"53","NIR","ground","-0.53, p = 0.0663","0.22, p = 0.3268","0.82, p = 5e-04","0.586",24.96,3.6
"111","-","-","-","-","0.59, p = 2e-04","0.503",25.15,3.79
"191","NIR","drone","-0.46, p = 0.1285","0.12, p = 0.6476","0.85, p = 4e-04","0.569",25.9,4.54
"62","GRE","-","-0.10, p = 0.4539","-","0.61, p = 2e-04","0.517",26.49,5.13
"142","REG.CI","-","-0.17, p = 0.5244","-","0.71, p = 0.0050","0.513",26.68,5.32
"122","NIR.CI","-","-0.14, p = 0.5328","-","0.69, p = 0.0036","0.513",26.7,5.34
"32","GDVI2","-","-0.21, p = 0.5663","-","0.64, p = 5e-04","0.511",26.77,5.41
"212","-","drone","-","-0.12, p = 0.5677","0.63, p = 4e-04","0.511",26.77,5.41
"102","GDVI2.CI","-","0.13, p = 0.5736","-","0.53, p = 0.0033","0.511",26.78,5.42
"211","GNDVI","-","-0.13, p = 0.6120","-","0.64, p = 0.0010","0.510",26.85,5.49
"114","NDVI","-","-0.11, p = 0.6638","-","0.63, p = 9e-04","0.508",26.93,5.57
"115","RED.CI","-","-0.10, p = 0.6623","-","0.58, p = 3e-04","0.508",26.93,5.57
"132","GRE.CI","-","-0.05, p = 0.7310","-","0.60, p = 3e-04","0.506",27.01,5.65
"82","NDVI.CI","-","0.08, p = 0.7389","-","0.55, p = 0.0058","0.506",27.02,5.66
"92","GNDVI.CI","-","-0.05, p = 0.7769","-","0.62, p = 0.0013","0.505",27.06,5.7
"42","RED","-","-0.04, p = 0.8603","-","0.58, p = 3e-04","0.504",27.12,5.76
"116","-","ground","-","-0.01, p = 0.9764","0.59, p = 0.0023","0.503",27.15,5.79
"143","REG.CI","ground","-0.52, p = 0.2856","0.31, p = 0.3845","0.78, p = 0.0042","0.533",27.74,6.38
