"","VI used","VI","volume","R2","AIC","deltaAIC"
"31","GDVI2","0.70, p < 0.0001","0.20, p = 0.0021","0.673",213.87,0
"3","GDVI2","0.80, p < 0.0001","-","0.643",221.68,7.81
"12","NDVI","0.69, p < 0.0001","0.16, p = 0.0324","0.629",228.03,14.16
"1","NDVI","0.78, p < 0.0001","-","0.613",230.75,16.88
"21","GNDVI","0.70, p < 0.0001","0.12, p = 0.1439","0.599",236.47,22.6
"2","GNDVI","0.77, p < 0.0001","-","0.591",236.68,22.81
"41","RED","-0.49, p < 0.0001","0.38, p < 0.0001","0.511",258.54,44.67
"51","NIR","0.58, p < 0.0001","0.15, p = 0.1444","0.470",267.56,53.69
"5","NIR","0.68, p < 0.0001","-","0.459",267.76,53.89
"71","REG","0.47, p < 0.0001","0.25, p = 0.0125","0.434",274.92,61.05
"7","REG","0.63, p < 0.0001","-","0.400",279.36,65.49
"4","RED","-0.63, p < 0.0001","-","0.391",281.05,67.18
"11","-","-","0.56, p < 0.0001","0.303",295.93,82.06
"61","GRE","-0.10, p = 0.2258","0.56, p < 0.0001","0.313",296.42,82.55
"6","GRE","-0.10, p = 0.2958","-","0.010",334.92,121.05
