"","VI used","VI","volume","R2","AIC","deltaAIC"
"3","GDVI2","1.47, p < 0.0001","-","0.730",5,0
"31","GDVI2","1.41, p < 0.0001","0.05, p = 0.6480","0.733",6.76,1.76
"1","NDVI","0.94, p < 0.0001","-","0.661",10.25,5.25
"12","NDVI","0.91, p = 1e-04","0.03, p = 0.8012","0.662",12.17,7.17
"7","REG","0.72, p = 1e-04","-","0.543",17.13,12.13
"71","REG","0.90, p = 0.0014","-0.16, p = 0.3791","0.561",18.22,13.22
"2","GNDVI","0.77, p = 1e-04","-","0.518",18.37,13.37
"5","NIR","0.61, p = 1e-04","-","0.516",18.47,13.47
"51","NIR","0.70, p = 0.0034","-0.10, p = 0.5942","0.523",20.14,15.14
"21","GNDVI","0.71, p = 0.0034","0.06, p = 0.6643","0.522",20.15,15.15
"41","RED","-0.54, p = 0.0062","0.31, p = 0.0164","0.495",21.45,16.45
"4","RED","-0.62, p = 0.0048","-","0.321",26.24,21.24
"11","-","-","0.37, p = 0.0131","0.259",28.26,23.26
"61","GRE","-0.02, p = 0.8973","0.37, p = 0.0177","0.260",30.24,25.24
"6","GRE","0.08, p = 0.6134","-","0.012",34.87,29.87
