"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"213","GNDVI","planted","-0.22, p = 0.0259","0.45, p < 0.0001","0.60, p < 0.0001",0.467,376.42,0
"116","-","planted","-","0.36, p < 0.0001","0.47, p < 0.0001",0.456,376.59,0.169999999999959
"33","GDVI2","planted","-0.15, p = 0.0672","0.43, p < 0.0001","0.53, p < 0.0001",0.465,378.41,1.99000000000001
"117","NDVI","planted","-0.16, p = 0.0861","0.42, p < 0.0001","0.55, p < 0.0001",0.462,378.62,2.19999999999999
"103","GDVI2.CI","planted","-0.15, p = 0.1749","0.46, p < 0.0001","0.51, p < 0.0001",0.467,379.34,2.91999999999996
"43","RED","planted","0.13, p = 0.1294","0.40, p < 0.0001","0.53, p < 0.0001",0.462,379.37,2.94999999999999
"83","NDVI.CI","planted","-0.15, p = 0.2081","0.45, p < 0.0001","0.54, p < 0.0001",0.464,379.45,3.02999999999997
"53","NIR","planted","-0.14, p = 0.1961","0.40, p < 0.0001","0.56, p < 0.0001",0.458,379.61,3.19
"123","NIR.CI","planted","-0.12, p = 0.3260","0.41, p < 0.0001","0.54, p < 0.0001",0.458,380.04,3.62
"63","GRE","planted","0.09, p = 0.2322","0.36, p < 0.0001","0.48, p < 0.0001",0.459,380.47,4.05000000000001
"118","RED.CI","planted","0.09, p = 0.3671","0.39, p < 0.0001","0.50, p < 0.0001",0.46,380.52,4.09999999999997
"93","GNDVI.CI","planted","-0.09, p = 0.4115","0.40, p < 0.0001","0.51, p < 0.0001",0.459,380.62,4.19999999999999
"73","REG","planted","-0.08, p = 0.3933","0.38, p < 0.0001","0.51, p < 0.0001",0.454,380.77,4.34999999999997
"143","REG.CI","planted","-0.06, p = 0.5552","0.38, p < 0.0001","0.49, p < 0.0001",0.454,380.95,4.52999999999997
"133","GRE.CI","planted","0.06, p = 0.4351","0.36, p < 0.0001","0.48, p < 0.0001",0.456,381.14,4.71999999999997
"110","-","planted","-","0.58, p < 0.0001","-",0.347,394.1,17.68
"111","-","-","-","-","0.58, p < 0.0001",0.347,394.1,17.68
"161","GNDVI","total","-0.24, p = 0.0328","0.36, p = 1e-04","0.72, p < 0.0001",0.454,395.27,18.85
"171","GDVI2","total","-0.21, p = 0.0267","0.38, p = 1e-04","0.65, p < 0.0001",0.458,395.27,18.85
"212","-","total","-","0.23, p = 0.0012","0.58, p < 0.0001",0.437,395.33,18.91
"121","NIR.CI","planted","0.19, p = 0.0714","0.45, p < 0.0001","-",0.363,395.51,19.09
"151","NDVI","total","-0.20, p = 0.0556","0.35, p = 2e-04","0.68, p < 0.0001",0.452,396.34,19.92
"51","NIR","planted","0.15, p = 0.1131","0.49, p < 0.0001","-",0.362,396.57,20.15
"91","GNDVI.CI","planted","0.12, p = 0.2267","0.49, p < 0.0001","-",0.352,397.35,20.93
"141","REG.CI","planted","0.12, p = 0.2265","0.50, p < 0.0001","-",0.356,397.4,20.98
"81","NDVI.CI","planted","0.12, p = 0.2768","0.48, p < 0.0001","-",0.351,397.41,20.99
"181","RED","total","0.15, p = 0.0936","0.31, p = 3e-04","0.64, p < 0.0001",0.448,397.53,21.11
"71","REG","planted","0.11, p = 0.2446","0.52, p < 0.0001","-",0.357,397.76,21.34
"231","GNDVI.CI","total","0.12, p = 0.1701","0.21, p = 0.0043","0.50, p < 0.0001",0.436,398.51,22.09
"112","RED.CI","planted","-0.05, p = 0.6239","0.55, p < 0.0001","-",0.346,398.52,22.1
"101","GDVI2.CI","planted","0.01, p = 0.9497","0.57, p < 0.0001","-",0.345,398.56,22.14
"241","GDVI2.CI","total","0.11, p = 0.1718","0.20, p = 0.0085","0.52, p < 0.0001",0.434,398.66,22.24
"210","GNDVI","planted","0.05, p = 0.5601","0.54, p < 0.0001","-",0.349,398.69,22.27
"221","NDVI.CI","total","0.12, p = 0.2051","0.20, p = 0.0094","0.50, p < 0.0001",0.435,398.71,22.29
"113","NDVI","planted","0.05, p = 0.5460","0.54, p < 0.0001","-",0.349,398.78,22.36
"61","GRE","planted","0.06, p = 0.4900","0.59, p < 0.0001","-",0.348,398.78,22.36
"191","NIR","total","-0.11, p = 0.3313","0.27, p = 0.0011","0.65, p < 0.0001",0.439,398.95,22.53
"131","GRE.CI","planted","0.03, p = 0.7608","0.58, p < 0.0001","-",0.346,399,22.58
"41","RED","planted","-0.02, p = 0.7895","0.57, p < 0.0001","-",0.346,399.09,22.67
"31","GDVI2","planted","-0.02, p = 0.8295","0.59, p < 0.0001","-",0.345,399.17,22.75
"261","NIR.CI","total","0.08, p = 0.4492","0.21, p = 0.0046","0.53, p < 0.0001",0.435,399.41,22.99
"201","GRE","total","0.08, p = 0.2839","0.24, p = 0.0010","0.59, p < 0.0001",0.439,399.52,23.1
"281","REG.CI","total","0.07, p = 0.4806","0.21, p = 0.0056","0.55, p < 0.0001",0.436,399.67,23.25
"214","REG","total","-0.06, p = 0.5795","0.25, p = 0.0021","0.61, p < 0.0001",0.435,399.8,23.38
"251","RED.CI","total","-0.05, p = 0.5493","0.22, p = 0.0029","0.56, p < 0.0001",0.434,399.94,23.52
"82","NDVI.CI","-","0.20, p = 0.0209","-","0.56, p < 0.0001",0.401,400.09,23.67
"102","GDVI2.CI","-","0.19, p = 0.0194","-","0.59, p < 0.0001",0.399,400.18,23.76
"271","GRE.CI","total","0.03, p = 0.7227","0.23, p = 0.0013","0.59, p < 0.0001",0.435,400.36,23.94
"92","GNDVI.CI","-","0.18, p = 0.0418","-","0.59, p < 0.0001",0.397,401.27,24.85
"142","REG.CI","-","0.17, p = 0.0736","-","0.62, p < 0.0001",0.402,402.08,25.66
"122","NIR.CI","-","0.18, p = 0.0858","-","0.59, p < 0.0001",0.397,402.1,25.68
"114","RED.CI","-","-0.13, p = 0.1672","-","0.66, p < 0.0001",0.391,403.44,27.02
"72","REG","-","0.10, p = 0.2750","-","0.67, p < 0.0001",0.395,404.18,27.76
"52","NIR","-","0.08, p = 0.4445","-","0.67, p < 0.0001",0.39,404.57,28.15
"62","GRE","-","0.06, p = 0.4060","-","0.75, p < 0.0001",0.389,404.95,28.53
"115","NDVI","-","0.06, p = 0.4462","-","0.68, p < 0.0001",0.39,405,28.58
"211","GNDVI","-","0.05, p = 0.5637","-","0.69, p < 0.0001",0.389,405.06,28.64
"132","GRE.CI","-","0.03, p = 0.6994","-","0.74, p < 0.0001",0.387,405.31,28.89
"32","GDVI2","-","0.05, p = 0.4873","-","0.70, p < 0.0001",0.389,405.33,28.91
"42","RED","-","-0.04, p = 0.6437","-","0.71, p < 0.0001",0.387,405.47,29.05
"22","NDVI.CI","total","0.36, p < 0.0001","0.26, p = 0.0010","-",0.339,413.08,36.66
"23","GNDVI.CI","total","0.34, p < 0.0001","0.31, p < 0.0001","-",0.339,413.31,36.89
"26","NIR.CI","total","0.38, p < 0.0001","0.27, p = 6e-04","-",0.346,413.48,37.06
"24","GDVI2.CI","total","0.31, p = 1e-04","0.30, p = 1e-04","-",0.317,417.36,40.94
"8","NDVI.CI","-","0.51, p < 0.0001","-","-",0.285,418.8,42.38
"12","NIR.CI","-","0.56, p < 0.0001","-","-",0.288,420.07,43.65
"28","REG.CI","total","0.31, p = 0.0010","0.31, p = 1e-04","-",0.319,420.5,44.08
"25","RED.CI","total","-0.27, p = 0.0038","0.36, p < 0.0001","-",0.296,423.08,46.66
"19","NIR","total","0.27, p = 0.0057","0.30, p = 0.0011","-",0.303,423.67,47.25
"9","GNDVI.CI","-","0.50, p < 0.0001","-","-",0.256,424.61,48.19
"29","-","total","-","0.47, p < 0.0001","-",0.263,426.52,50.1
"21","REG","total","0.21, p = 0.0347","0.34, p = 2e-04","-",0.291,426.87,50.45
"10","GDVI2.CI","-","0.48, p < 0.0001","-","-",0.24,427.21,50.79
"16","GNDVI","total","0.18, p = 0.0895","0.33, p = 0.0023","-",0.277,428.29,51.87
"5","NIR","-","0.49, p < 0.0001","-","-",0.249,429.44,53.02
"15","NDVI","total","0.13, p = 0.1970","0.36, p = 0.0010","-",0.27,429.56,53.14
"14","REG.CI","-","0.52, p < 0.0001","-","-",0.251,430.24,53.82
"18","RED","total","-0.06, p = 0.5563","0.43, p < 0.0001","-",0.262,431.06,54.64
