"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"213","GNDVI","planted","-0.23, p = 0.0254","0.46, p < 0.0001","0.60, p < 0.0001",0.467,371.65,0
"116","-","planted","-","0.36, p < 0.0001","0.47, p < 0.0001",0.455,371.9,0.25
"33","GDVI2","planted","-0.15, p = 0.0651","0.44, p < 0.0001","0.53, p < 0.0001",0.465,373.61,1.96000000000004
"117","NDVI","planted","-0.16, p = 0.0824","0.43, p < 0.0001","0.55, p < 0.0001",0.462,373.79,2.14000000000004
"103","GDVI2.CI","planted","-0.16, p = 0.1637","0.47, p < 0.0001","0.51, p < 0.0001",0.468,374.51,2.86000000000001
"83","NDVI.CI","planted","-0.16, p = 0.1968","0.46, p < 0.0001","0.53, p < 0.0001",0.465,374.62,2.97000000000003
"43","RED","planted","0.13, p = 0.1310","0.41, p < 0.0001","0.52, p < 0.0001",0.461,374.65,3
"53","NIR","planted","-0.14, p = 0.1908","0.40, p < 0.0001","0.55, p < 0.0001",0.458,374.82,3.17000000000002
"123","NIR.CI","planted","-0.13, p = 0.3077","0.41, p < 0.0001","0.54, p < 0.0001",0.459,375.21,3.56
"63","GRE","planted","0.09, p = 0.2418","0.36, p < 0.0001","0.48, p < 0.0001",0.458,375.79,4.14000000000004
"118","RED.CI","planted","0.09, p = 0.3803","0.39, p < 0.0001","0.49, p < 0.0001",0.459,375.84,4.19
"93","GNDVI.CI","planted","-0.09, p = 0.4152","0.40, p < 0.0001","0.51, p < 0.0001",0.458,375.9,4.25
"73","REG","planted","-0.08, p = 0.3909","0.39, p < 0.0001","0.51, p < 0.0001",0.454,376.03,4.38
"143","REG.CI","planted","-0.07, p = 0.5367","0.39, p < 0.0001","0.49, p < 0.0001",0.454,376.17,4.52000000000004
"133","GRE.CI","planted","0.06, p = 0.4579","0.36, p < 0.0001","0.48, p < 0.0001",0.456,376.45,4.80000000000001
"110","-","planted","-","0.58, p < 0.0001","-",0.349,388.54,16.89
"111","-","-","-","-","0.58, p < 0.0001",0.349,388.54,16.89
"171","GDVI2","total","-0.22, p = 0.0246","0.40, p = 1e-04","0.65, p < 0.0001",0.462,390.12,18.47
"121","NIR.CI","planted","0.19, p = 0.0909","0.46, p < 0.0001","-",0.364,390.27,18.62
"161","GNDVI","total","-0.25, p = 0.0339","0.37, p = 1e-04","0.72, p < 0.0001",0.456,390.33,18.68
"212","-","total","-","0.24, p = 0.0013","0.58, p < 0.0001",0.438,390.38,18.73
"151","NDVI","total","-0.21, p = 0.0529","0.37, p = 3e-04","0.68, p < 0.0001",0.455,391.24,19.59
"51","NIR","planted","0.14, p = 0.1390","0.49, p < 0.0001","-",0.362,391.27,19.62
"91","GNDVI.CI","planted","0.12, p = 0.2542","0.50, p < 0.0001","-",0.353,391.92,20.27
"81","NDVI.CI","planted","0.12, p = 0.3278","0.49, p = 1e-04","-",0.352,392.01,20.36
"141","REG.CI","planted","0.12, p = 0.2722","0.51, p < 0.0001","-",0.357,392.03,20.38
"71","REG","planted","0.10, p = 0.2846","0.52, p < 0.0001","-",0.357,392.35,20.7
"181","RED","total","0.15, p = 0.1014","0.32, p = 4e-04","0.64, p < 0.0001",0.449,392.67,21.02
"112","RED.CI","planted","-0.05, p = 0.6346","0.56, p < 0.0001","-",0.348,392.94,21.29
"101","GDVI2.CI","planted","-0.01, p = 0.9579","0.59, p < 0.0001","-",0.348,392.95,21.3
"210","GNDVI","planted","0.05, p = 0.6150","0.55, p < 0.0001","-",0.35,393.16,21.51
"113","NDVI","planted","0.05, p = 0.6160","0.55, p < 0.0001","-",0.35,393.26,21.61
"61","GRE","planted","0.05, p = 0.5323","0.59, p < 0.0001","-",0.349,393.27,21.62
"131","GRE.CI","planted","0.02, p = 0.8182","0.58, p < 0.0001","-",0.348,393.44,21.79
"31","GDVI2","planted","-0.03, p = 0.7552","0.60, p < 0.0001","-",0.348,393.5,21.85
"41","RED","planted","-0.02, p = 0.8268","0.57, p < 0.0001","-",0.348,393.51,21.86
"231","GNDVI.CI","total","0.12, p = 0.1735","0.21, p = 0.0047","0.50, p < 0.0001",0.437,393.57,21.92
"241","GDVI2.CI","total","0.11, p = 0.1797","0.20, p = 0.0098","0.52, p < 0.0001",0.435,393.75,22.1
"221","NDVI.CI","total","0.12, p = 0.2103","0.20, p = 0.0109","0.50, p < 0.0001",0.435,393.76,22.11
"191","NIR","total","-0.11, p = 0.3179","0.28, p = 0.0011","0.65, p < 0.0001",0.441,393.89,22.24
"261","NIR.CI","total","0.08, p = 0.4793","0.22, p = 0.0054","0.53, p < 0.0001",0.436,394.48,22.83
"201","GRE","total","0.08, p = 0.3107","0.24, p = 0.0012","0.59, p < 0.0001",0.439,394.64,22.99
"281","REG.CI","total","0.06, p = 0.5148","0.22, p = 0.0064","0.55, p < 0.0001",0.437,394.74,23.09
"214","REG","total","-0.06, p = 0.5615","0.26, p = 0.0023","0.61, p < 0.0001",0.437,394.76,23.11
"251","RED.CI","total","-0.06, p = 0.5243","0.22, p = 0.0030","0.55, p < 0.0001",0.435,394.92,23.27
"82","NDVI.CI","-","0.21, p = 0.0198","-","0.56, p < 0.0001",0.401,394.93,23.28
"102","GDVI2.CI","-","0.19, p = 0.0189","-","0.59, p < 0.0001",0.399,395.07,23.42
"271","GRE.CI","total","0.02, p = 0.7804","0.23, p = 0.0014","0.58, p < 0.0001",0.436,395.41,23.76
"92","GNDVI.CI","-","0.18, p = 0.0416","-","0.59, p < 0.0001",0.397,396.2,24.55
"122","NIR.CI","-","0.18, p = 0.0812","-","0.58, p < 0.0001",0.396,396.93,25.28
"142","REG.CI","-","0.17, p = 0.0714","-","0.62, p < 0.0001",0.401,396.95,25.3
"114","RED.CI","-","-0.13, p = 0.1633","-","0.66, p < 0.0001",0.39,398.33,26.68
"72","REG","-","0.10, p = 0.2606","-","0.67, p < 0.0001",0.395,399.03,27.38
"52","NIR","-","0.08, p = 0.4201","-","0.67, p < 0.0001",0.39,399.43,27.78
"62","GRE","-","0.07, p = 0.3889","-","0.75, p < 0.0001",0.388,399.81,28.16
"115","NDVI","-","0.07, p = 0.4197","-","0.68, p < 0.0001",0.389,399.84,28.19
"211","GNDVI","-","0.05, p = 0.5416","-","0.69, p < 0.0001",0.388,399.94,28.29
"32","GDVI2","-","0.05, p = 0.4653","-","0.70, p < 0.0001",0.388,400.2,28.55
"132","GRE.CI","-","0.04, p = 0.6897","-","0.75, p < 0.0001",0.387,400.2,28.55
"42","RED","-","-0.04, p = 0.6316","-","0.71, p < 0.0001",0.387,400.38,28.73
"22","NDVI.CI","total","0.35, p < 0.0001","0.27, p = 0.0011","-",0.34,407.65,36
"23","GNDVI.CI","total","0.34, p < 0.0001","0.31, p < 0.0001","-",0.341,407.75,36.1
"26","NIR.CI","total","0.38, p < 0.0001","0.27, p = 9e-04","-",0.345,408.24,36.59
"24","GDVI2.CI","total","0.31, p = 2e-04","0.31, p = 1e-04","-",0.318,411.85,40.2
"8","NDVI.CI","-","0.52, p < 0.0001","-","-",0.286,413.12,41.47
"12","NIR.CI","-","0.56, p < 0.0001","-","-",0.29,414.25,42.6
"28","REG.CI","total","0.31, p = 0.0017","0.32, p = 2e-04","-",0.319,415.09,43.44
"25","RED.CI","total","-0.27, p = 0.0039","0.37, p < 0.0001","-",0.301,416.78,45.13
"19","NIR","total","0.27, p = 0.0085","0.30, p = 0.0013","-",0.305,417.97,46.3200000000001
"9","GNDVI.CI","-","0.51, p < 0.0001","-","-",0.257,419.01,47.36
"29","-","total","-","0.47, p < 0.0001","-",0.269,420.19,48.54
"21","REG","total","0.20, p = 0.0487","0.35, p = 2e-04","-",0.293,421.03,49.38
"10","GDVI2.CI","-","0.49, p < 0.0001","-","-",0.241,421.53,49.88
"16","GNDVI","total","0.17, p = 0.1068","0.34, p = 0.0024","-",0.282,422.19,50.54
"15","NDVI","total","0.13, p = 0.2399","0.37, p = 0.0011","-",0.274,423.43,51.78
"5","NIR","-","0.49, p < 0.0001","-","-",0.25,423.47,51.8200000000001
