"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"116","-","planted","-","0.40, p < 0.0001","0.35, p < 0.0001",0.444,681.17,0
"33","GDVI2","planted","-0.13, p = 0.0331","0.45, p < 0.0001","0.38, p < 0.0001",0.452,682.39,1.22000000000003
"117","NDVI","planted","-0.10, p = 0.1006","0.44, p < 0.0001","0.39, p < 0.0001",0.448,684.16,2.99000000000001
"143","REG.CI","planted","-0.10, p = 0.1499","0.44, p < 0.0001","0.39, p < 0.0001",0.447,684.65,3.48000000000002
"213","GNDVI","planted","-0.09, p = 0.1808","0.44, p < 0.0001","0.39, p < 0.0001",0.446,684.93,3.75999999999999
"133","GRE.CI","planted","-0.07, p = 0.0995","0.39, p < 0.0001","0.36, p < 0.0001",0.45,684.98,3.81000000000006
"53","NIR","planted","-0.09, p = 0.2262","0.43, p < 0.0001","0.40, p < 0.0001",0.446,685.13,3.96000000000004
"73","REG","planted","-0.08, p = 0.2025","0.43, p < 0.0001","0.39, p < 0.0001",0.446,685.16,3.99000000000001
"123","NIR.CI","planted","-0.08, p = 0.3218","0.44, p < 0.0001","0.38, p < 0.0001",0.445,685.45,4.28000000000009
"118","RED.CI","planted","-0.06, p = 0.2244","0.37, p < 0.0001","0.35, p < 0.0001",0.446,685.87,4.70000000000005
"103","GDVI2.CI","planted","-0.03, p = 0.7181","0.42, p < 0.0001","0.35, p < 0.0001",0.443,686.31,5.13999999999999
"83","NDVI.CI","planted","-0.01, p = 0.9465","0.40, p < 0.0001","0.35, p < 0.0001",0.443,686.34,5.17000000000007
"93","GNDVI.CI","planted","0.03, p = 0.6267","0.38, p < 0.0001","0.34, p < 0.0001",0.443,686.43,5.25999999999999
"43","RED","planted","0.04, p = 0.4277","0.41, p < 0.0001","0.36, p < 0.0001",0.444,686.68,5.50999999999999
"63","GRE","planted","-0.03, p = 0.5219","0.40, p < 0.0001","0.35, p < 0.0001",0.444,687.15,5.98000000000002
"241","GDVI2.CI","total","0.23, p < 0.0001","0.15, p = 0.0061","0.38, p < 0.0001",0.415,712.63,31.46
"51","NIR","planted","0.16, p = 0.0081","0.50, p < 0.0001","-",0.38,712.72,31.5500000000001
"221","NDVI.CI","total","0.25, p < 0.0001","0.14, p = 0.0125","0.36, p < 0.0001",0.414,713.09,31.9200000000001
"121","NIR.CI","planted","0.17, p = 0.0134","0.48, p < 0.0001","-",0.378,713.36,32.1900000000001
"231","GNDVI.CI","total","0.24, p < 0.0001","0.16, p = 0.0027","0.36, p < 0.0001",0.414,713.38,32.21
"82","NDVI.CI","-","0.30, p < 0.0001","-","0.41, p < 0.0001",0.402,713.4,32.23
"110","-","planted","-","0.61, p < 0.0001","-",0.366,714.02,32.85
