"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"72","REG","-","-0.23, p = 0.1559","-","0.65, p < 0.0001",0.53,56.22,0
"52","NIR","-","-0.15, p = 0.3215","-","0.62, p < 0.0001",0.52,57.466,1.246
"42","RED","-","-0.13, p = 0.3761","-","0.52, p < 0.0001",0.53,57.651,1.431
"114","RED.CI","-","-0.11, p = 0.4714","-","0.53, p < 0.0001",0.52,57.79,1.57
"62","GRE","-","-0.11, p = 0.2407","-","0.55, p < 0.0001",0.53,57.902,1.682
"211","GNDVI","-","0.03, p = 0.8868","-","0.53, p = 1e-04",0.52,57.95,1.73
"142","REG.CI","-","-0.11, p = 0.4164","-","0.60, p < 0.0001",0.52,57.976,1.756
"32","GDVI2","-","-0.02, p = 0.8991","-","0.55, p < 0.0001",0.52,57.997,1.777
"212","-","drone","-","-0.03, p = 0.8690","0.55, p < 0.0001",0.52,58.164,1.944
"115","NDVI","-","0.01, p = 0.9508","-","0.54, p < 0.0001",0.52,58.328,2.108
"122","NIR.CI","-","-0.08, p = 0.4978","-","0.59, p < 0.0001",0.52,58.351,2.131
"116","-","ground","-","-0.04, p = 0.7695","0.56, p < 0.0001",0.52,58.644,2.424
"132","GRE.CI","-","-0.07, p = 0.4963","-","0.55, p < 0.0001",0.52,58.708,2.488
"92","GNDVI.CI","-","-0.04, p = 0.7385","-","0.56, p < 0.0001",0.52,58.779,2.559
"82","NDVI.CI","-","0.02, p = 0.8958","-","0.54, p < 0.0001",0.52,58.904,2.684
"102","GDVI2.CI","-","0.01, p = 0.8931","-","0.54, p < 0.0001",0.52,58.994,2.774
"213","REG","drone","-0.26, p = 0.1415","0.08, p = 0.6612","0.65, p < 0.0001",0.52,59.635,3.415
"73","REG","ground","-0.24, p = 0.1663","0.02, p = 0.8979","0.65, p < 0.0001",0.52,60.424,4.204
"191","NIR","drone","-0.16, p = 0.3163","0.04, p = 0.8270","0.62, p < 0.0001",0.51,61.028,4.808
"181","RED","drone","-0.16, p = 0.3218","-0.09, p = 0.6211","0.53, p < 0.0001",0.53,61.033,4.813
"251","RED.CI","drone","-0.13, p = 0.4436","-0.06, p = 0.7424","0.54, p < 0.0001",0.52,61.374,5.154
"161","GNDVI","drone","0.05, p = 0.8223","-0.04, p = 0.8104","0.53, p = 2e-04",0.52,61.455,5.235
"143","REG.CI","ground","-0.14, p = 0.4165","0.05, p = 0.7556","0.60, p < 0.0001",0.52,61.609,5.389
"171","GDVI2","drone","-0.02, p = 0.9304","-0.02, p = 0.8963","0.55, p < 0.0001",0.51,61.63,5.41
"201","GRE","drone","-0.11, p = 0.2478","-0.02, p = 0.9001","0.56, p < 0.0001",0.52,61.643,5.423
"53","NIR","ground","-0.15, p = 0.3452","0.00, p = 0.9866","0.62, p < 0.0001",0.51,61.652,5.432
"281","REG.CI","drone","-0.11, p = 0.4292","-0.01, p = 0.9385","0.60, p < 0.0001",0.52,61.701,5.481
"43","RED","ground","-0.14, p = 0.3543","-0.05, p = 0.6726","0.53, p < 0.0001",0.52,61.739,5.519
"117","RED.CI","ground","-0.13, p = 0.4236","-0.06, p = 0.6402","0.54, p < 0.0001",0.52,61.797,5.577
"151","NDVI","drone","0.02, p = 0.8991","-0.04, p = 0.8436","0.54, p < 0.0001",0.51,61.881,5.661
"123","NIR.CI","ground","-0.11, p = 0.5190","0.04, p = 0.8338","0.59, p < 0.0001",0.51,62.016,5.796
"261","NIR.CI","drone","-0.08, p = 0.5096","-0.02, p = 0.9220","0.59, p < 0.0001",0.51,62.069,5.849
