"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"116","-","planted","-","0.43, p < 0.0001","0.33, p < 0.0001",0.449,608.1,0
"33","GDVI2","planted","-0.14, p = 0.0351","0.49, p < 0.0001","0.36, p < 0.0001",0.458,609.27,1.16999999999996
"117","NDVI","planted","-0.11, p = 0.0997","0.47, p < 0.0001","0.37, p < 0.0001",0.454,610.92,2.81999999999994
"213","GNDVI","planted","-0.11, p = 0.1502","0.47, p < 0.0001","0.37, p < 0.0001",0.453,611.42,3.31999999999994
"143","REG.CI","planted","-0.10, p = 0.1584","0.48, p < 0.0001","0.37, p < 0.0001",0.452,611.48,3.38
"53","NIR","planted","-0.09, p = 0.2552","0.46, p < 0.0001","0.38, p < 0.0001",0.451,612.05,3.94999999999993
"73","REG","planted","-0.09, p = 0.2236","0.46, p < 0.0001","0.37, p < 0.0001",0.451,612.06,3.95999999999992
"133","GRE.CI","planted","-0.07, p = 0.1317","0.42, p < 0.0001","0.34, p < 0.0001",0.455,612.17,4.06999999999994
"123","NIR.CI","planted","-0.08, p = 0.3659","0.47, p < 0.0001","0.37, p < 0.0001",0.45,612.34,4.24000000000001
"118","RED.CI","planted","-0.06, p = 0.2350","0.40, p < 0.0001","0.33, p < 0.0001",0.452,612.72,4.62
"103","GDVI2.CI","planted","-0.03, p = 0.7398","0.45, p < 0.0001","0.33, p < 0.0001",0.448,613.08,4.98000000000002
"83","NDVI.CI","planted","0.00, p = 0.9694","0.43, p < 0.0001","0.33, p < 0.0001",0.448,613.09,4.99000000000001
"93","GNDVI.CI","planted","0.04, p = 0.6249","0.41, p < 0.0001","0.32, p < 0.0001",0.448,613.18,5.07999999999993
"43","RED","planted","0.05, p = 0.4077","0.44, p < 0.0001","0.34, p < 0.0001",0.449,613.4,5.29999999999995
"63","GRE","planted","-0.02, p = 0.6753","0.43, p < 0.0001","0.33, p < 0.0001",0.448,614.15,6.04999999999995
"110","-","planted","-","0.62, p < 0.0001","-",0.382,631.17,23.0699999999999
"111","-","-","-","-","0.62, p < 0.0001",0.382,631.17,23.0699999999999
"51","NIR","planted","0.15, p = 0.0257","0.53, p < 0.0001","-",0.393,631.75,23.65
"121","NIR.CI","planted","0.16, p = 0.0320","0.50, p < 0.0001","-",0.392,631.86,23.76
"91","GNDVI.CI","planted","0.14, p = 0.0618","0.52, p < 0.0001","-",0.39,632.96,24.86
