"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"72","REG","-","-0.23, p = 0.1559","-","0.65, p < 0.0001",0.53,56.22,0
"52","NIR","-","-0.15, p = 0.3215","-","0.62, p < 0.0001",0.52,57.47,1.25
"42","RED","-","-0.13, p = 0.3761","-","0.52, p < 0.0001",0.527,57.65,1.43
"114","RED.CI","-","-0.11, p = 0.4714","-","0.53, p < 0.0001",0.524,57.79,1.57
"62","GRE","-","-0.11, p = 0.2407","-","0.55, p < 0.0001",0.529,57.9,1.68
"211","GNDVI","-","0.03, p = 0.8868","-","0.53, p = 1e-04",0.52,57.95,1.73
"142","REG.CI","-","-0.11, p = 0.4164","-","0.60, p < 0.0001",0.524,57.98,1.76
"32","GDVI2","-","-0.02, p = 0.8991","-","0.55, p < 0.0001",0.517,58,1.78
"212","-","total","-","-0.03, p = 0.8690","0.55, p < 0.0001",0.519,58.16,1.94
"115","NDVI","-","0.01, p = 0.9508","-","0.54, p < 0.0001",0.519,58.33,2.11
"122","NIR.CI","-","-0.08, p = 0.4978","-","0.59, p < 0.0001",0.52,58.35,2.13
"116","-","planted","-","-0.04, p = 0.7695","0.56, p < 0.0001",0.519,58.64,2.42
"132","GRE.CI","-","-0.07, p = 0.4963","-","0.55, p < 0.0001",0.522,58.71,2.49
"92","GNDVI.CI","-","-0.04, p = 0.7385","-","0.56, p < 0.0001",0.518,58.78,2.56
"82","NDVI.CI","-","0.02, p = 0.8958","-","0.54, p < 0.0001",0.518,58.9,2.68
"102","GDVI2.CI","-","0.01, p = 0.8931","-","0.54, p < 0.0001",0.518,58.99,2.77
"213","REG","total","-0.26, p = 0.1415","0.08, p = 0.6612","0.65, p < 0.0001",0.523,59.63,3.41
"73","REG","planted","-0.24, p = 0.1663","0.02, p = 0.8979","0.65, p < 0.0001",0.523,60.42,4.2
"181","RED","total","-0.16, p = 0.3218","-0.09, p = 0.6211","0.53, p < 0.0001",0.526,61.03,4.81
"191","NIR","total","-0.16, p = 0.3163","0.04, p = 0.8270","0.62, p < 0.0001",0.512,61.03,4.81
"251","RED.CI","total","-0.13, p = 0.4436","-0.06, p = 0.7424","0.54, p < 0.0001",0.52,61.37,5.15
"161","GNDVI","total","0.05, p = 0.8223","-0.04, p = 0.8104","0.53, p = 2e-04",0.516,61.46,5.24
