"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"116","-","ground","-","0.40, p < 0.0001","0.35, p < 0.0001",0.44,681.174,0
"33","GDVI2","ground","-","-0.12, p = 0.0456","0.45, p < 0.0001",0.45,682.902,1.72800000000007
"143","REG.CI","ground","-","-0.10, p = 0.1499","0.44, p < 0.0001",0.45,684.65,3.476
"53","NIR","ground","-","-0.09, p = 0.2262","0.43, p < 0.0001",0.45,685.135,3.96100000000001
"73","REG","ground","-","-0.08, p = 0.2025","0.43, p < 0.0001",0.45,685.158,3.98400000000004
"123","NIR.CI","ground","-","-0.09, p = 0.2629","0.44, p < 0.0001",0.45,685.191,4.01700000000005
"117","NDVI","ground","-","-0.07, p = 0.2478","0.42, p < 0.0001",0.45,685.512,4.33799999999997
"213","GNDVI","ground","-","-0.07, p = 0.2791","0.43, p < 0.0001",0.45,685.527,4.35300000000007
"133","GRE.CI","ground","-","-0.06, p = 0.1681","0.40, p < 0.0001",0.45,685.746,4.572
"118","RED.CI","ground","-","-0.06, p = 0.2357","0.38, p < 0.0001",0.45,685.903,4.72900000000004
"93","GNDVI.CI","ground","-","0.04, p = 0.5503","0.37, p < 0.0001",0.44,686.172,4.99800000000005
"83","NDVI.CI","ground","-","0.02, p = 0.8350","0.39, p < 0.0001",0.44,686.3,5.12599999999998
"103","GDVI2.CI","ground","-","0.01, p = 0.9415","0.39, p < 0.0001",0.44,686.399,5.22500000000002
"63","GRE","ground","-","-0.03, p = 0.4888","0.40, p < 0.0001",0.44,687.091,5.91700000000003
"43","RED","ground","-","0.00, p = 0.9540","0.40, p < 0.0001",0.44,687.352,6.178
"241","GDVI2.CI","drone","-","0.26, p < 0.0001","0.15, p = 0.0045",0.42,709.074,27.9
"102","GDVI2.CI","-","0.29, p < 0.0001","-","0.43, p < 0.0001",0.41,711.184,30.01
"221","NDVI.CI","drone","-","0.27, p < 0.0001","0.14, p = 0.0099",0.42,711.297,30.123
"231","GNDVI.CI","drone","-","0.26, p < 0.0001","0.16, p = 0.0035",0.42,711.329,30.155
"82","NDVI.CI","-","0.31, p < 0.0001","-","0.39, p < 0.0001",0.41,712.004,30.83
"91","GNDVI.CI","ground","0.20, p = 0.0086","0.46, p < 0.0001","-",0.38,712.461,31.287
"51","NIR","ground","0.16, p = 0.0081","0.50, p < 0.0001","-",0.38,712.72,31.546
"92","GNDVI.CI","-","0.30, p < 0.0001","-","0.40, p < 0.0001",0.4,713.907,32.7330000000001
"110","-","ground","0.61, p < 0.0001","-","-",0.37,714.015,32.841
"111","-","-","0.61, p < 0.0001","-","-",0.37,714.015,32.841
"121","NIR.CI","ground","0.16, p = 0.0264","0.49, p < 0.0001","-",0.38,714.529,33.355
"81","NDVI.CI","ground","0.18, p = 0.0332","0.46, p < 0.0001","-",0.37,714.622,33.448
"71","REG","ground","0.12, p = 0.0427","0.53, p < 0.0001","-",0.37,715.681,34.5070000000001
"210","GNDVI","ground","0.13, p = 0.0488","0.52, p < 0.0001","-",0.37,715.779,34.605
"112","RED.CI","ground","-0.11, p = 0.0429","0.56, p < 0.0001","-",0.37,715.939,34.765
"113","NDVI","ground","0.10, p = 0.1025","0.55, p < 0.0001","-",0.37,717.098,35.924
"141","REG.CI","ground","0.09, p = 0.1731","0.54, p < 0.0001","-",0.37,717.781,36.607
"101","GDVI2.CI","ground","0.09, p = 0.3083","0.54, p < 0.0001","-",0.37,718.101,36.927
"41","RED","ground","-0.07, p = 0.1916","0.58, p < 0.0001","-",0.37,718.411,37.237
"131","GRE.CI","ground","-0.05, p = 0.3120","0.61, p < 0.0001","-",0.37,719.281,38.107
"31","GDVI2","ground","0.00, p = 0.9869","0.61, p < 0.0001","-",0.36,719.71,38.5360000000001
"61","GRE","ground","0.00, p = 0.9842","0.61, p < 0.0001","-",0.36,720.293,39.119
"251","RED.CI","drone","-","-0.16, p = 0.0016","0.20, p = 3e-04",0.41,720.672,39.498
"212","-","drone","-","0.21, p = 2e-04","0.48, p < 0.0001",0.38,724.422,43.248
"261","NIR.CI","drone","-","0.14, p = 0.0429","0.17, p = 0.0041",0.39,725.842,44.668
"171","GDVI2","drone","-","-0.14, p = 0.0886","0.30, p = 1e-04",0.39,726.741,45.567
"114","RED.CI","-","-0.17, p = 8e-04","-","0.53, p < 0.0001",0.38,727.66,46.486
"271","GRE.CI","drone","-","-0.08, p = 0.0935","0.21, p = 1e-04",0.39,728.017,46.8430000000001
"122","NIR.CI","-","0.21, p = 0.0016","-","0.44, p < 0.0001",0.37,728.217,47.043
"281","REG.CI","drone","-","0.07, p = 0.2975","0.18, p = 0.0016",0.38,728.949,47.775
"151","NDVI","drone","-","-0.05, p = 0.5000","0.24, p = 7e-04",0.38,729.277,48.1030000000001
"191","NIR","drone","-","-0.03, p = 0.7511","0.22, p = 7e-04",0.38,729.524,48.35
"161","GNDVI","drone","-","-0.01, p = 0.9062","0.21, p = 0.0027",0.38,729.594,48.4200000000001
"214","REG","drone","-","-0.03, p = 0.7068","0.22, p = 5e-04",0.38,729.684,48.51
"201","GRE","drone","-","-0.04, p = 0.4119","0.21, p = 2e-04",0.39,730.09,48.9160000000001
"181","RED","drone","-","0.00, p = 0.9944","0.21, p = 5e-04",0.38,730.428,49.254
"142","REG.CI","-","0.14, p = 0.0211","-","0.50, p < 0.0001",0.36,733.038,51.864
