"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"116","-","ground","-","0.43, p < 0.0001","0.33, p < 0.0001",0.45,608.1,0
"33","GDVI2","ground","-","-0.13, p = 0.0475","0.49, p < 0.0001",0.46,609.736,1.63599999999997
"143","REG.CI","ground","-","-0.10, p = 0.1584","0.48, p < 0.0001",0.45,611.476,3.37599999999998
"213","GNDVI","ground","-","-0.09, p = 0.2267","0.47, p < 0.0001",0.45,612.004,3.904
"53","NIR","ground","-","-0.09, p = 0.2552","0.46, p < 0.0001",0.45,612.052,3.952
"73","REG","ground","-","-0.09, p = 0.2236","0.46, p < 0.0001",0.45,612.063,3.96299999999997
"123","NIR.CI","ground","-","-0.09, p = 0.3035","0.47, p < 0.0001",0.45,612.119,4.01900000000001
"117","NDVI","ground","-","-0.08, p = 0.2394","0.46, p < 0.0001",0.45,612.221,4.12099999999998
"118","RED.CI","ground","-","-0.06, p = 0.2655","0.41, p < 0.0001",0.45,612.832,4.73199999999997
"93","GNDVI.CI","ground","-","0.05, p = 0.5513","0.40, p < 0.0001",0.45,612.899,4.79899999999998
"133","GRE.CI","ground","-","-0.06, p = 0.2404","0.43, p < 0.0001",0.45,612.977,4.87699999999995
"83","NDVI.CI","ground","-","0.02, p = 0.8055","0.41, p < 0.0001",0.45,613.023,4.923
"103","GDVI2.CI","ground","-","0.01, p = 0.8896","0.42, p < 0.0001",0.45,613.109,5.00900000000001
"43","RED","ground","-","0.01, p = 0.8606","0.43, p < 0.0001",0.45,614.081,5.98099999999999
"63","GRE","ground","-","-0.02, p = 0.6666","0.43, p < 0.0001",0.45,614.138,6.03800000000001
"91","GNDVI.CI","ground","0.19, p = 0.0185","0.48, p < 0.0001","-",0.39,630.783,22.683
"110","-","ground","0.62, p < 0.0001","-","-",0.38,631.169,23.069
"111","-","-","0.62, p < 0.0001","-","-",0.38,631.169,23.069
"51","NIR","ground","0.15, p = 0.0257","0.53, p < 0.0001","-",0.39,631.75,23.65
"81","NDVI.CI","ground","0.17, p = 0.0590","0.49, p < 0.0001","-",0.39,632.575,24.475
"121","NIR.CI","ground","0.15, p = 0.0578","0.52, p < 0.0001","-",0.39,632.848,24.7479999999999
"112","RED.CI","ground","-0.11, p = 0.0683","0.58, p < 0.0001","-",0.39,633.703,25.603
"71","REG","ground","0.11, p = 0.0985","0.56, p < 0.0001","-",0.39,634.065,25.965
"210","GNDVI","ground","0.10, p = 0.1636","0.56, p < 0.0001","-",0.39,634.72,26.62
"101","GDVI2.CI","ground","0.09, p = 0.3394","0.55, p < 0.0001","-",0.38,635.195,27.095
"113","NDVI","ground","0.08, p = 0.2277","0.58, p < 0.0001","-",0.38,635.305,27.2049999999999
"141","REG.CI","ground","0.07, p = 0.2910","0.57, p < 0.0001","-",0.38,635.516,27.4159999999999
"241","GDVI2.CI","drone","-","0.28, p < 0.0001","0.16, p = 0.0074",0.42,636.039,27.939
"41","RED","ground","-0.06, p = 0.3108","0.61, p < 0.0001","-",0.38,636.091,27.991
"31","GDVI2","ground","-0.02, p = 0.7743","0.64, p < 0.0001","-",0.38,636.631,28.5309999999999
"131","GRE.CI","ground","-0.04, p = 0.4298","0.63, p < 0.0001","-",0.38,636.638,28.538
