"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"72","REG","-","-0.23, p = 0.1559","-","0.65, p < 0.0001",0.53,56.22,0
"52","NIR","-","-0.15, p = 0.3215","-","0.62, p < 0.0001",0.52,57.466,1.246
"142","REG.CI","-","-0.11, p = 0.4164","-","0.60, p < 0.0001",0.52,57.976,1.756
"211","GNDVI","-","0.03, p = 0.8737","-","0.53, p = 2e-04",0.52,58.075,1.855
"42","RED","-","-0.11, p = 0.3296","-","0.51, p < 0.0001",0.52,58.075,1.855
"62","GRE","-","-0.10, p = 0.2663","-","0.55, p < 0.0001",0.52,58.142,1.922
"212","-","drone","-","-0.03, p = 0.8690","0.55, p < 0.0001",0.52,58.164,1.944
"114","RED.CI","-","-0.10, p = 0.3460","-","0.52, p < 0.0001",0.52,58.203,1.983
"32","GDVI2","-","-0.01, p = 0.9508","-","0.55, p < 0.0001",0.52,58.355,2.135
"122","NIR.CI","-","-0.08, p = 0.5150","-","0.59, p < 0.0001",0.52,58.377,2.157
"115","NDVI","-","0.02, p = 0.8599","-","0.53, p < 0.0001",0.52,58.599,2.379
"116","-","ground","-","-0.04, p = 0.7695","0.56, p < 0.0001",0.52,58.644,2.424
"92","GNDVI.CI","-","-0.03, p = 0.7715","-","0.56, p < 0.0001",0.52,58.966,2.746
"82","NDVI.CI","-","0.02, p = 0.8757","-","0.53, p < 0.0001",0.52,59.013,2.793
"102","GDVI2.CI","-","0.02, p = 0.8670","-","0.54, p < 0.0001",0.52,59.287,3.067
"132","GRE.CI","-","-0.04, p = 0.5692","-","0.55, p < 0.0001",0.52,59.432,3.212
"213","REG","drone","-","-0.26, p = 0.1415","0.08, p = 0.6612",0.52,59.635,3.415
"73","REG","ground","-","-0.24, p = 0.1663","0.02, p = 0.8979",0.52,60.424,4.204
"191","NIR","drone","-","-0.16, p = 0.3163","0.04, p = 0.8270",0.51,61.028,4.808
"181","RED","drone","-","-0.13, p = 0.2844","-0.09, p = 0.6212",0.52,61.471,5.251
"161","GNDVI","drone","-","0.05, p = 0.8038","-0.05, p = 0.8004",0.52,61.554,5.334
"143","REG.CI","ground","-","-0.14, p = 0.4165","0.05, p = 0.7556",0.52,61.609,5.389
"53","NIR","ground","-","-0.15, p = 0.3452","0.00, p = 0.9866",0.51,61.652,5.432
"281","REG.CI","drone","-","-0.11, p = 0.4292","-0.01, p = 0.9385",0.52,61.701,5.481
"251","RED.CI","drone","-","-0.11, p = 0.3272","-0.06, p = 0.7305",0.52,61.794,5.574
"201","GRE","drone","-","-0.10, p = 0.2725","-0.02, p = 0.8948",0.52,61.875,5.655
"171","GDVI2","drone","-","0.00, p = 0.9948","-0.03, p = 0.8813",0.51,61.934,5.714
"151","NDVI","drone","-","0.04, p = 0.7827","-0.05, p = 0.7878",0.51,62.037,5.817
"123","NIR.CI","ground","-","-0.10, p = 0.5440","0.03, p = 0.8617",0.51,62.082,5.862
"261","NIR.CI","drone","-","-0.08, p = 0.5251","-0.02, p = 0.9092",0.51,62.093,5.873
"43","RED","ground","-","-0.11, p = 0.3080","-0.06, p = 0.6600",0.52,62.145,5.925
"117","RED.CI","ground","-","-0.11, p = 0.3059","-0.07, p = 0.6073",0.52,62.171,5.951
"214","GNDVI","ground","-","0.03, p = 0.8524","-0.04, p = 0.7588",0.51,62.239,6.019
"83","NDVI.CI","ground","-","0.08, p = 0.6072","-0.10, p = 0.5691",0.52,62.251,6.031
"63","GRE","ground","-","-0.10, p = 0.2870","-0.01, p = 0.9688",0.52,62.38,6.16
"103","GDVI2.CI","ground","-","0.08, p = 0.5776","-0.12, p = 0.5447",0.52,62.418,6.198
