"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"213","GNDVI","planted","-0.23, p = 0.0209","0.46, p < 0.0001","0.60, p < 0.0001","0.461",361.84,0
"33","GDVI2","planted","-0.15, p = 0.0602","0.44, p < 0.0001","0.52, p < 0.0001","0.454",363.7,1.86000000000001
"117","NDVI","planted","-0.16, p = 0.0742","0.43, p < 0.0001","0.55, p < 0.0001","0.453",364.06,2.22000000000003
"43","RED","planted","0.13, p = 0.1232","0.41, p < 0.0001","0.51, p < 0.0001","0.449",364.9,3.06
"116","-","planted","-","0.36, p < 0.0001","0.46, p < 0.0001","0.440",365.35,3.51000000000005
"53","NIR","planted","-0.15, p = 0.1701","0.41, p < 0.0001","0.55, p < 0.0001","0.448",365.41,3.57000000000005
"63","GRE","planted","0.09, p = 0.2284","0.37, p < 0.0001","0.47, p < 0.0001","0.446",365.85,4.01000000000005
"103","GDVI2.CI","planted","-0.13, p = 0.2556","0.45, p = 1e-04","0.49, p < 0.0001","0.445",366.02,4.18000000000001
"83","NDVI.CI","planted","-0.13, p = 0.2724","0.44, p < 0.0001","0.51, p < 0.0001","0.445",366.11,4.27000000000004
"73","REG","planted","-0.09, p = 0.3222","0.39, p < 0.0001","0.50, p < 0.0001","0.444",366.34,4.5
"123","NIR.CI","planted","-0.12, p = 0.3359","0.41, p < 0.0001","0.52, p < 0.0001","0.444",366.39,4.55000000000001
"118","RED.CI","planted","0.08, p = 0.4380","0.39, p < 0.0001","0.48, p < 0.0001","0.442",366.73,4.89000000000004
"133","GRE.CI","planted","0.06, p = 0.4463","0.37, p < 0.0001","0.46, p < 0.0001","0.442",366.75,4.91000000000003
"93","GNDVI.CI","planted","-0.07, p = 0.4869","0.40, p < 0.0001","0.49, p < 0.0001","0.442",366.85,5.01000000000005
"143","REG.CI","planted","-0.07, p = 0.5050","0.39, p < 0.0001","0.48, p < 0.0001","0.442",366.89,5.05000000000001
"161","GNDVI","total","-0.24, p = 0.0371","0.35, p = 2e-04","0.71, p < 0.0001","0.419",382.88,21.04
"171","GDVI2","total","-0.20, p = 0.0385","0.37, p = 3e-04","0.64, p < 0.0001","0.418",382.94,21.1
"121","NIR.CI","planted","0.19, p = 0.0757","0.45, p < 0.0001","-","0.363",383.94,22.1
"151","NDVI","total","-0.19, p = 0.0686","0.34, p = 5e-04","0.67, p < 0.0001","0.415",383.94,22.1
"241","GDVI2.CI","total","0.14, p = 0.1021","0.19, p = 0.0140","0.50, p < 0.0001","0.412",384.6,22.76
"231","GNDVI.CI","total","0.14, p = 0.1128","0.20, p = 0.0067","0.48, p < 0.0001","0.411",384.76,22.92
"51","NIR","planted","0.14, p = 0.1267","0.49, p < 0.0001","-","0.359",384.79,22.95
"181","RED","total","0.14, p = 0.1214","0.30, p = 7e-04","0.63, p < 0.0001","0.411",384.88,23.04
"221","NDVI.CI","total","0.14, p = 0.1299","0.18, p = 0.0153","0.48, p < 0.0001","0.410",384.99,23.15
"110","-","planted","-","0.58, p < 0.0001","-","0.348",385.18,23.34
"212","-","total","-","0.22, p = 0.0021","0.57, p < 0.0001","0.401",385.36,23.52
"91","GNDVI.CI","planted","0.12, p = 0.2267","0.49, p < 0.0001","-","0.355",385.68,23.84
"141","REG.CI","planted","0.12, p = 0.2491","0.51, p < 0.0001","-","0.355",385.82,23.98
"81","NDVI.CI","planted","0.12, p = 0.2768","0.48, p < 0.0001","-","0.354",385.97,24.1300000000001
"71","REG","planted","0.10, p = 0.2796","0.52, p < 0.0001","-","0.354",385.98,24.14
"201","GRE","total","0.08, p = 0.2866","0.23, p = 0.0017","0.59, p < 0.0001","0.406",386.19,24.35
"191","NIR","total","-0.11, p = 0.3336","0.26, p = 0.0017","0.64, p < 0.0001","0.405",386.39,24.55
"261","NIR.CI","total","0.09, p = 0.3775","0.20, p = 0.0075","0.51, p < 0.0001","0.404",386.55,24.71
"61","GRE","planted","0.06, p = 0.4903","0.59, p < 0.0001","-","0.351",386.69,24.85
"251","RED.CI","total","-0.07, p = 0.4205","0.21, p = 0.0051","0.54, p < 0.0001","0.404",386.69,24.85
"112","NDVI","planted","0.05, p = 0.5591","0.54, p < 0.0001","-","0.350",386.83,24.99
"281","REG.CI","total","0.07, p = 0.4807","0.20, p = 0.0080","0.54, p < 0.0001","0.403",386.84,25
"210","GNDVI","planted","0.05, p = 0.5765","0.54, p < 0.0001","-","0.350",386.86,25.02
"214","REG","total","-0.07, p = 0.5131","0.25, p = 0.0027","0.60, p < 0.0001","0.403",386.92,25.08
"113","RED.CI","planted","-0.05, p = 0.6239","0.55, p < 0.0001","-","0.349",386.93,25.09
"131","GRE.CI","planted","0.03, p = 0.7617","0.58, p < 0.0001","-","0.349",387.08,25.24
"41","RED","planted","-0.02, p = 0.7919","0.57, p < 0.0001","-","0.349",387.11,25.27
"31","GDVI2","planted","-0.02, p = 0.8295","0.59, p < 0.0001","-","0.349",387.13,25.29
"101","GDVI2.CI","planted","0.01, p = 0.9492","0.57, p < 0.0001","-","0.348",387.17,25.33
"271","GRE.CI","total","0.03, p = 0.7411","0.22, p = 0.0022","0.58, p < 0.0001","0.401",387.24,25.4
"102","GDVI2.CI","-","0.20, p = 0.0135","-","0.58, p < 0.0001","0.387",388.83,26.99
"82","NDVI.CI","-","0.21, p = 0.0153","-","0.54, p < 0.0001","0.386",389.06,27.22
"92","GNDVI.CI","-","0.19, p = 0.0316","-","0.58, p < 0.0001","0.381",390.35,28.51
"122","NIR.CI","-","0.18, p = 0.0797","-","0.57, p < 0.0001","0.374",391.93,30.09
"142","REG.CI","-","0.16, p = 0.0880","-","0.62, p < 0.0001","0.373",392.1,30.26
"114","RED.CI","-","-0.14, p = 0.1340","-","0.65, p < 0.0001","0.370",392.78,30.94
"111","-","-","-","-","0.73, p < 0.0001","0.361",393.08,31.24
"72","REG","-","0.08, p = 0.3591","-","0.67, p < 0.0001","0.364",394.22,32.3800000000001
"62","GRE","-","0.06, p = 0.4112","-","0.74, p < 0.0001","0.364",394.39,32.55
"115","NDVI","-","0.06, p = 0.4743","-","0.68, p < 0.0001","0.363",394.55,32.71
"52","NIR","-","0.07, p = 0.4915","-","0.67, p < 0.0001","0.363",394.59,32.75
"32","GDVI2","-","0.05, p = 0.4997","-","0.69, p < 0.0001","0.363",394.61,32.77
"211","GNDVI","-","0.05, p = 0.6108","-","0.69, p < 0.0001","0.362",394.81,32.97
"42","RED","-","-0.04, p = 0.6382","-","0.70, p < 0.0001","0.362",394.85,33.01
"132","GRE.CI","-","0.03, p = 0.7266","-","0.74, p < 0.0001","0.361",394.95,33.11
"22","NDVI.CI","total","0.36, p < 0.0001","0.26, p = 0.0010","-","0.335",400.96,39.12
"23","GNDVI.CI","total","0.35, p < 0.0001","0.30, p = 1e-04","-","0.334",401.15,39.31
"26","NIR.CI","total","0.38, p < 0.0001","0.27, p = 7e-04","-","0.330",402.09,40.25
"24","GDVI2.CI","total","0.31, p = 1e-04","0.30, p = 1e-04","-","0.316",405.19,43.35
"28","REG.CI","total","0.31, p = 0.0013","0.31, p = 1e-04","-","0.294",409.75,47.91
"8","NDVI.CI","-","0.51, p < 0.0001","-","-","0.284",409.97,48.1300000000001
"25","RED.CI","total","-0.27, p = 0.0033","0.36, p < 0.0001","-","0.286",411.48,49.64
"12","NIR.CI","-","0.56, p < 0.0001","-","-","0.275",411.82,49.98
"19","NIR","total","0.27, p = 0.0071","0.30, p = 0.0012","-","0.279",412.91,51.0700000000001
"9","GNDVI.CI","-","0.51, p < 0.0001","-","-","0.255",415.94,54.1
"21","REG","total","0.20, p = 0.0491","0.35, p = 1e-04","-","0.262",416.36,54.52
"16","GNDVI","total","0.18, p = 0.0963","0.32, p = 0.0026","-","0.257",417.5,55.66
"29","-","total","-","0.46, p < 0.0001","-","0.243",418.33,56.49
"10","GDVI2.CI","-","0.48, p < 0.0001","-","-","0.242",418.51,56.67
