"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"213","GNDVI","planted","-0.24, p = 0.0207","0.47, p < 0.0001","0.59, p < 0.0001","0.462",357.18,0
"33","GDVI2","planted","-0.16, p = 0.0588","0.44, p < 0.0001","0.52, p < 0.0001","0.455",359.02,1.83999999999997
"117","NDVI","planted","-0.17, p = 0.0717","0.44, p < 0.0001","0.54, p < 0.0001","0.453",359.35,2.17000000000002
"43","RED","planted","0.13, p = 0.1246","0.41, p < 0.0001","0.51, p < 0.0001","0.450",360.27,3.08999999999997
"116","-","planted","-","0.36, p < 0.0001","0.46, p < 0.0001","0.440",360.71,3.52999999999997
"53","NIR","planted","-0.15, p = 0.1677","0.41, p < 0.0001","0.55, p < 0.0001","0.448",360.74,3.56
"63","GRE","planted","0.09, p = 0.2342","0.37, p < 0.0001","0.47, p < 0.0001","0.446",361.24,4.06
"103","GDVI2.CI","planted","-0.13, p = 0.2499","0.46, p = 1e-04","0.48, p < 0.0001","0.446",361.34,4.15999999999997
"83","NDVI.CI","planted","-0.14, p = 0.2674","0.45, p = 1e-04","0.51, p < 0.0001","0.445",361.44,4.25999999999999
"73","REG","planted","-0.10, p = 0.3251","0.40, p < 0.0001","0.50, p < 0.0001","0.444",361.71,4.52999999999997
"123","NIR.CI","planted","-0.12, p = 0.3250","0.42, p < 0.0001","0.52, p < 0.0001","0.444",361.71,4.52999999999997
"118","RED.CI","planted","0.08, p = 0.4518","0.40, p < 0.0001","0.48, p < 0.0001","0.443",362.12,4.94
"133","GRE.CI","planted","0.06, p = 0.4638","0.37, p < 0.0001","0.46, p < 0.0001","0.442",362.15,4.96999999999997
"93","GNDVI.CI","planted","-0.07, p = 0.4926","0.40, p = 1e-04","0.48, p < 0.0001","0.442",362.22,5.04000000000002
"143","REG.CI","planted","-0.07, p = 0.4957","0.39, p < 0.0001","0.48, p < 0.0001","0.442",362.23,5.05000000000001
"171","GDVI2","total","-0.21, p = 0.0401","0.37, p = 3e-04","0.63, p < 0.0001","0.419",378.14,20.96
"161","GNDVI","total","-0.24, p = 0.0411","0.36, p = 3e-04","0.71, p < 0.0001","0.419",378.18,21
"121","NIR.CI","planted","0.18, p = 0.0953","0.46, p < 0.0001","-","0.364",378.82,21.64
"151","NDVI","total","-0.20, p = 0.0723","0.35, p = 6e-04","0.66, p < 0.0001","0.415",379.15,21.97
"51","NIR","planted","0.14, p = 0.1535","0.50, p < 0.0001","-","0.360",379.59,22.41
"110","-","planted","-","0.58, p < 0.0001","-","0.351",379.68,22.5
"241","GDVI2.CI","total","0.14, p = 0.1040","0.19, p = 0.0163","0.50, p < 0.0001","0.413",379.76,22.58
"231","GNDVI.CI","total","0.14, p = 0.1139","0.20, p = 0.0075","0.48, p < 0.0001","0.412",379.91,22.73
"221","NDVI.CI","total","0.14, p = 0.1290","0.18, p = 0.0180","0.48, p < 0.0001","0.411",380.11,22.93
"181","RED","total","0.14, p = 0.1330","0.30, p = 8e-04","0.62, p < 0.0001","0.411",380.15,22.97
"91","GNDVI.CI","planted","0.12, p = 0.2542","0.50, p < 0.0001","-","0.357",380.34,23.16
"212","-","total","-","0.23, p = 0.0023","0.57, p < 0.0001","0.402",380.48,23.3
"141","REG.CI","planted","0.11, p = 0.2945","0.52, p < 0.0001","-","0.356",380.55,23.37
"71","REG","planted","0.09, p = 0.3191","0.53, p < 0.0001","-","0.355",380.66,23.48
"81","NDVI.CI","planted","0.12, p = 0.3278","0.49, p = 1e-04","-","0.355",380.7,23.52
"61","GRE","planted","0.05, p = 0.5324","0.59, p < 0.0001","-","0.352",381.28,24.1
"201","GRE","total","0.08, p = 0.2998","0.23, p = 0.0020","0.59, p < 0.0001","0.406",381.37,24.19
"112","NDVI","planted","0.04, p = 0.6273","0.55, p < 0.0001","-","0.352",381.44,24.26
"210","GNDVI","planted","0.05, p = 0.6302","0.55, p < 0.0001","-","0.352",381.44,24.26
"113","RED.CI","planted","-0.05, p = 0.6346","0.56, p < 0.0001","-","0.352",381.45,24.27
"191","NIR","total","-0.11, p = 0.3384","0.27, p = 0.0020","0.64, p < 0.0001","0.406",381.54,24.36
"31","GDVI2","planted","-0.03, p = 0.7552","0.60, p < 0.0001","-","0.351",381.58,24.4
"131","GRE.CI","planted","0.02, p = 0.8189","0.58, p < 0.0001","-","0.351",381.62,24.44
"41","RED","planted","-0.02, p = 0.8291","0.57, p < 0.0001","-","0.351",381.63,24.45
"101","GDVI2.CI","planted","-0.01, p = 0.9600","0.59, p < 0.0001","-","0.351",381.67,24.49
