"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"33","GDVI2","planted","-0.13, p = 0.0331","0.45, p < 0.0001","0.38, p < 0.0001","0.454",663.72,0
"117","NDVI","planted","-0.10, p = 0.1006","0.44, p < 0.0001","0.39, p < 0.0001","0.451",665.59,1.87
"133","GRE.CI","planted","-0.07, p = 0.1082","0.39, p < 0.0001","0.36, p < 0.0001","0.450",665.71,1.99000000000001
"143","REG.CI","planted","-0.10, p = 0.1499","0.44, p < 0.0001","0.39, p < 0.0001","0.449",666.23,2.50999999999999
"116","-","planted","-","0.40, p < 0.0001","0.35, p < 0.0001","0.445",666.33,2.61000000000001
"213","GNDVI","planted","-0.09, p = 0.1808","0.44, p < 0.0001","0.39, p < 0.0001","0.449",666.51,2.78999999999996
"73","REG","planted","-0.08, p = 0.2025","0.43, p < 0.0001","0.39, p < 0.0001","0.449",666.68,2.95999999999992
"118","RED.CI","planted","-0.06, p = 0.2244","0.37, p < 0.0001","0.35, p < 0.0001","0.448",666.83,3.11000000000001
"53","NIR","planted","-0.09, p = 0.2262","0.43, p < 0.0001","0.40, p < 0.0001","0.448",666.84,3.12
"123","NIR.CI","planted","-0.08, p = 0.3218","0.44, p < 0.0001","0.38, p < 0.0001","0.447",667.34,3.62
"43","RED","planted","0.04, p = 0.4277","0.41, p < 0.0001","0.36, p < 0.0001","0.447",667.69,3.97000000000003
"63","GRE","planted","-0.03, p = 0.5219","0.40, p < 0.0001","0.35, p < 0.0001","0.446",667.92,4.19999999999993
"93","GNDVI.CI","planted","0.03, p = 0.6267","0.38, p < 0.0001","0.34, p < 0.0001","0.446",668.09,4.37
"103","GDVI2.CI","planted","-0.03, p = 0.7181","0.42, p < 0.0001","0.35, p < 0.0001","0.446",668.2,4.48000000000002
"83","NDVI.CI","planted","-0.01, p = 0.9465","0.40, p < 0.0001","0.35, p < 0.0001","0.445",668.33,4.61000000000001
"241","GDVI2.CI","total","0.23, p < 0.0001","0.15, p = 0.0061","0.38, p < 0.0001","0.417",693.8,30.0799999999999
"221","NDVI.CI","total","0.25, p < 0.0001","0.14, p = 0.0125","0.36, p < 0.0001","0.416",694.46,30.74
"231","GNDVI.CI","total","0.24, p < 0.0001","0.16, p = 0.0027","0.36, p < 0.0001","0.416",694.65,30.9299999999999
"51","NIR","planted","0.16, p = 0.0081","0.50, p < 0.0001","-","0.381",698.33,34.61
"82","NDVI.CI","-","0.30, p < 0.0001","-","0.41, p < 0.0001","0.403",698.8,35.0799999999999
"121","NIR.CI","planted","0.17, p = 0.0134","0.48, p < 0.0001","-","0.380",699.24,35.52
"102","GDVI2.CI","-","0.27, p < 0.0001","-","0.44, p < 0.0001","0.402",699.44,35.72
"251","RED.CI","total","-0.16, p = 0.0010","0.19, p = 4e-04","0.44, p < 0.0001","0.403",700.88,37.16
"91","GNDVI.CI","planted","0.15, p = 0.0358","0.49, p < 0.0001","-","0.376",700.97,37.25
"71","REG","planted","0.12, p = 0.0427","0.53, p < 0.0001","-","0.375",701.27,37.55
"92","GNDVI.CI","-","0.27, p < 0.0001","-","0.43, p < 0.0001","0.397",701.79,38.0699999999999
"81","NDVI.CI","planted","0.14, p = 0.0887","0.49, p < 0.0001","-","0.373",702.49,38.77
"210","GNDVI","planted","0.10, p = 0.1257","0.54, p < 0.0001","-","0.371",703.05,39.3299999999999
"112","RED.CI","planted","-0.08, p = 0.1506","0.57, p < 0.0001","-","0.371",703.33,39.61
"110","-","planted","-","0.61, p < 0.0001","-","0.366",703.43,39.7099999999999
"141","REG.CI","planted","0.09, p = 0.1731","0.54, p < 0.0001","-","0.370",703.55,39.8299999999999
"131","GRE.CI","planted","-0.05, p = 0.2646","0.60, p < 0.0001","-","0.369",704.17,40.4499999999999
"113","NDVI","planted","0.05, p = 0.4282","0.58, p < 0.0001","-","0.368",704.79,41.0699999999999
"31","GDVI2","planted","-0.02, p = 0.7026","0.62, p < 0.0001","-","0.367",705.28,41.5599999999999
"101","GDVI2.CI","planted","0.02, p = 0.7851","0.59, p < 0.0001","-","0.366",705.35,41.63
"61","GRE","planted","0.01, p = 0.9029","0.61, p < 0.0001","-","0.366",705.41,41.6899999999999
"41","RED","planted","0.00, p = 0.9387","0.61, p < 0.0001","-","0.366",705.42,41.6999999999999
"271","GRE.CI","total","-0.10, p = 0.0253","0.22, p = 1e-04","0.48, p < 0.0001","0.391",706.78,43.0599999999999
