"","VI used","cover used","VI","cover","A-horizon","R2","AIC","deltaAIC"
"51","GNDVIt","ground","0.17, p = 6e-04","0.41, p < 0.0001","-","0.411",564.31,0
"52","GNDVIt","ground","0.18, p = 6e-04","0.41, p < 0.0001","0.04, p = 0.4170","0.413",565.64,1.33000000000004
"41","NDVIt","ground","0.14, p = 0.0093","0.45, p < 0.0001","-","0.400",569.27,4.96000000000004
"42","NDVIt","ground","0.15, p = 0.0051","0.44, p < 0.0001","0.06, p = 0.2100","0.403",569.67,5.36000000000001
"61","GDVI2t","ground","0.12, p = 0.0261","0.46, p < 0.0001","-","0.395",571.1,6.79000000000008
"62","GDVI2t","ground","0.13, p = 0.0172","0.45, p < 0.0001","0.05, p = 0.2754","0.398",571.89,7.58000000000004
"22","GNDVI","ground","0.09, p = 0.1235","0.45, p < 0.0001","-","0.389",573.71,9.40000000000009
"11","-","ground","-","0.52, p < 0.0001","-","0.383",574.12,9.81000000000006
"23","GNDVI","ground","0.09, p = 0.1325","0.45, p < 0.0001","0.03, p = 0.5582","0.390",575.36,11.0500000000001
"13","NDVI","ground","0.04, p = 0.4576","0.49, p < 0.0001","-","0.384",575.56,11.25
"31","GDVI2","ground","-0.01, p = 0.9136","0.52, p < 0.0001","-","0.383",576.11,11.8000000000001
"14","NDVI","ground","0.05, p = 0.4363","0.49, p < 0.0001","0.03, p = 0.4800","0.385",577.05,12.74
"32","GDVI2","ground","-0.01, p = 0.9113","0.52, p < 0.0001","0.03, p = 0.5055","0.384",577.66,13.35
"111","GNDVIt","drone","0.30, p < 0.0001","0.20, p = 3e-04","-","0.299",618.5,54.1900000000001
"112","GNDVIt","drone","0.30, p < 0.0001","0.20, p = 5e-04","0.03, p = 0.5355","0.300",620.1,55.7900000000001
"5","GNDVIt","-","0.42, p < 0.0001","-","-","0.262",629.75,65.4400000000001
"8","GNDVIt-f","-","0.42, p < 0.0001","-","-","0.262",629.77,65.46
"10","NDVIt","drone","0.23, p = 2e-04","0.26, p < 0.0001","-","0.259",632.65,68.34
"101","NDVIt","drone","0.25, p = 1e-04","0.25, p < 0.0001","0.07, p = 0.2322","0.263",633.2,68.8900000000001
"2","GNDVI","-","0.42, p < 0.0001","-","-","0.250",633.81,69.5
"81","GNDVI","drone","0.31, p = 4e-04","0.12, p = 0.1598","-","0.256",633.81,69.5
"82","GNDVI","drone","0.31, p = 4e-04","0.12, p = 0.1735","0.02, p = 0.7585","0.256",635.71,71.4000000000001
"121","GDVI2t","drone","0.21, p = 0.0013","0.26, p < 0.0001","-","0.249",636,71.6900000000001
"122","GDVI2t","drone","0.22, p = 8e-04","0.25, p = 1e-04","0.06, p = 0.3249","0.252",637.02,72.71
"71","NDVI","drone","0.17, p = 0.0738","0.25, p = 0.0059","-","0.227",643.29,78.98
"21","-","drone","-","0.39, p < 0.0001","-","0.218",644.53,80.22
"72","NDVI","drone","0.18, p = 0.0645","0.24, p = 0.0107","0.03, p = 0.6206","0.228",645.04,80.73
"91","GDVI2","drone","0.02, p = 0.8243","0.37, p = 2e-04","-","0.218",646.48,82.1700000000001
"92","GDVI2","drone","0.02, p = 0.8108","0.37, p = 2e-04","0.01, p = 0.8898","0.218",648.46,84.1500000000001
"1","NDVI","-","0.39, p < 0.0001","-","-","0.204",648.98,84.6700000000001
"4","NDVIt","-","0.40, p < 0.0001","-","-","0.193",652.29,87.98
"7","NDVIt-f","-","0.40, p < 0.0001","-","-","0.193",652.5,88.1900000000001
"6","GDVI2t","-","0.39, p < 0.0001","-","-","0.189",653.71,89.4000000000001
"9","GDVI2t-f","-","0.39, p < 0.0001","-","-","0.188",653.79,89.48
"3","GDVI2","-","0.35, p < 0.0001","-","-","0.172",659.05,94.74
"12","-","-","-","-","0.06, p = 0.3256","0.004",705.86,141.55
