"","VI used","cover used","VI","cover","A-horizon","R2","AIC","deltaAIC"
"51","GNDVIt","ground","0.19, p < 0.0001","0.39, p < 0.0001","-","0.402",633.26,0
"52","GNDVIt","ground","0.19, p < 0.0001","0.39, p < 0.0001","0.04, p = 0.3769","0.404",634.47,1.21000000000004
"42","NDVIt","ground","0.16, p = 0.0011","0.42, p < 0.0001","0.07, p = 0.1480","0.390",640.89,7.63
"41","NDVIt","ground","0.15, p = 0.0025","0.43, p < 0.0001","-","0.386",641.02,7.75999999999999
"61","GDVI2t","ground","0.13, p = 0.0092","0.44, p < 0.0001","-","0.381",643.41,10.15
"62","GDVI2t","ground","0.14, p = 0.0051","0.43, p < 0.0001","0.06, p = 0.2080","0.384",643.8,10.54
"22","GNDVI","ground","0.11, p = 0.0462","0.43, p < 0.0001","-","0.375",646.25,12.99
"23","GNDVI","ground","0.11, p = 0.0498","0.43, p < 0.0001","0.03, p = 0.5254","0.376",647.84,14.58
"11","-","ground","-","0.50, p < 0.0001","-","0.366",648.28,15.02
"13","NDVI","ground","0.06, p = 0.3139","0.47, p < 0.0001","-","0.369",649.25,15.99
"31","GDVI2","ground","0.00, p = 0.9511","0.50, p < 0.0001","-","0.366",650.27,17.01
"14","NDVI","ground","0.06, p = 0.2892","0.46, p < 0.0001","0.04, p = 0.4277","0.370",650.61,17.35
"32","GDVI2","ground","0.00, p = 0.9444","0.50, p < 0.0001","0.03, p = 0.4718","0.367",651.75,18.49
"111","GNDVIt","drone","0.30, p < 0.0001","0.20, p = 1e-04","-","0.300",690.21,56.95
"112","GNDVIt","drone","0.31, p < 0.0001","0.19, p = 2e-04","0.03, p = 0.5511","0.301",691.85,58.59
"5","GNDVIt","-","0.42, p < 0.0001","-","-","0.264",703.06,69.8
"8","GNDVIt-f","-","0.42, p < 0.0001","-","-","0.264",703.07,69.8100000000001
"10","NDVIt","drone","0.23, p < 0.0001","0.26, p < 0.0001","-","0.259",707.23,73.97
"101","NDVIt","drone","0.25, p < 0.0001","0.24, p < 0.0001","0.07, p = 0.1879","0.263",707.47,74.21
"81","GNDVI","drone","0.32, p = 1e-04","0.12, p = 0.1495","-","0.255",708.99,75.73
"2","GNDVI","-","0.41, p < 0.0001","-","-","0.249",709.09,75.83
"82","GNDVI","drone","0.32, p = 1e-04","0.11, p = 0.1612","0.01, p = 0.7661","0.255",710.9,77.64
"121","GDVI2t","drone","0.21, p = 3e-04","0.26, p < 0.0001","-","0.249",711.31,78.05
"122","GDVI2t","drone","0.23, p = 2e-04","0.24, p < 0.0001","0.06, p = 0.2782","0.252",712.11,78.85
"71","NDVI","drone","0.17, p = 0.0443","0.24, p = 0.0035","-","0.226",720.38,87.12
"72","NDVI","drone","0.18, p = 0.0381","0.23, p = 0.0067","0.03, p = 0.6036","0.226",722.1,88.84
"21","-","drone","-","0.39, p < 0.0001","-","0.215",722.47,89.21
"91","GDVI2","drone","0.03, p = 0.7522","0.36, p = 1e-04","-","0.215",724.37,91.11
"92","GDVI2","drone","0.03, p = 0.7434","0.36, p = 1e-04","0.01, p = 0.9185","0.215",726.36,93.1
"1","NDVI","-","0.38, p < 0.0001","-","-","0.203",727.02,93.76
"4","NDVIt","-","0.39, p < 0.0001","-","-","0.197",729.22,95.96
"7","NDVIt-f","-","0.39, p < 0.0001","-","-","0.196",729.42,96.16
"6","GDVI2t","-","0.38, p < 0.0001","-","-","0.192",731.07,97.8100000000001
"9","GDVI2t-f","-","0.38, p < 0.0001","-","-","0.192",731.09,97.83
"3","GDVI2","-","0.34, p < 0.0001","-","-","0.171",738.78,105.52
"12","-","-","-","-","0.05, p = 0.4154","0.002",793.93,160.67
