"","VI used","cover used","VI","cover","volume","R2","AIC","deltaAIC"
"213","GNDVI","ground","-0.16, p = 0.1325","0.45, p < 0.0001","0.32, p = 0.0014","0.371",322.8,0
"116","-","ground","-","0.38, p = 1e-04","0.27, p = 0.0040","0.359",323.14,0.339999999999975
"33","GDVI2","ground","-0.11, p = 0.2535","0.43, p < 0.0001","0.29, p = 0.0025","0.366",323.79,0.990000000000009
"63","GRE","ground","0.08, p = 0.2715","0.38, p = 1e-04","0.27, p = 0.0044","0.365",323.89,1.08999999999997
"117","NDVI","ground","-0.11, p = 0.2897","0.43, p = 1e-04","0.30, p = 0.0023","0.365",323.98,1.18000000000001
"118","RED.CI","ground","-0.07, p = 0.4076","0.35, p = 6e-04","0.27, p = 0.0046","0.363",324.43,1.63
"43","RED","ground","0.07, p = 0.4194","0.40, p = 1e-04","0.28, p = 0.0033","0.363",324.47,1.67000000000002
"53","NIR","ground","-0.07, p = 0.5540","0.41, p = 1e-04","0.30, p = 0.0049","0.361",324.78,1.97999999999996
"123","NIR.CI","ground","-0.05, p = 0.6962","0.41, p = 5e-04","0.29, p = 0.0054","0.360",324.98,2.18000000000001
"143","REG.CI","ground","-0.04, p = 0.7252","0.40, p = 3e-04","0.29, p = 0.0046","0.360",325.01,2.20999999999998
"73","REG","ground","-0.02, p = 0.8201","0.39, p = 2e-04","0.28, p = 0.0062","0.360",325.09,2.28999999999996
"103","GDVI2.CI","ground","0.02, p = 0.8442","0.36, p = 0.0077","0.27, p = 0.0043","0.360",325.1,2.30000000000001
"83","NDVI.CI","ground","0.02, p = 0.8802","0.37, p = 0.0062","0.27, p = 0.0054","0.360",325.12,2.31999999999999
"93","GNDVI.CI","ground","-0.02, p = 0.8814","0.40, p = 0.0014","0.28, p = 0.0045","0.360",325.12,2.31999999999999
"133","GRE.CI","ground","-0.01, p = 0.9030","0.38, p = 1e-04","0.27, p = 0.0042","0.359",325.13,2.32999999999998
"110","-","ground","-","0.56, p < 0.0001","-","0.317",329.63,6.82999999999998
"61","GRE","ground","0.08, p = 0.2544","0.56, p < 0.0001","-","0.324",330.3,7.5
"112","RED.CI","ground","-0.08, p = 0.3507","0.53, p < 0.0001","-","0.321",330.74,7.94
"71","REG","ground","0.09, p = 0.3811","0.51, p < 0.0001","-","0.321",330.84,8.03999999999996
"51","NIR","ground","0.08, p = 0.4266","0.51, p < 0.0001","-","0.320",330.98,8.18000000000001
"121","NIR.CI","ground","0.09, p = 0.4315","0.50, p < 0.0001","-","0.320",331,8.19999999999999
"81","NDVI.CI","ground","0.09, p = 0.4895","0.49, p = 2e-04","-","0.319",331.14,8.33999999999997
"31","GDVI2","ground","-0.06, p = 0.5460","0.60, p < 0.0001","-","0.319",331.26,8.45999999999998
"141","REG.CI","ground","0.06, p = 0.5760","0.52, p < 0.0001","-","0.318",331.31,8.50999999999999
"41","RED","ground","0.04, p = 0.6198","0.58, p < 0.0001","-","0.318",331.38,8.57999999999998
"210","GNDVI","ground","-0.04, p = 0.6591","0.59, p < 0.0001","-","0.318",331.43,8.63
"91","GNDVI.CI","ground","0.05, p = 0.6896","0.53, p < 0.0001","-","0.318",331.47,8.67000000000002
"101","GDVI2.CI","ground","0.04, p = 0.7452","0.53, p < 0.0001","-","0.317",331.52,8.71999999999997
"113","NDVI","ground","-0.02, p = 0.8030","0.58, p < 0.0001","-","0.317",331.57,8.76999999999998
"131","GRE.CI","ground","-0.01, p = 0.9184","0.56, p < 0.0001","-","0.317",331.62,8.81999999999999
"102","GDVI2.CI","-","0.27, p = 0.0026","-","0.38, p < 0.0001","0.331",333.34,10.54
"82","NDVI.CI","-","0.28, p = 0.0033","-","0.36, p = 2e-04","0.329",333.74,10.94
"241","GDVI2.CI","drone","0.25, p = 0.0065","0.10, p = 0.2632","0.34, p = 5e-04","0.338",334.04,11.24
"221","NDVI.CI","drone","0.25, p = 0.0093","0.09, p = 0.3172","0.32, p = 0.0013","0.334",334.71,11.91
"92","GNDVI.CI","-","0.22, p = 0.0155","-","0.40, p < 0.0001","0.315",336.61,13.81
"231","GNDVI.CI","drone","0.20, p = 0.0299","0.12, p = 0.1901","0.34, p = 7e-04","0.324",336.84,14.04
"251","RED.CI","drone","-0.16, p = 0.0364","0.14, p = 0.1159","0.40, p < 0.0001","0.322",337.19,14.39
"114","RED.CI","-","-0.17, p = 0.0292","-","0.47, p < 0.0001","0.309",337.74,14.94
"122","NIR.CI","-","0.20, p = 0.0503","-","0.39, p = 2e-04","0.304",338.69,15.89
"261","NIR.CI","drone","0.17, p = 0.1154","0.11, p = 0.2222","0.35, p = 0.0012","0.312",339.15,16.35
"212","-","drone","-","0.15, p = 0.0923","0.45, p < 0.0001","0.299",339.71,16.91
"142","REG.CI","-","0.16, p = 0.1019","-","0.43, p < 0.0001","0.298",339.88,17.08
"281","REG.CI","drone","0.12, p = 0.2279","0.12, p = 0.2043","0.39, p = 1e-04","0.307",340.21,17.41
"201","GRE","drone","0.09, p = 0.2498","0.16, p = 0.0708","0.44, p < 0.0001","0.306",340.34,17.54
"72","REG","-","0.14, p = 0.1590","-","0.44, p < 0.0001","0.294",340.59,17.79
"111","-","-","-","-","0.53, p < 0.0001","0.283",340.62,17.82
"161","GNDVI","drone","-0.10, p = 0.4305","0.21, p = 0.0742","0.48, p < 0.0001","0.302",341.07,18.27
"214","REG","drone","0.08, p = 0.4514","0.12, p = 0.2349","0.41, p = 1e-04","0.302",341.13,18.33
"171","GDVI2","drone","-0.09, p = 0.4564","0.22, p = 0.0907","0.46, p < 0.0001","0.302",341.14,18.34
"52","NIR","-","0.12, p = 0.2486","-","0.45, p < 0.0001","0.291",341.26,18.46
"181","RED","drone","0.05, p = 0.5619","0.18, p = 0.0855","0.45, p < 0.0001","0.301",341.37,18.57
"271","GRE.CI","drone","-0.04, p = 0.6035","0.15, p = 0.0872","0.45, p < 0.0001","0.300",341.44,18.64
"151","NDVI","drone","-0.06, p = 0.6347","0.19, p = 0.1220","0.46, p < 0.0001","0.300",341.48,18.68
"191","NIR","drone","0.05, p = 0.7045","0.13, p = 0.2010","0.43, p = 1e-04","0.300",341.57,18.77
"62","GRE","-","0.07, p = 0.3484","-","0.53, p < 0.0001","0.288",341.72,18.92
"115","NDVI","-","0.07, p = 0.4197","-","0.49, p < 0.0001","0.287",341.96,19.16
"32","GDVI2","-","0.06, p = 0.4758","-","0.50, p < 0.0001","0.286",342.1,19.3
"211","GNDVI","-","0.05, p = 0.6178","-","0.50, p < 0.0001","0.285",342.37,19.57
"42","RED","-","-0.03, p = 0.6605","-","0.52, p < 0.0001","0.284",342.43,19.63
"132","GRE.CI","-","-0.03, p = 0.6904","-","0.53, p < 0.0001","0.284",342.46,19.66
"22","NDVI.CI","drone","0.41, p < 0.0001","0.19, p = 0.0315","-","0.279",343.36,20.56
"24","GDVI2.CI","drone","0.38, p < 0.0001","0.22, p = 0.0086","-","0.272",344.67,21.87
"8","NDVI.CI","-","0.50, p < 0.0001","-","-","0.253",346.11,23.31
"23","GNDVI.CI","drone","0.36, p < 0.0001","0.24, p = 0.0059","-","0.261",346.81,24.01
"26","NIR.CI","drone","0.37, p = 1e-04","0.20, p = 0.0318","-","0.254",347.96,25.16
"10","GDVI2.CI","-","0.48, p < 0.0001","-","-","0.233",349.76,26.96
"12","NIR.CI","-","0.48, p < 0.0001","-","-","0.227",350.7,27.9
"9","GNDVI.CI","-","0.47, p < 0.0001","-","-","0.217",352.58,29.78
"28","REG.CI","drone","0.31, p = 0.0010","0.23, p = 0.0117","-","0.224",353.24,30.44
"25","RED.CI","drone","-0.26, p = 0.0015","0.33, p = 1e-04","-","0.220",353.91,31.11
"19","NIR","drone","0.31, p = 0.0039","0.19, p = 0.0831","-","0.210",355.71,32.91
"21","REG","drone","0.29, p = 0.0042","0.21, p = 0.0390","-","0.209",355.86,33.06
"5","NIR","-","0.44, p < 0.0001","-","-","0.191",356.79,33.99
"14","REG.CI","-","0.43, p < 0.0001","-","-","0.186",357.77,34.97
"7","REG","-","0.43, p < 0.0001","-","-","0.183",358.23,35.43
"29","-","drone","-","0.40, p < 0.0001","-","0.158",362.28,39.48
"20","GRE","drone","0.11, p = 0.1647","0.41, p < 0.0001","-","0.170",362.3,39.5
"16","GNDVI","drone","0.14, p = 0.2627","0.29, p = 0.0224","-","0.166",362.99,40.19
"27","GRE.CI","drone","-0.07, p = 0.3797","0.40, p < 0.0001","-","0.163",363.49,40.69
"15","NDVI","drone","0.11, p = 0.3884","0.31, p = 0.0181","-","0.162",363.52,40.72
"18","RED","drone","0.04, p = 0.6810","0.42, p = 1e-04","-","0.159",364.11,41.31
"17","GDVI2","drone","-0.02, p = 0.9065","0.41, p = 0.0028","-","0.158",364.27,41.47
"2","GNDVI","-","0.36, p < 0.0001","-","-","0.132",366.35,43.55
"1","NDVI","-","0.35, p < 0.0001","-","-","0.126",367.26,44.46
"11","RED.CI","-","-0.34, p = 1e-04","-","-","0.116",368.74,45.94
"3","GDVI2","-","0.31, p = 2e-04","-","-","0.098",371.47,48.67
"4","RED","-","-0.22, p = 0.0095","-","-","0.050",378.42,55.62
"6","GRE","-","0.07, p = 0.3969","-","-","0.005",384.54,61.74
"13","GRE.CI","-","-0.06, p = 0.4897","-","-","0.004",384.79,61.99
