"","VI used","cover used","VI","cover","A-horizon","R2","AIC","deltaAIC"
"51","GNDVIt","ground","0.17, p = 6e-04","0.41, p < 0.0001","-","0.411",564.31,0
"52","GNDVIt","ground","0.18, p = 6e-04","0.41, p < 0.0001","0.04, p = 0.4170","0.413",565.64,1.33000000000004
"41","NDVIt","ground","0.14, p = 0.0093","0.45, p < 0.0001","-","0.400",569.27,4.96000000000004
"42","NDVIt","ground","0.15, p = 0.0051","0.44, p < 0.0001","0.06, p = 0.2100","0.403",569.67,5.36000000000001
"61","GDVI2t","ground","0.12, p = 0.0261","0.46, p < 0.0001","-","0.395",571.1,6.79000000000008
"62","GDVI2t","ground","0.13, p = 0.0172","0.45, p < 0.0001","0.05, p = 0.2754","0.398",571.89,7.58000000000004
"22","GNDVI","ground","0.09, p = 0.1235","0.45, p < 0.0001","-","0.389",573.71,9.40000000000009
"11","-","ground","-","0.52, p < 0.0001","-","0.383",574.12,9.81000000000006
"23","GNDVI","ground","0.09, p = 0.1325","0.45, p < 0.0001","0.03, p = 0.5582","0.390",575.36,11.0500000000001
"13","NDVI","ground","0.04, p = 0.4576","0.49, p < 0.0001","-","0.384",575.56,11.25
"31","GDVI2","ground","-0.01, p = 0.9136","0.52, p < 0.0001","-","0.383",576.11,11.8000000000001
"14","NDVI","ground","0.05, p = 0.4363","0.49, p < 0.0001","0.03, p = 0.4800","0.385",577.05,12.74
"32","GDVI2","ground","-0.01, p = 0.9113","0.52, p < 0.0001","0.03, p = 0.5055","0.384",577.66,13.35
"5","GNDVIt","-","0.42, p < 0.0001","-","-","0.262",629.75,65.4400000000001
"2","GNDVI","-","0.42, p < 0.0001","-","-","0.250",633.81,69.5
"21","-","drone","-","0.39, p < 0.0001","-","0.218",644.53,80.22
"1","NDVI","-","0.39, p < 0.0001","-","-","0.204",648.98,84.6700000000001
"4","NDVIt","-","0.40, p < 0.0001","-","-","0.193",652.29,87.98
"6","GDVI2t","-","0.39, p < 0.0001","-","-","0.189",653.71,89.4000000000001
"3","GDVI2","-","0.35, p < 0.0001","-","-","0.172",659.05,94.74
"12","-","-","-","-","0.06, p = 0.3256","0.004",705.86,141.55
