"","VI used","cover used","VI","cover","A-horizon","R2","AIC","deltaAIC"
"5","GNDVIt","-","0.44, p = 3e-04","-","-","0.267",52.93,0
"51","GNDVIt","ground","0.41, p = 0.0010","0.14, p = 0.2589","-","0.290",53.54,0.609999999999999
"52","GNDVIt","ground","0.41, p = 0.0012","0.14, p = 0.2605","-0.04, p = 0.7399","0.292",55.42,2.49
"4","NDVIt","-","0.33, p = 0.0018","-","-","0.208",56.3,3.37
"6","GDVI2t","-","0.33, p = 0.0030","-","-","0.191",57.28,4.35
"41","NDVIt","ground","0.30, p = 0.0075","0.10, p = 0.4274","-","0.221",57.62,4.69
"61","GDVI2t","ground","0.30, p = 0.0123","0.11, p = 0.4202","-","0.204",58.57,5.64
"2","GNDVI","-","0.44, p = 0.0061","-","-","0.166",58.62,5.69
"42","NDVIt","ground","0.31, p = 0.0091","0.10, p = 0.4547","0.04, p = 0.7882","0.222",59.54,6.61
"22","GNDVI","ground","0.39, p = 0.0217","0.13, p = 0.3470","-","0.184",59.66,6.73
"62","GDVI2t","ground","0.30, p = 0.0152","0.11, p = 0.4378","0.02, p = 0.8857","0.204",60.55,7.62
"1","NDVI","-","0.34, p = 0.0238","-","-","0.116",61.17,8.24
"23","GNDVI","ground","0.39, p = 0.0237","0.13, p = 0.3470","-0.06, p = 0.6392","0.188",61.41,8.48
"13","NDVI","ground","0.28, p = 0.0877","0.13, p = 0.3478","-","0.135",62.21,9.28
"21","-","drone","-","0.33, p = 0.0663","-","0.078",63.01,10.08
"3","GDVI2","-","0.37, p = 0.0741","-","-","0.074",63.21,10.28
"11","-","ground","-","0.23, p = 0.0818","-","0.070",63.38,10.45
"31","GDVI2","ground","0.27, p = 0.2255","0.17, p = 0.2522","-","0.103",63.78,10.85
"14","NDVI","ground","0.27, p = 0.1026","0.14, p = 0.3453","-0.03, p = 0.8033","0.136",64.14,11.21
"32","GDVI2","ground","0.26, p = 0.2416","0.17, p = 0.2510","-0.06, p = 0.6715","0.108",65.58,12.65
"12","-","-","-","-","-0.07, p = 0.6435","0.005",66.36,13.43
