"","VI used","VI","volume","R2","AIC","deltaAIC"
"3","GDVI2","0.74, p < 0.0001","-",0.624,343,0
"31","GDVI2","0.68, p < 0.0001","0.15, p = 0.0715",0.63,344.98,1.98000000000002
"1","NDVI","0.75, p < 0.0001","-",0.605,350.21,7.20999999999998
"2","GNDVI","0.77, p < 0.0001","-",0.6,351.88,8.88
"12","NDVI","0.74, p < 0.0001","0.03, p = 0.7627",0.603,355.07,12.07
"21","GNDVI","0.81, p < 0.0001","-0.06, p = 0.5357",0.599,356.3,13.3
"41","RED","-0.59, p < 0.0001","0.25, p = 0.0066",0.512,385.59,42.59
"4","RED","-0.71, p < 0.0001","-",0.488,388.12,45.12
"5","NIR","0.74, p < 0.0001","-",0.46,395.99,52.99
"51","NIR","0.68, p < 0.0001","0.10, p = 0.3883",0.46,399.69,56.69
"71","REG","0.60, p < 0.0001","0.25, p = 0.0154",0.455,401.79,58.79
"7","REG","0.74, p < 0.0001","-",0.44,402.76,59.76
"11","-","-","0.70, p < 0.0001",0.288,436.29,93.29
"61","GRE","-0.07, p = 0.4037","0.68, p < 0.0001",0.29,440.6,97.6
"6","GRE","-0.18, p = 0.0746","-",0.037,482.63,139.63
