"","VI used","VI","volume","R2","AIC","deltaAIC"
"31","GDVI2","0.72, p < 0.0001","0.14, p = 5e-04",0.657,549.88,0
"3","GDVI2","0.79, p < 0.0001","-",0.645,555.29,5.40999999999997
"1","NDVI","0.77, p < 0.0001","-",0.622,575.67,25.79
"12","NDVI","0.73, p < 0.0001","0.08, p = 0.0726",0.624,578.8,28.92
"2","GNDVI","0.77, p < 0.0001","-",0.61,584.02,34.14
"21","GNDVI","0.75, p < 0.0001","0.03, p = 0.6004",0.609,589.94,40.0600000000001
"5","NIR","0.68, p < 0.0001","-",0.473,670.62,120.74
"51","NIR","0.65, p < 0.0001","0.04, p = 0.4953",0.473,675.82,125.94
"7","REG","0.66, p < 0.0001","-",0.452,683.59,133.71
"71","REG","0.57, p < 0.0001","0.13, p = 0.0248",0.46,684.35,134.47
"41","RED","-0.44, p < 0.0001","0.38, p < 0.0001",0.463,685.78,135.9
"4","RED","-0.56, p < 0.0001","-",0.346,742,192.12
"11","-","-","0.53, p < 0.0001",0.292,759.65,209.77
"61","GRE","-0.05, p = 0.3502","0.53, p < 0.0001",0.293,764.95,215.07
"6","GRE","0.01, p = 0.8116","-",0.038,856.16,306.28
