"","VI used","VI","volume","R2","AIC","deltaAIC"
"2","GNDVI","0.46, p = 1e-04","-",0.288,38.72,0
"7","REG","0.41, p = 3e-04","-",0.27,39.92,1.2
"1","NDVI","0.41, p = 4e-04","-",0.253,40.91,2.19
"5","NIR","0.36, p = 4e-04","-",0.253,41.13,2.41
"21","GNDVI","0.42, p = 0.0106","0.03, p = 0.7565",0.285,43.28,4.56
"71","REG","0.35, p = 0.0158","0.07, p = 0.5169",0.273,44.24,5.52
"12","NDVI","0.32, p = 0.0198","0.10, p = 0.3165",0.266,44.75,6.03
"3","GDVI2","0.42, p = 0.0045","-",0.174,44.77,6.05
"51","NIR","0.30, p = 0.0259","0.07, p = 0.4732",0.258,45.31,6.59
"4","RED","-0.36, p = 0.0053","-",0.167,45.34,6.62
"41","RED","-0.28, p = 0.0256","0.18, p = 0.0250",0.258,45.38,6.66
"11","-","-","0.24, p = 0.0052",0.168,46.18,7.46
"31","GDVI2","0.28, p = 0.0892","0.15, p = 0.1058",0.22,47.01,8.29
"61","GRE","0.01, p = 0.9353","0.23, p = 0.0061",0.165,51.19,12.47
"6","GRE","0.03, p = 0.7293","-",0.003,53.78,15.06
