"","VI used","VI","volume","R2","AIC","deltaAIC"
"31","GDVI2","0.69, p < 0.0001","0.15, p = 0.0583","0.649",320.47,0
"3","GDVI2","0.76, p < 0.0001","-","0.640",322.15,1.67999999999995
"1","NDVI","0.77, p < 0.0001","-","0.623",328.82,8.34999999999997
"12","NDVI","0.75, p < 0.0001","0.03, p = 0.7398","0.623",330.7,10.23
"2","GNDVI","0.78, p < 0.0001","-","0.612",332.82,12.35
"21","GNDVI","0.81, p < 0.0001","-0.05, p = 0.5751","0.613",334.5,14.03
"41","RED","-0.59, p < 0.0001","0.26, p = 0.0048","0.521",365.71,45.24
"4","RED","-0.71, p < 0.0001","-","0.493",371.84,51.3699999999999
"5","NIR","0.76, p < 0.0001","-","0.480",375.61,55.14
"51","NIR","0.70, p < 0.0001","0.10, p = 0.4038","0.483",376.9,56.4299999999999
"71","REG","0.62, p < 0.0001","0.26, p = 0.0124","0.475",379.16,58.69
"7","REG","0.76, p < 0.0001","-","0.451",383.57,63.1
"11","-","-","0.71, p < 0.0001","0.299",419.33,98.86
"61","GRE","-0.05, p = 0.5724","0.70, p < 0.0001","0.300",421.01,100.54
"6","GRE","-0.18, p = 0.0846","-","0.021",468.11,147.64
