"","VI used","VI","volume","R2","AIC","deltaAIC"
"21","GNDVI","0.50, p < 0.0001","0.27, p < 0.0001","0.483",645.4,0
"31","GDVI2","0.44, p < 0.0001","0.38, p < 0.0001","0.472",651.48,6.08000000000004
"12","NDVI","0.44, p < 0.0001","0.34, p < 0.0001","0.461",657.51,12.11
"2","GNDVI","0.69, p < 0.0001","-","0.440",666.4,21
"51","NIR","0.46, p < 0.0001","0.25, p = 2e-04","0.443",666.78,21.38
"71","REG","0.41, p < 0.0001","0.31, p < 0.0001","0.437",670.03,24.63
"5","NIR","0.65, p < 0.0001","-","0.416",679.15,33.75
"41","RED","-0.23, p < 0.0001","0.53, p < 0.0001","0.393",692.31,46.91
"1","NDVI","0.65, p < 0.0001","-","0.386",693.5,48.1
"7","REG","0.63, p < 0.0001","-","0.386",693.62,48.22
"3","GDVI2","0.65, p < 0.0001","-","0.368",701.93,56.53
"11","-","-","0.59, p < 0.0001","0.350",710.2,64.8000000000001
"61","GRE","-0.02, p = 0.6171","0.60, p < 0.0001","0.351",711.94,66.5400000000001
"4","RED","-0.40, p < 0.0001","-","0.142",791.48,146.08
"6","GRE","0.05, p = 0.3812","-","0.003",835.72,190.32
