"","VI used","VI","volume","R2","AIC","deltaAIC"
"31","GDVI2","0.72, p < 0.0001","0.15, p = 2e-04","0.654",536.15,0
"3","GDVI2","0.80, p < 0.0001","-","0.638",547.92,11.77
"12","NDVI","0.72, p < 0.0001","0.09, p = 0.0402","0.616",567.24,31.09
"1","NDVI","0.78, p < 0.0001","-","0.611",569.5,33.35
"2","GNDVI","0.78, p < 0.0001","-","0.603",575.44,39.2900000000001
"21","GNDVI","0.75, p < 0.0001","0.03, p = 0.4999","0.604",576.98,40.83
"5","NIR","0.69, p < 0.0001","-","0.472",660.33,124.18
"51","NIR","0.65, p < 0.0001","0.05, p = 0.4750","0.473",661.81,125.66
"71","REG","0.57, p < 0.0001","0.14, p = 0.0204","0.456",671.15,135
"41","RED","-0.43, p < 0.0001","0.39, p < 0.0001","0.452",673.36,137.21
"7","REG","0.67, p < 0.0001","-","0.446",674.59,138.44
"4","RED","-0.56, p < 0.0001","-","0.316",737.5,201.35
"11","-","-","0.53, p < 0.0001","0.286",750.32,214.17
"61","GRE","-0.05, p = 0.3493","0.54, p < 0.0001","0.288",751.43,215.28
"6","GRE","0.01, p = 0.8451","-","0.000",850.65,314.5
