"","VI used","VI","volume","R2","AIC","deltaAIC"
"21","GNDVI","0.50, p < 0.0001","0.28, p < 0.0001","0.492",569.76,0
"31","GDVI2","0.43, p < 0.0001","0.39, p < 0.0001","0.477",576.87,7.11000000000001
"12","NDVI","0.43, p < 0.0001","0.35, p < 0.0001","0.466",582.08,12.3200000000001
"2","GNDVI","0.69, p < 0.0001","-","0.448",588.34,18.58
"51","NIR","0.47, p < 0.0001","0.25, p = 7e-04","0.452",588.49,18.73
"71","REG","0.42, p < 0.0001","0.31, p < 0.0001","0.446",590.95,21.1900000000001
"5","NIR","0.66, p < 0.0001","-","0.426",598.01,28.25
"7","REG","0.63, p < 0.0001","-","0.398",610.06,40.3
"41","RED","-0.22, p = 1e-04","0.54, p < 0.0001","0.395",612.93,43.17
"1","NDVI","0.65, p < 0.0001","-","0.387",614.19,44.4300000000001
"3","GDVI2","0.64, p < 0.0001","-","0.369",621.51,51.75
"11","-","-","0.60, p < 0.0001","0.355",626.99,57.23
"61","GRE","-0.03, p = 0.5556","0.61, p < 0.0001","0.356",628.64,58.88
"4","RED","-0.39, p < 0.0001","-","0.136",699.78,130.02
"6","GRE","0.05, p = 0.4353","-","0.002",735.61,165.85
