"","VI used","VI","volume","R2","AIC","deltaAIC"
"31","GDVI2","0.72, p < 0.0001","0.16, p = 5e-04","0.661",483.05,0
"3","GDVI2","0.80, p < 0.0001","-","0.644",493.35,10.3
"12","NDVI","0.73, p < 0.0001","0.10, p = 0.0497","0.622",510.61,27.56
"1","NDVI","0.79, p < 0.0001","-","0.616",512.52,29.47
"2","GNDVI","0.78, p < 0.0001","-","0.607",518.76,35.71
"21","GNDVI","0.76, p < 0.0001","0.04, p = 0.4758","0.607",520.24,37.19
"5","NIR","0.69, p < 0.0001","-","0.481",589.04,105.99
"51","NIR","0.67, p < 0.0001","0.03, p = 0.6723","0.481",590.86,107.81
"71","REG","0.58, p < 0.0001","0.13, p = 0.0481","0.463",599.7,116.65
"7","REG","0.67, p < 0.0001","-","0.455",601.67,118.62
"41","RED","-0.43, p < 0.0001","0.40, p < 0.0001","0.450",605.63,122.58
"4","RED","-0.56, p < 0.0001","-","0.310",661.45,178.4
"11","-","-","0.55, p < 0.0001","0.287",669.88,186.83
"61","GRE","-0.04, p = 0.4078","0.55, p < 0.0001","0.289",671.18,188.13
"6","GRE","0.02, p = 0.7886","-","0.000",755.59,272.54
