"","VI used","VI","volume","R2","AIC","deltaAIC"
"21","GNDVI","0.43, p < 0.0001","0.40, p < 0.0001","0.536",246.28,0
"12","NDVI","0.39, p < 0.0001","0.45, p < 0.0001","0.524",249.16,2.88
"51","NIR","0.44, p < 0.0001","0.35, p = 3e-04","0.524",249.2,2.91999999999999
"31","GDVI2","0.37, p < 0.0001","0.49, p < 0.0001","0.519",250.29,4.00999999999999
"71","REG","0.39, p < 0.0001","0.40, p < 0.0001","0.519",250.31,4.03
"5","NIR","0.69, p < 0.0001","-","0.461",260.81,14.53
"41","RED","-0.22, p = 0.0060","0.59, p < 0.0001","0.467",261.54,15.26
"2","GNDVI","0.68, p < 0.0001","-","0.440",264.82,18.54
"11","-","-","0.66, p < 0.0001","0.427",267.36,21.08
"7","REG","0.65, p < 0.0001","-","0.425",267.86,21.58
"61","GRE","-0.01, p = 0.8433","0.66, p < 0.0001","0.427",269.32,23.04
"1","NDVI","0.65, p < 0.0001","-","0.390",274.25,27.97
"3","GDVI2","0.62, p < 0.0001","-","0.340",282.85,36.57
"4","RED","-0.43, p < 0.0001","-","0.167",308.2,61.92
"6","GRE","0.00, p = 0.9618","-","0.000",328.08,81.8
