"","VI used","VI","volume","R2","AIC","deltaAIC"
"7","REG","0.87, p < 0.0001","-","0.577",22.57,0
"5","NIR","0.75, p < 0.0001","-","0.566",23.15,0.579999999999998
"71","REG","0.80, p = 0.0092","0.07, p = 0.7429","0.579",24.45,1.88
"51","NIR","0.65, p = 0.0111","0.10, p = 0.6036","0.572",24.83,2.26
"31","GDVI2","0.62, p = 0.1263","0.40, p = 0.0251","0.472",29.68,7.11
"61","GRE","0.21, p = 0.1498","0.48, p = 0.0032","0.465",29.99,7.42
"12","NDVI","0.40, p = 0.1624","0.39, p = 0.0351","0.461",30.13,7.56
"11","-","-","0.54, p = 0.0011","0.405",30.43,7.86
"21","GNDVI","0.20, p = 0.4864","0.46, p = 0.0243","0.419",31.86,9.29
"41","RED","-0.13, p = 0.5594","0.52, p = 0.0020","0.415",32.03,9.46
"1","NDVI","0.77, p = 0.0046","-","0.324",33.36,10.79
"3","GDVI2","1.13, p = 0.0052","-","0.317",33.59,11.02
"2","GNDVI","0.62, p = 0.0159","-","0.247",35.84,13.27
"6","GRE","0.34, p = 0.0549","-","0.164",38.22,15.65
"4","RED","-0.27, p = 0.3342","-","0.044",41.31,18.74
