"","VI used","VI","volume","R2","AIC","deltaAIC"
"5","NIR","0.45, p = 9e-04","-","0.232",57.29,0
"7","REG","0.49, p = 0.0012","-","0.222",57.84,0.550000000000004
"51","NIR","0.34, p = 0.0544","0.13, p = 0.3472","0.248",58.33,1.04
"71","REG","0.36, p = 0.0663","0.14, p = 0.3024","0.242",58.69,1.4
"61","GRE","0.17, p = 0.1483","0.30, p = 0.0064","0.218",60.08,2.79
"11","-","-","0.31, p = 0.0045","0.176",60.35,3.06
"12","NDVI","0.21, p = 0.2678","0.22, p = 0.0936","0.201",61.02,3.73
"41","RED","-0.14, p = 0.4121","0.29, p = 0.0118","0.190",61.62,4.33
"31","GDVI2","0.15, p = 0.5071","0.27, p = 0.0348","0.185",61.87,4.58
"1","NDVI","0.40, p = 0.0112","-","0.144",62.07,4.78
"21","GNDVI","0.11, p = 0.6081","0.26, p = 0.0929","0.182",62.07,4.78
"2","GNDVI","0.39, p = 0.0198","-","0.123",63.13,5.84
"3","GDVI2","0.39, p = 0.0472","-","0.091",64.71,7.41999999999999
"6","GRE","0.20, p = 0.1087","-","0.060",66.16,8.87
"4","RED","-0.27, p = 0.1345","-","0.053",66.51,9.22000000000001
