"","VI used","VI","volume","R2","AIC","deltaAIC"
"2","GNDVI","0.46, p = 1e-04","-","0.293",29.89,0
"7","REG","0.41, p = 3e-04","-","0.275",31.01,1.12
"21","GNDVI","0.42, p = 0.0106","0.03, p = 0.7565","0.295",31.79,1.9
"5","NIR","0.36, p = 4e-04","-","0.258",32.05,2.16
"1","NDVI","0.41, p = 4e-04","-","0.257",32.07,2.18
"71","REG","0.35, p = 0.0158","0.07, p = 0.5169","0.282",32.55,2.66
"12","NDVI","0.32, p = 0.0198","0.10, p = 0.3165","0.275",32.98,3.09
"41","RED","-0.28, p = 0.0256","0.18, p = 0.0250","0.267",33.47,3.58
"51","NIR","0.30, p = 0.0259","0.07, p = 0.4732","0.267",33.49,3.6
"31","GDVI2","0.28, p = 0.0892","0.15, p = 0.1058","0.228",35.74,5.85
"3","GDVI2","0.42, p = 0.0045","-","0.177",36.58,6.69
"11","-","-","0.24, p = 0.0052","0.171",36.88,6.99
"4","RED","-0.36, p = 0.0053","-","0.171",36.92,7.03
"61","GRE","0.01, p = 0.9353","0.23, p = 0.0061","0.172",38.87,8.98
"6","GRE","0.03, p = 0.7293","-","0.003",45.03,15.14
