"","species","plot 1","plot 2"
"1","Agalinis tenuifolia",0,6.375
"2","Agastache nepetoides",572.625,868.875
"3","Agastache scrophulariifolia",758.625,411.375
"4","Allium canadense",11.625,26.25
"5","Allium cernuum",249.375,10.875
"6","Amorpha canescens",8.625,53.625
"7","Andropogon gerardii",498,526.875
"8","Anemone canadensis",520.875,250.125
"9","Anemone cylindrica",2.25,115.125
"10","Anemone virginiana",69.375,0
"11","Antennaria neglecta",43.125,127.5
"12","Arnoglossum plantagineum",1096.5,264.75
"13","Asclepias hirtella",0,13.125
"14","Asclepias sullivantii",31.875,0
"15","Asclepias syriaca",0,3.75
"16","Asclepias tuberosa",157.125,13.875
"17","Asclepias verticillata",120,22.875
"18","Astragalus canadensis",184.875,214.125
"19","Baptisia alba",53.25,13.875
"20","Baptisia bracteata",24,11.625
"21","Blephilia ciliata",275.625,179.25
"22","Bouteloua curtipendula",469.125,198.375
"23","Brickellia eupatorioides",646.5,318.375
"24","Bromus kalmii",38.25,41.25
"25","Camassia scilloides",0,0
"26","Campanula rotundifolia",84.75,43.5
"27","Carex annectens",618.375,594.375
"28","Carex bicknellii",103.875,83.25
"29","Carex blanda",329.625,312
"30","Carex brevior",370.875,141.375
"31","Carex gravida",176.625,271.875
"32","Carex molesta",435.75,623.25
"33","Carex normalis",383.625,130.125
"34","Castilleja coccinea",0,0
"35","Ceanothus americanus",144.375,111.75
"36","Chamaecrista fasciculata",521.25,1525.5
"37","Coreopsis palmata",222.375,379.125
"38","Dalea candida",0,3.75
"39","Dalea purpurea",128.25,3.375
"40","Desmanthus illinoensis",811.125,1156.5
"41","Desmodium canadense",277.5,207
"42","Desmodium illinoense",266.625,382.875
"43","Dodecatheon meadia",45.75,9.75
"44","Echinacea pallida",645.75,561
"45","Echinacea purpurea",15.75,376.5
"46","Elymus canadensis",297.375,654
"47","Eragrostis spectabilis",190.125,32.25
"48","Eryngium yuccifolium",390,443.625
"49","Eupatorium altissimum",565.875,507.75
"50","Euphorbia corollata",108.375,155.25
"51","Euthamia graminifolia",481.125,966
"52","Gentiana andrewsii",73.125,198.375
"53","Helenium autumnale",767.25,1273.875
"54","Helianthus mollis",1300.5,2269.875
"55","Helianthus occidentalis",1151.25,592.5
"56","Helianthus pauciflorus",835.5,1147.125
"57","Helianthus strumosus",0,0
"58","Heliopsis helianthoides",1125.375,34.5
"59","Heuchera richardsonii",511.875,175.125
"60","Hierochloe odorata",478.125,0
"61","Hypericum punctatum",1.5,0
"62","Hypericum pyramidatum",603.75,114.75
"63","Juncus dudleyi",108.75,57
"64","Juncus interior",185.625,16.5
"65","Juncus tenuis",49.875,30
"66","Koeleria pyramidata",568.125,175.125
"67","Lespedeza capitata",99.75,17.625
"68","Liatris aspera",864,709.5
"69","Liatris pycnostachya",735.75,384.375
"70","Liatris scariosa",1642.125,369
"71","Liatris spicata",274.125,470.25
"72","Lilium michiganense",0,0
"73","Maianthemum racemosum",0,0
"74","Monarda bradburiana",511.875,569.625
"75","Monarda fistulosa",1293.825,1162.125
"76","Oenothera pilosella",128.25,106.5
"77","Panicum virgatum",670.5,315.375
"78","Parthenium integrifolium",430.125,272.625
"79","Penstemon digitalis",867.75,658.875
"80","Penstemon hirsutus",571.875,444.75
"81","Phlox pilosa",4.875,14.625
"82","Physostegia virginiana",491.625,232.125
"83","Polemonium reptans",166.125,48
"84","Polygonatum biflorum",0,0
"85","Potentilla arguta",30,264.75
"86","Pycnanthemum pilosum",886.125,76.125
"87","Pycnanthemum tenuifolium",739.875,958.5
"88","Pycnanthemum virginianum",463.5,285
"89","Ratibida pinnata",1042.875,721.875
"90","Rosa blanda",568.875,377.25
"91","Rosa carolina",426.75,1373.25
"92","Rosa setigera",531.375,561.375
"93","Rudbeckia fulgida",1505.25,1200.375
"94","Rudbeckia hirta",117.375,0
"95","Rudbeckia subtomentosa",72.75,827.625
"96","Rudbeckia triloba",0,548.625
"97","Ruellia humilis",100.5,153.75
"98","Schizachyrium scoparium",680.625,219.375
"99","Senna hebecarpa",0,235.5
"100","Senna marilandica",35.625,45.75
"101","Silphium integrifolium",722.25,480.375
"102","Silphium laciniatum",344.25,394.125
"103","Silphium terebinthinaceum",269.625,267
"104","Sisyrinchium angustifolium",0,190.875
"105","Solidago juncea",1370.625,1196.625
"106","Solidago nemoralis",748.5,690.75
"107","Solidago rigida",1659.75,1053
"108","Solidago speciosa",366,812.25
"109","Sorghastrum nutans",659.625,461.25
"110","Spiraea alba",386.625,573.75
"111","Sporobolus heterolepis",201.75,110.25
"112","Symphyotrichum ericoides",3977.625,1289.25
"113","Symphyotrichum laeve",1467.75,1105.125
"114","Symphyotrichum novae-angliae",972.75,1090.5
"115","Symphyotrichum oolentangiense",408.375,561.375
"116","Symphyotrichum sericeum",318.375,801
"117","Teucrium canadense",1486.5,291.75
"118","Thalictrum dasycarpum",378,58.125
"119","Tradescantia ohiensis",263.25,234.375
"120","Verbena stricta",16.125,558
"121","Vernonia altissima",337.125,16.5
"122","Vernonia fasciculata",218.25,355.125
"123","Vernonia missurica",229.5,133.875
"124","Veronicastrum virginicum",49.5,110.25
"125","Viola pedatifida",45.375,0
"126","Zizia aptera",349.875,252.75
"127","Zizia aurea",523.5,240
