"","species mix","species 1","species 2","species 3","species 4","species 5","species 6","species 7","species 8","species 9","species 10","species 11","species 12","species 13","sepcies 14","species 15","ground leaves","total"
"2","ML.7316.rep1","CAMROT","ZIZAUR","ECHPUR","DESILL","ANECYL","PHYVIR","OENPIL","SILLAC","PYCTEN","ZIZAPT","HYPPUN","ASCSYR","OLIRIG","CXBLAN","AGANEP","GL","Total B"
"3","","0.3","82.2","0.2","11.6","1.1","84.4","21.9","20.9","16.3","13.4","0.2","-0.1","1143.9","28.8","203.3","76.2","1704.6"
"13","HH.1372866.rep1","SPIALB","HIEODO","TEUCAN","ANEVIR","ANECYL","HELSTR","ROSCAR","TRAOHI","CXBREV","SORNUT","SILLAC","MAIRAC","ZIZAPT","CAMSCI","CHAFAS","GL","Total B"
"14","","10.1","47","0.5","1","14.4","5.1","32.1","38.7","78.6","24.3","21.1","0","43.7","0","0","8","324.6"
"23","MH.1825752.rep1","RATPIN","GENAND","SENHEB","LILMIC","ALLCAN","CXBLAN","AMOCAN","SOLNEM","VERGIG","VERSTR","BOUCUR","SPOHET","ASCSYR","BAPBRA","DALCAN","GL","Total B"
"24","","1.5","5.4","47.1","0","0.7","7.8","0.3","24.4","49.2","0.5","32.1","6.3","0.8","0.2","0.6","0","176.9"
"27","LH.1211957.rep1","LILMIC","SCHSCO","AGANEP","PENHIR","SYMLAE","ECHPAL","THADAS","ECHPUR","ERASPE","HYPPUN","AGATEN","CASCOC","SORNUT","AGASCR","ELYCAN","GL","Total B"
"28","","0","3.5","559.7","51.9","21.4","25.1","18.6","68.5","2.3","1.7","0","0","152.5","0.4","404.2","110.5","1420.3"
"38","MH.928535.rep1","LILMIC","DSMILL","BROKAL","HELMOL","PENHIR","BAPBRA","HEURIC","KOEMAC","PANVIR","SENHEB","ALLCAN","DODMEA","SILTER","HIEODO","VERMIS","GL","Total B"
"39","","0","1.2","1.5","363.2","0.1","0.1","21.6","101.3","75.3","0.5","0","1.5","279.9","26.8","0.4","4.6","878"
"42","HH.782981.rep1","HELAUT","PYCVIR","TRAOHI","AMOCAN","ROSCAR","AGATEN","CXBICK","SOLSPE","ALLCAN","ANECAN","LIASCN","OENPIL","CEAAME","ZIZAPT","ROSSET","GL","Total B"
"43","","498","2.5","31.8","0","9.3","-0.1","7.3","64.2","2.1","27.7","69.6","31.1","0.8","16.5","14","0","774.8"
