VI used,VI,cover,A-horizon,R2,AIC,deltaAIC
GNDVIt,"0.21, p < 0.0001","0.39, p < 0.0001",-,0.41,629.52,0
GNDVIt,"0.21, p < 0.0001","0.39, p < 0.0001","0.04, p = 0.3369",0.412,630.59,1.07
NDVIt,"0.18, p = 0.0003","0.42, p < 0.0001","0.08, p = 0.0941",0.396,638.37,8.85
NDVIt,"0.15, p = 0.0009","0.43, p < 0.0001",-,0.39,639.22,9.7
GDVI2t,"0.16, p = 0.0013","0.42, p < 0.0001","0.07, p = 0.1403",0.39,641.21,11.69
GDVI2t,"0.14, p = 0.0031","0.43, p < 0.0001",-,0.385,641.42,11.9
-,-,"0.50, p < 0.0001",-,0.366,648.28,18.76
GNDVIt,"0.42, p < 0.0001",-,-,0.263,703.55,74.03
GNDVI,"0.41, p < 0.0001",-,-,0.249,709.09,79.57
GDVI2t,"0.38, p < 0.0001",-,-,0.189,732.01,102.49
NDVIt,"0.38, p < 0.0001",-,-,0.189,732.2,102.68
-,-,-,"0.05, p = 0.4154",0.002,793.93,164.41
