"","VI used","VI","cover","A-horizon","R2","AIC","deltaAIC"
"15","GNDVIt","0.21, p < 0.0001","0.39, p < 0.0001",NA,"0.410",629.52,0
"21","GNDVIt","0.21, p < 0.0001","0.39, p < 0.0001","0.04, p = 0.3369","0.412",630.59,1.07000000000005
"19","NDVIt","0.18, p = 0.0003","0.42, p < 0.0001","0.08, p = 0.0941","0.396",638.37,8.85000000000002
"13","NDVIt","0.15, p = 0.0009","0.43, p < 0.0001",NA,"0.390",639.22,9.70000000000005
"20","GDVI2t","0.16, p = 0.0013","0.42, p < 0.0001","0.07, p = 0.1403","0.390",641.21,11.6900000000001
"14","GDVI2t","0.14, p = 0.0031","0.43, p < 0.0001",NA,"0.385",641.42,11.9
"12","GNDVI","0.11, p = 0.0462","0.43, p < 0.0001",NA,"0.375",646.25,16.73
"18","GNDVI","0.11, p = 0.0498","0.43, p < 0.0001","0.03, p = 0.5254","0.376",647.84,18.3200000000001
"22",NA,NA,"0.50, p < 0.0001",NA,"0.366",648.28,18.76
"10","NDVI","0.06, p = 0.3139","0.47, p < 0.0001",NA,"0.369",649.25,19.73
"11","GDVI2","0.00, p = 0.9511","0.50, p < 0.0001",NA,"0.366",650.27,20.75
"16","NDVI","0.06, p = 0.2892","0.46, p < 0.0001","0.04, p = 0.4277","0.370",650.61,21.09
"17","GDVI2","0.00, p = 0.9444","0.50, p < 0.0001","0.03, p = 0.4718","0.367",651.75,22.23
"9","GNDVIt.nf","0.42, p < 0.0001",NA,NA,"0.263",703.48,73.96
"6","GNDVIt","0.42, p < 0.0001",NA,NA,"0.263",703.55,74.03
"3","GNDVI","0.41, p < 0.0001",NA,NA,"0.249",709.09,79.5700000000001
"1","NDVI","0.38, p < 0.0001",NA,NA,"0.203",727.02,97.5
"8","GDVI2t.nf","0.38, p < 0.0001",NA,NA,"0.190",731.72,102.2
"5","GDVI2t","0.38, p < 0.0001",NA,NA,"0.189",732.01,102.49
"7","NDVIt.nf","0.38, p < 0.0001",NA,NA,"0.189",732.05,102.53
"4","NDVIt","0.38, p < 0.0001",NA,NA,"0.189",732.2,102.68
"2","GDVI2","0.34, p < 0.0001",NA,NA,"0.171",738.78,109.26
"23",NA,NA,NA,"0.05, p = 0.4154","0.002",793.93,164.41
