"","response","predictor 1: VI","predictor 2: cover","predictor 3: A-horizon","R2","AIC"
"1","biomass","NDVI,  1894.48 ,  0.0000",NA,NA,"0.204","3786.41"
"2","biomass","GDVI2,  2530.88 ,  0.0000",NA,NA,"0.172","3796.48"
"3","biomass","GNDVI,  3116.20 ,  0.0000",NA,NA,"0.250","3771.24"
"4","biomass","NDVIt,  5928.62 ,  0.0000",NA,NA,"0.184","3792.55"
"5","biomass","GDVI2t,  17168.72 ,  0.0000",NA,NA,"0.185","3792.20"
"6","biomass","GNDVIt,  8022.15 ,  0.0000",NA,NA,"0.260","3767.62"
"7","biomass","NDVIt nf,  5881.50 ,  0.0000",NA,NA,"0.185","3792.40"
"8","biomass","GDVI2t nf,  16710.23 ,  0.0000",NA,NA,"0.186","3791.91"
"9","biomass","GNDVIt nf,  7949.27 ,  0.0000",NA,NA,"0.261","3767.58"
"10","biomass","NDVI,  21.41 ,  0.4576","cover,  234.97 ,  0.0000",NA,"0.384","3651.23"
"11","biomass","GDVI2,  -3.03 ,  0.9136","cover,  250.12 ,  0.0000",NA,"0.383","3651.78"
"12","biomass","GNDVI,  44.58 ,  0.1235","cover,  217.80 ,  0.0000",NA,"0.389","3649.38"
"13","biomass","NDVIt,  70.39 ,  0.0042","cover,  217.18 ,  0.0000",NA,"0.403","3643.46"
"14","biomass","GDVI2t,  63.60 ,  0.0105","cover,  218.46 ,  0.0000",NA,"0.399","3645.16"
"15","biomass","GNDVIt,  90.16 ,  1e-04","cover,  197.17 ,  0.0000",NA,"0.418","3637.09"
"16","biomass","NDVI,  22.49 ,  0.4363","cover,  233.71 ,  0.0000","Ahor,  16.64 ,  0.4800","0.385","3652.72"
"17","biomass","GDVI2,  -3.12 ,  0.9113","cover,  249.61 ,  0.0000","Ahor,  15.68 ,  0.5055","0.384","3653.33"
"18","biomass","GNDVI,  43.66 ,  0.1325","cover,  217.94 ,  0.0000","Ahor,  13.74 ,  0.5582","0.390","3651.03"
"19","biomass","NDVIt,  79.64 ,  0.0017","cover,  211.87 ,  0.0000","Ahor,  34.77 ,  0.1457","0.408","3643.30"
"20","biomass","GDVI2t,  70.80 ,  0.0055","cover,  214.01 ,  0.0000","Ahor,  30.44 ,  0.2010","0.403","3645.49"
"21","biomass","GNDVIt,  91.26 ,  0.0000","cover,  195.83 ,  0.0000","Ahor,  20.36 ,  0.0000","0.420","3638.28"
