"","VI used","VI","cover","A-horizon","R2","AIC","deltaAIC"
"9","GNDVIt.nf","0.45, p = 0.0002",NA,NA,"0.277",52.31,0
"15","GNDVIt","0.42, p = 0.0005","0.16, p = 0.1700",NA,"0.309",52.35,0.0399999999999991
"6","GNDVIt","0.45, p = 0.0003",NA,NA,"0.276",52.39,0.0799999999999983
"21","GNDVIt","0.42, p = 0.0006","0.16, p = 0.1721","-0.05, p = 0.6810","0.312",54.16,1.84999999999999
"4","NDVIt","0.34, p = 0.0014",NA,NA,"0.217",55.82,3.51
"7","NDVIt.nf","0.34, p = 0.0015",NA,NA,"0.217",55.84,3.53
"5","GDVI2t","0.34, p = 0.0020",NA,NA,"0.205",56.48,4.16999999999999
"8","GDVI2t.nf","0.34, p = 0.0021",NA,NA,"0.204",56.57,4.26
"13","NDVIt","0.31, p = 0.0053","0.12, p = 0.3686",NA,"0.233",56.95,4.64
"14","GDVI2t","0.31, p = 0.0078","0.11, p = 0.3902",NA,"0.220",57.68,5.37
"3","GNDVI","0.44, p = 0.0061",NA,NA,"0.166",58.62,6.31
"19","NDVIt","0.32, p = 0.0063","0.11, p = 0.4001","0.05, p = 0.7093","0.235",58.79,6.48
"20","GDVI2t","0.32, p = 0.0094","0.11, p = 0.4157","0.04, p = 0.7889","0.221",59.6,7.29
"12","GNDVI","0.39, p = 0.0217","0.13, p = 0.3470",NA,"0.184",59.66,7.34999999999999
"1","NDVI","0.34, p = 0.0238",NA,NA,"0.116",61.17,8.86
"18","GNDVI","0.39, p = 0.0237","0.13, p = 0.3470","-0.06, p = 0.6392","0.188",61.41,9.09999999999999
"10","NDVI","0.28, p = 0.0877","0.13, p = 0.3478",NA,"0.135",62.21,9.9
"2","GDVI2","0.37, p = 0.0741",NA,NA,"0.074",63.21,10.9
"22",NA,NA,"0.23, p = 0.0818",NA,"0.070",63.38,11.07
"11","GDVI2","0.27, p = 0.2255","0.17, p = 0.2522",NA,"0.103",63.78,11.47
"16","NDVI","0.27, p = 0.1026","0.14, p = 0.3453","-0.03, p = 0.8033","0.136",64.14,11.83
"17","GDVI2","0.26, p = 0.2416","0.17, p = 0.2510","-0.06, p = 0.6715","0.108",65.58,13.27
"23",NA,NA,NA,"-0.07, p = 0.6435","0.005",66.36,14.05
